pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
100,c218dff0ceba04cdbbe99bfe1ed33c363e077645,d07ceb117944f27f58b8dd412ae187a708585bca,"### Summary
Prevent adding duplicate plugins

### Bug description
After upgrading an old config I got this error:

```sh
Module build failed: Error: Duplicate plugin/preset detected.
```

#### Old config
```json
{
  ""presets"": [
    [""env"", {
      ""useBuiltIns"": ""usage"",
      ""targets"": {
        ""browsers"": [""> 0.25%""]
      },
      ""modules"": false,
      ""loose"": true
    }],
    ""stage-1"",
    ""react"",
    ""flow""
  ],

  ""plugins"": [
    ""transform-decorators-legacy"",
    ""transform-react-display-name"",
    ""transform-class-properties"",
    [""import"", { ""libraryName"": ""antd"", ""style"": ""css"" }]
  ],

  ""env"": {
    ""production"": {
      ""plugins"": [""transform-react-remove-prop-types""]
    },
    ""development"": {
      ""plugins"": [
        ""react-hot-loader/babel""
      ]
    },
    ""test"": {
      ""presets"": [
        [""env"", {
          ""useBuiltIns"": ""usage"",
          ""targets"": {
            ""browsers"": [""> 0.25%""]
          },
          ""modules"": false,
          ""loose"": true
        }],
        ""react""
      ],
      ""plugins"": [
        ""transform-runtime"",
        ""transform-decorators-legacy"",
        ""transform-react-display-name"",
        ""transform-class-properties"",
        [""import"", { ""libraryName"": ""antd"", ""style"": ""css"" }]
      ]
    }
  }
}

```

#### After upgrade

```json
{
  ""presets"": [
    [
      ""@babel/preset-env"",
      {
        ""useBuiltIns"": ""usage"",
        ""targets"": {
          ""browsers"": [
            ""> 0.25%""
          ]
        },
        ""modules"": false,
        ""loose"": true
      }
    ],
    ""@babel/preset-react"",
    ""@babel/preset-flow""
  ],
  ""plugins"": [
    [
      ""@babel/plugin-proposal-decorators"",
      {
        ""legacy"": true
      }
    ],
    ""@babel/plugin-transform-react-display-name"",
    ""@babel/plugin-proposal-class-properties"",
    [
      ""import"",
      {
        ""libraryName"": ""antd"",
        ""style"": ""css""
      }
    ],
    ""@babel/plugin-syntax-dynamic-import"",
    ""@babel/plugin-syntax-import-meta"",
    ""@babel/plugin-proposal-class-properties"",
    ""@babel/plugin-proposal-json-strings"",
    [
      ""@babel/plugin-proposal-decorators"",
      {
        ""legacy"": true
      }
    ],
    ""@babel/plugin-proposal-function-sent"",
    ""@babel/plugin-proposal-export-namespace-from"",
    ""@babel/plugin-proposal-numeric-separator"",
    ""@babel/plugin-proposal-throw-expressions"",
    ""@babel/plugin-proposal-export-default-from"",
    ""@babel/plugin-proposal-logical-assignment-operators"",
    ""@babel/plugin-proposal-optional-chaining"",
    [
      ""@babel/plugin-proposal-pipeline-operator"",
      {
        ""proposal"": ""minimal""
      }
    ],
    ""@babel/plugin-proposal-nullish-coalescing-operator"",
    ""@babel/plugin-proposal-do-expressions""
  ],
  ""env"": {
    ""production"": {
      ""plugins"": [
        ""transform-react-remove-prop-types""
      ]
    },
    ""development"": {
      ""plugins"": [
        ""react-hot-loader/babel""
      ]
    },
    ""test"": {
      ""presets"": [
        [
          ""@babel/preset-env"",
          {
            ""useBuiltIns"": ""usage"",
            ""targets"": {
              ""browsers"": [
                ""> 0.25%""
              ]
            },
            ""modules"": false,
            ""loose"": true
          }
        ],
        ""@babel/preset-react""
      ],
      ""plugins"": [
        ""@babel/plugin-transform-runtime"",
        [
          ""@babel/plugin-proposal-decorators"",
          {
            ""legacy"": true
          }
        ],
        ""@babel/plugin-transform-react-display-name"",
        ""@babel/plugin-proposal-class-properties"",
        [
          ""import"",
          {
            ""libraryName"": ""antd"",
            ""style"": ""css""
          }
        ]
      ]
    }
  }
}

```

#### Duplicates

```

[
  ""@babel/plugin-proposal-decorators"",
  {
    ""legacy"": true
  }
],
""@babel/plugin-proposal-class-properties"",

```

### Solution
This code uses a `Set` to keep track of existing plugin names and prevents adding dupes. Duplicates are discarded.","added test
","diff --git a/__tests__/upgradeConfig.test.js b/__tests__/upgradeConfig.test.js
index 291b130..8efc71a 100644
--- a/__tests__/upgradeConfig.test.js
+++ b/__tests__/upgradeConfig.test.js
@@ -2,6 +2,7 @@ const path = require('path');
 const upgradeConfig = require('../src/upgradeConfig');
 const babelrcFixture = require('../fixtures/babelrc');
 const optionParsingFixture = require('../fixtures/option-parsing');
+const dupesProspectFixture = require('../fixtures/dupes-prospect');
 const { readBabelRC } = require('../src');
 const JSON5_PATH = path.resolve(__dirname, '../fixtures/babelrc.json5');
 
@@ -114,3 +115,7 @@ test(""replaces stage presets"", () => {
 
   expect(upgradeConfig(config)).toMatchSnapshot();
 });
+
+test(""prevent dupe plugins"", () => {
+  expect(upgradeConfig(dupesProspectFixture)).toMatchSnapshot();
+});
",0,,3,172,1,3,4,171
116,12af47d72311d70077c605494634998213b9e7e1,36ef8ec0de3c42b36fca4b71ebcefb076115260c,"Fixes #108 
---
In v24 Jest [upgraded to Babel 7 and dropped support for Babel 6](https://github.com/facebook/jest/blob/master/CHANGELOG.md#fixes-10), so we don't need to do anything with it. ","#108 Don't downgrade jest >= 24
","diff --git a/__tests__/packageData.test.js b/__tests__/packageData.test.js
index 0a84136..bbd472a 100644
--- a/__tests__/packageData.test.js
+++ b/__tests__/packageData.test.js
@@ -4,6 +4,7 @@ const babelCoreFixture = require('../fixtures/babel-core');
 const avaFixture = require('../fixtures/ava');
 const jestFixture = require('../fixtures/jest');
 const jestCliFixture = require('../fixtures/jest-cli');
+const jest24Fixture = require('../fixtures/jest-v24');
 const depsFixture = require('../fixtures/deps');
 const webpackV1Fixture = require('../fixtures/webpack-v1');
 const depsFixtureEarlierBeta = require('../fixtures/deps-earlier-beta.json');
@@ -53,6 +54,10 @@ test('jest-cli babel-core bridge', async () => {
   expect(await updatePackageJSON(jestCliFixture)).toMatchSnapshot();
 });
 
+test(""doesn't downgrade jest >= 24 "", async () => {
+  expect(await updatePackageJSON(jest24Fixture)).toMatchSnapshot();
+});
+
 test('webpack v1 compatibility', async () => {
   expect(await updatePackageJSON(webpackV1Fixture)).toMatchSnapshot();
 });
",0,,4,31,1,3,4,33
15,bd991f4c7e325d92fe2943fa5ac02604a3cfa203,bd991f4c7e325d92fe2943fa5ac02604a3cfa203,"- if using jest, add `""babel-core"": ""^7.0.0-bridge-0""`
- if using `babel-node` add the `@babel/node` package. Although I'd be cool with just leaving it in `@babel/cli` anyway..","account for babel-node change, and jest babel bridge
","diff --git a/src/__tests__/packageData.test.js b/src/__tests__/packageData.test.js
index 0468033..518d5b9 100644
--- a/src/__tests__/packageData.test.js
+++ b/src/__tests__/packageData.test.js
@@ -1,22 +1,29 @@
 const { updatePackageJSON } = require('../');
 const upgradeDeps = require('../upgradeDeps');
 const babelCoreFixture = require('../../fixtures/babel-core');
+const jestFixture = require('../../fixtures/jest');
 const depsFixture = require('../../fixtures/deps');
 const depsFixtureEarlierBeta = require('../../fixtures/deps-earlier-beta.json');
-const scriptsFixture = require('../../fixtures/script');
+const scriptsMochaFixture = require('../../fixtures/scripts-mocha');
+const scriptsBabelNodeFixture = require('../../fixtures/scripts-babel-node');
 
 test('packages', () => {
   expect(upgradeDeps(depsFixture, ""7.0.0-beta.39"")).toMatchSnapshot();
 });
 
 test('scripts', () => {
-  expect(updatePackageJSON(scriptsFixture)).toMatchSnapshot();
+  expect(updatePackageJSON(scriptsMochaFixture)).toMatchSnapshot();
+  expect(updatePackageJSON(scriptsBabelNodeFixture)).toMatchSnapshot();
 });
 
 test('@babel/core peerDep', () => {
   expect(updatePackageJSON(babelCoreFixture)).toMatchSnapshot();
 });
 
+test('jest babel-core bridge', () => {
+  expect(updatePackageJSON(jestFixture)).toMatchSnapshot();
+});
+
 test('packages - earlier v7', () => {
   expect(upgradeDeps(depsFixtureEarlierBeta, ""7.0.0-beta.39"")).toMatchSnapshot();
 });
",0,,7,99,1,1,6,83
21,8f155929ad435d90ec10a30e4f9c010881bf33dd,8f155929ad435d90ec10a30e4f9c010881bf33dd,,"Add preset-flow if .flowconfig is detected
","diff --git a/__tests__/packageData.test.js b/__tests__/packageData.test.js
index 27d2523..5f34e6e 100644
--- a/__tests__/packageData.test.js
+++ b/__tests__/packageData.test.js
@@ -7,23 +7,65 @@ const depsFixtureEarlierBeta = require('../fixtures/deps-earlier-beta.json');
 const scriptsMochaFixture = require('../fixtures/scripts-mocha');
 const scriptsBabelNodeFixture = require('../fixtures/scripts-babel-node');
 
-test('packages', () => {
-  expect(upgradeDeps(depsFixture, ""7.0.0-beta.39"")).toMatchSnapshot();
-});
+const VERSION = ""7.0.0-beta.39"";
+
+describe('upgradeDeps', () => {
+  test('upgrades from v6', () => {
+    expect(upgradeDeps(depsFixture, VERSION)).toMatchSnapshot();
+  });
+
+  test('upgrades from earlier v7 version', () => {
+    expect(upgradeDeps(depsFixtureEarlierBeta, VERSION)).toMatchSnapshot();
+  });
+
+  test('adds flow preset if user was using v6 preset-react', () => {
+    expect(upgradeDeps({
+      ""babel-preset-react"": ""6.0.0""
+    }, VERSION, { hasFlow: true })).toMatchSnapshot();
+  });
+
+  test('does not add flow preset if user was using v6 preset-react but flow not detected', () => {
+    expect(upgradeDeps({
+      ""babel-preset-react"": ""6.0.0""
+    }, VERSION, { hasFlow: false })).toMatchSnapshot();
+  });
+
+  test('adds flow preset if user is upgrading from previous v7', () => {
+    expect(upgradeDeps({
+      ""@babel/preset-react"": ""7.0.0-alpha.0"",
+    }, VERSION, { hasFlow: true })).toMatchSnapshot();
+  });
+
+  test('does not add flow preset if user is upgrading from previous v7 but flow not detected', () => {
+    expect(upgradeDeps({
+      ""@babel/preset-react"": ""7.0.0-alpha.0"",
+    }, VERSION, { hasFlow: false })).toMatchSnapshot();
+  });
+
+  test('handles flow preset if user had entry and is upgrading from previous v7', () => {
+    expect(upgradeDeps({
+      ""@babel/preset-flow"": ""7.0.0-alpha.0"",
+      ""@babel/preset-react"": ""7.0.0-alpha.0"",
+    }, VERSION, { hasFlow: true })).toMatchSnapshot();
+  });
 
-test('scripts', () => {
-  expect(updatePackageJSON(scriptsMochaFixture)).toMatchSnapshot();
-  expect(updatePackageJSON(scriptsBabelNodeFixture)).toMatchSnapshot();
+  test('handles flow preset if user had entry and is upgrading from previous v7 and flow not detected', () => {
+    expect(upgradeDeps({
+      ""@babel/preset-flow"": ""7.0.0-alpha.0"",
+      ""@babel/preset-react"": ""7.0.0-alpha.0"",
+    }, VERSION, { hasFlow: false })).toMatchSnapshot();
+  });
 });
 
-test('@babel/core peerDep', () => {
-  expect(updatePackageJSON(babelCoreFixture)).toMatchSnapshot();
+test('scripts', async () => {
+  expect(await updatePackageJSON(scriptsMochaFixture)).toMatchSnapshot();
+  expect(await updatePackageJSON(scriptsBabelNodeFixture)).toMatchSnapshot();
 });
 
-test('jest babel-core bridge', () => {
-  expect(updatePackageJSON(jestFixture)).toMatchSnapshot();
+test('@babel/core peerDep', async () => {
+  expect(await updatePackageJSON(babelCoreFixture)).toMatchSnapshot();
 });
 
-test('packages - earlier v7', () => {
-  expect(upgradeDeps(depsFixtureEarlierBeta, ""7.0.0-beta.39"")).toMatchSnapshot();
+test('jest babel-core bridge', async () => {
+  expect(await updatePackageJSON(jestFixture)).toMatchSnapshot();
 });
",0,,6,205,1,1,6,205
24,f45961d6cf3cb8a8713fbc4d61f2ee5730f0448b,3ba699f4f5b3967e3f48129ad2c6da109b8ba6ae,,"handle setting a package to null
","diff --git a/__tests__/upgradeConfig.test.js b/__tests__/upgradeConfig.test.js
index b09e87a..07750fc 100644
--- a/__tests__/upgradeConfig.test.js
+++ b/__tests__/upgradeConfig.test.js
@@ -8,6 +8,16 @@ test('packages', () => {
   expect(upgradeConfig(babelrcFixture)).toMatchSnapshot();
 });
 
+test('package that is removed', () => {
+  expect(upgradeConfig({
+    plugins: [
+      'transform-function-bind',
+      'check-es2015-constants',
+      'instanbul'
+    ]
+  })).toMatchSnapshot();
+});
+
 test('packages (json5)', async () => {
   const json5Data = await readBabelRC(JSON5_PATH);
   expect(upgradeConfig(json5Data)).toMatchSnapshot();
",0,,3,44,1,2,4,46
34,885f96ee256359fc6b24a59dc198d71b4e6698b9,885f96ee256359fc6b24a59dc198d71b4e6698b9,"Fixes #17.

When `babel-upgrade` is run over a project that uses Webpack v1:

- Use `babel-loader@7.1.1` (from [this suggestion](https://github.com/babel/babel-loader/issues/505#issuecomment-324268931))
- Use `babel-core@^7.0.0-bridge.0`

[This repo](https://github.com/adityavohra7/babel-upgrade-issue-17) repros the bug from [this issue](https://github.com/babel/babel-upgrade/issues/17). Running `babel-upgrade --install` _with the diff_ from this PR fixes the Webpack error.","Update packages appropriately for Webpack v1 compatibility
","diff --git a/__tests__/packageData.test.js b/__tests__/packageData.test.js
index 5f34e6e..4eb468f 100644
--- a/__tests__/packageData.test.js
+++ b/__tests__/packageData.test.js
@@ -3,6 +3,7 @@ const upgradeDeps = require('../src/upgradeDeps');
 const babelCoreFixture = require('../fixtures/babel-core');
 const jestFixture = require('../fixtures/jest');
 const depsFixture = require('../fixtures/deps');
+const webpackV1Fixture = require('../fixtures/webpack-v1');
 const depsFixtureEarlierBeta = require('../fixtures/deps-earlier-beta.json');
 const scriptsMochaFixture = require('../fixtures/scripts-mocha');
 const scriptsBabelNodeFixture = require('../fixtures/scripts-babel-node');
@@ -69,3 +70,7 @@ test('@babel/core peerDep', async () => {
 test('jest babel-core bridge', async () => {
   expect(await updatePackageJSON(jestFixture)).toMatchSnapshot();
 });
+
+test('webpack v1 compatibility', async () => {
+  expect(await updatePackageJSON(webpackV1Fixture)).toMatchSnapshot();
+});
",0,,5,66,1,1,5,66
63,00bb33db4590a545f84a29829ee6829791fcde4e,00bb33db4590a545f84a29829ee6829791fcde4e,"Depends on babel/babel#7734

The first commit isn't strictly necessary, but it was the easiest way I found to make the `upgradeOptions` work both for plugins whose name changes and whose name remains the same.","Add legacy option to decorators
","diff --git a/__tests__/upgradeConfig.test.js b/__tests__/upgradeConfig.test.js
index b445b37..58f419f 100644
--- a/__tests__/upgradeConfig.test.js
+++ b/__tests__/upgradeConfig.test.js
@@ -76,9 +76,25 @@ test('handles @babel prefix in plugins', () => {
     ""plugins"": [
       '@babel/plugin-transform-async-generator-functions',
       '@babel/plugin-transform-class-properties',
-      '@babel/plugin-transform-decorators'
+      '@babel/plugin-transform-do-expressions'
     ],
   };
 
   expect(upgradeConfig(config)).toMatchSnapshot();
 });
+
+test(""adds legacy option to decorators"", () => {
+  const config = {
+    ""plugins"": [
+      ""transform-decorators"",
+      ""@babel/plugin-syntax-decorators""
+    ],
+    ""presets"": [
+      ""@babel/preset-stage-0"",
+      ""babel-preset-stage-1"",
+      ""stage-2""
+    ]
+  };
+
+  expect(upgradeConfig(config)).toMatchSnapshot();
+});
",0,,4,86,1,2,4,166
68,85134355135993d56d5c0ccb1649c02813d1b486,85134355135993d56d5c0ccb1649c02813d1b486,"I also updated the stage presets, so that until we release the throwing version of them they still work.

cc @mAAdhaTTah","Add ""proposal"": ""minimal"" to the pipeline operator
","diff --git a/__tests__/upgradeConfig.test.js b/__tests__/upgradeConfig.test.js
index 58f419f..a1eb6af 100644
--- a/__tests__/upgradeConfig.test.js
+++ b/__tests__/upgradeConfig.test.js
@@ -90,11 +90,27 @@ test(""adds legacy option to decorators"", () => {
       ""@babel/plugin-syntax-decorators""
     ],
     ""presets"": [
-      ""@babel/preset-stage-0"",
-      ""babel-preset-stage-1"",
+      [""@babel/preset-stage-0"", { pipelineProposal: ""minimal"" }],
+      [""babel-preset-stage-1"", { pipelineProposal: ""minimal"" }],
       ""stage-2""
     ]
   };
 
   expect(upgradeConfig(config)).toMatchSnapshot();
 });
+
+test(""adds proposal option to pipeline"", () => {
+  const config = {
+    ""plugins"": [
+      ""transform-pipeline-operator"",
+      ""@babel/plugin-syntax-pipeline-operator""
+    ],
+    ""presets"": [
+      [""@babel/preset-stage-0"", { decoratorsLegacy: true }],
+      [""babel-preset-stage-1"", { decoratorsLegacy: true }],
+      [""stage-2"", { decoratorsLegacy: true }]
+    ]
+  };
+
+  expect(upgradeConfig(config)).toMatchSnapshot();
+});
",0,,3,71,1,1,3,71
69,41d0ddb57eac2c1ec545f3fb7078258996ee2514,41d0ddb57eac2c1ec545f3fb7078258996ee2514,babel/babel#8293,"Remove stage presets
","diff --git a/__tests__/packageData.test.js b/__tests__/packageData.test.js
index ac6fd89..6d9aa54 100644
--- a/__tests__/packageData.test.js
+++ b/__tests__/packageData.test.js
@@ -79,3 +79,9 @@ test('jest-cli babel-core bridge', async () => {
 test('webpack v1 compatibility', async () => {
   expect(await updatePackageJSON(webpackV1Fixture)).toMatchSnapshot();
 });
+
+test('replaces stage presets', () => {
+  expect(upgradeDeps({
+    ""@babel/preset-stage-2"": ""7.0.0-alpha.0""
+  }, VERSION)).toMatchSnapshot();
+});

diff --git a/__tests__/upgradeConfig.test.js b/__tests__/upgradeConfig.test.js
index a1eb6af..291b130 100644
--- a/__tests__/upgradeConfig.test.js
+++ b/__tests__/upgradeConfig.test.js
@@ -89,11 +89,6 @@ test(""adds legacy option to decorators"", () => {
       ""transform-decorators"",
       ""@babel/plugin-syntax-decorators""
     ],
-    ""presets"": [
-      [""@babel/preset-stage-0"", { pipelineProposal: ""minimal"" }],
-      [""babel-preset-stage-1"", { pipelineProposal: ""minimal"" }],
-      ""stage-2""
-    ]
   };
 
   expect(upgradeConfig(config)).toMatchSnapshot();
@@ -105,10 +100,15 @@ test(""adds proposal option to pipeline"", () => {
       ""transform-pipeline-operator"",
       ""@babel/plugin-syntax-pipeline-operator""
     ],
+  };
+
+  expect(upgradeConfig(config)).toMatchSnapshot();
+});
+
+test(""replaces stage presets"", () => {
+  const config = {
     ""presets"": [
-      [""@babel/preset-stage-0"", { decoratorsLegacy: true }],
-      [""babel-preset-stage-1"", { decoratorsLegacy: true }],
-      [""stage-2"", { decoratorsLegacy: true }]
+      ""stage-1""
     ]
   };
 
",0,,8,180,2,1,8,180
75,4c665b225e969960cacc947dcb133e8ac6edba08,4c665b225e969960cacc947dcb133e8ac6edba08,Closes #74. Moved the check to the step after upgrading the deps. Will work on adding new test case to check for regression.,"Fix tests
","diff --git a/__tests__/index.test.js b/__tests__/index.test.js
index 97419be..e22d407 100644
--- a/__tests__/index.test.js
+++ b/__tests__/index.test.js
@@ -1,5 +1,5 @@
 
-const { writePackageJSON, writeBabelRC, writeMochaOpts } = require('../src/');
+const { updatePackageJSON, writePackageJSON, writeBabelRC, writeMochaOpts } = require('../src/');
 
 jest.mock('write-json-file', () => jest.fn().mockResolvedValue({}));
 jest.mock('write', () => jest.fn().mockResolvedValue({}));
@@ -37,4 +37,69 @@ test('writes when --write is passed', async () => {
   expect(writeFile).toBeCalled();
   writeFile.mockReset();
 
+});
+
+describe('flow preset', () => {
+
+  test('adds flow preset if user was using v6 preset-react', async () => {
+    let pkg = await updatePackageJSON({
+      dependencies: {},
+      devDependencies: {
+        ""babel-preset-react"": ""6.0.0""
+      }
+    }, { hasFlow: true });
+    expect(pkg).toMatchSnapshot();
+  });
+
+  test('does not add flow preset if user was using v6 preset-react but flow not detected', async () => {
+    let pkg = await updatePackageJSON({
+      dependencies: {},
+      devDependencies: {
+        ""babel-preset-react"": ""6.0.0""
+      }
+    }, { hasFlow: false });
+    expect(pkg).toMatchSnapshot();
+  });
+
+  test('adds flow preset if user is upgrading from previous v7', async () => {
+    let pkg = await updatePackageJSON({
+      dependencies: {},
+      devDependencies: {
+        ""@babel/preset-react"": ""7.0.0-alpha.0""
+      }
+    }, { hasFlow: true });
+    expect(pkg).toMatchSnapshot();
+  });
+
+  test('does not add flow preset if user is upgrading from previous v7 but flow not detected', async () => {
+    let pkg = await updatePackageJSON({
+      dependencies: {},
+      devDependencies: {
+        ""@babel/preset-react"": ""7.0.0-alpha.0"",
+      }
+    }, { hasFlow: false });
+    expect(pkg).toMatchSnapshot();
+  });
+
+  test('handles flow preset if user had entry and is upgrading from previous v7', async () => {
+    let pkg = await updatePackageJSON({
+      dependencies: {},
+      devDependencies: {
+        ""@babel/preset-flow"": ""7.0.0-alpha.0"",
+        ""@babel/preset-react"": ""7.0.0-alpha.0"",
+      }
+    }, { hasFlow: true });
+    expect(pkg).toMatchSnapshot();
+  });
+
+  test('handles flow preset if user had entry and is upgrading from previous v7 and flow not detected', async () => {
+    let pkg = await updatePackageJSON({
+      dependencies: {},
+      devDependencies: {
+        ""@babel/preset-flow"": ""7.0.0-alpha.0"",
+        ""@babel/preset-react"": ""7.0.0-alpha.0"",
+      }
+    }, { hasFlow: false });
+    expect(pkg).toMatchSnapshot();
+  });
 });
\ No newline at end of file

diff --git a/__tests__/packageData.test.js b/__tests__/packageData.test.js
index 6d9aa54..d11707c 100644
--- a/__tests__/packageData.test.js
+++ b/__tests__/packageData.test.js
@@ -19,44 +19,6 @@ describe('upgradeDeps', () => {
   test('upgrades from earlier v7 version', () => {
     expect(upgradeDeps(depsFixtureEarlierBeta, VERSION)).toMatchSnapshot();
   });
-
-  test('adds flow preset if user was using v6 preset-react', () => {
-    expect(upgradeDeps({
-      ""babel-preset-react"": ""6.0.0""
-    }, VERSION, { hasFlow: true })).toMatchSnapshot();
-  });
-
-  test('does not add flow preset if user was using v6 preset-react but flow not detected', () => {
-    expect(upgradeDeps({
-      ""babel-preset-react"": ""6.0.0""
-    }, VERSION, { hasFlow: false })).toMatchSnapshot();
-  });
-
-  test('adds flow preset if user is upgrading from previous v7', () => {
-    expect(upgradeDeps({
-      ""@babel/preset-react"": ""7.0.0-alpha.0"",
-    }, VERSION, { hasFlow: true })).toMatchSnapshot();
-  });
-
-  test('does not add flow preset if user is upgrading from previous v7 but flow not detected', () => {
-    expect(upgradeDeps({
-      ""@babel/preset-react"": ""7.0.0-alpha.0"",
-    }, VERSION, { hasFlow: false })).toMatchSnapshot();
-  });
-
-  test('handles flow preset if user had entry and is upgrading from previous v7', () => {
-    expect(upgradeDeps({
-      ""@babel/preset-flow"": ""7.0.0-alpha.0"",
-      ""@babel/preset-react"": ""7.0.0-alpha.0"",
-    }, VERSION, { hasFlow: true })).toMatchSnapshot();
-  });
-
-  test('handles flow preset if user had entry and is upgrading from previous v7 and flow not detected', () => {
-    expect(upgradeDeps({
-      ""@babel/preset-flow"": ""7.0.0-alpha.0"",
-      ""@babel/preset-react"": ""7.0.0-alpha.0"",
-    }, VERSION, { hasFlow: false })).toMatchSnapshot();
-  });
 });
 
 test('scripts', async () => {
",0,,5,218,2,2,6,232
