pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
115,fc7e566489a0ede71a9d79d99a58925e1c1c3780,1ec2cf2b45b09439539b8327013876304af774bc,"according to feedback from @tajo:

* using plain object for applying styles
* exports components as `TextUnstyled`, `HeaderUnstyled` in tests to follow same style
* fix for text titlecase
* fix for text small size","fix text size small rendering
","diff --git a/packages/cf-component-text/test/Text.js b/packages/cf-component-text/test/Text.js
index a0a2b27..df342ce 100644
--- a/packages/cf-component-text/test/Text.js
+++ b/packages/cf-component-text/test/Text.js
@@ -4,7 +4,7 @@ import { Text } from '../../cf-component-text/src/index';
 import felaTestContext from '../../../felaTestContext';
 import { applyTheme } from 'cf-style-container';
 
-test('should render size', () => {
+test('should render normal size', () => {
   const StyledText = applyTheme(Text, () => ({
     fontSizeNormal: '1rem',
     fontWeightNormal: 400
@@ -16,6 +16,18 @@ test('should render size', () => {
   expect(component.toJSON()).toMatchSnapshot();
 });
 
+test('should render small size', () => {
+  const StyledText = applyTheme(Text, () => ({
+    fontSizeSmallß: '0.8em',
+    lineHeightSmall: 1.3
+  }));
+
+  const component = renderer.create(
+    felaTestContext(<StyledText size=""small"">Hello</StyledText>)
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
+
 test('should render align', () => {
   const StyledText = applyTheme(Text, () => ({
     textAlignCenter: 'center'
",0,,4,30,1,4,8,179
125,f5f9820b032f730179645c4a7d0a5c230666473c,9ffb757b16e451d78489b5fa37379a439e9febc1,"Whenever you're using the `CardDrawers` sub-component of `Card` you need
to add some keys to your state and handle all the events yourself. This
is fine if you want to control the flow very tightly but the most common
case is just to switch to the drawers selected.

This patch changes the `CardDrawers` sub-component so it still takes in
the props and those will control the component but falls back to the
local state if the props `active` and `onClick` are not present.

Not sure if there are more tests to be written or if the snapshots are enough.","card: Keep a local state of drawers if no props

Whenever you're using the `CardDrawers` sub-component of `Card` you need
to add some keys to your state and handle all the events yourself. This
is fine if you want to control the flow very tightly but the most common
case is just to switch to the drawers selected.

This patch changes the `CardDrawers` sub-component so it still takes in
the props and those will control the component but falls back to the
local state if the props `active` and `onClick` are not present.
","diff --git a/packages/cf-component-card/test/CardDrawers.js b/packages/cf-component-card/test/CardDrawers.js
index 0148490..ed5c656 100644
--- a/packages/cf-component-card/test/CardDrawers.js
+++ b/packages/cf-component-card/test/CardDrawers.js
@@ -6,7 +6,7 @@ import {
   CardToolbarLink
 } from '../../cf-component-card/src/index';
 
-test('should render', () => {
+test('should render when given all the props', () => {
   const component = renderer.create(
     <CardDrawers
       onClick={() => {}}
@@ -19,3 +19,15 @@ test('should render', () => {
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
+
+test('should render when not given props', () => {
+  const component = renderer.create(
+    <CardDrawers
+      drawers={[
+        { id: 'one', name: 'One', content: 'One Content' },
+        { id: 'two', name: 'Two', content: 'Two Content' }
+      ]}
+    />
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,,3,92,1,2,3,94
128,fbaf7463384bbc0916a02be3192ebbb9b71e6b66,476ed384f45311e4186905e31a35df69ac893abe,"Explained here https://github.com/cloudflare/cf-ui/issues/123.

It's already dogfooded by the `/example` and tests (felaTestContext). Once published, I will introduce it into cf-styleguide, cf-ux and cf-www-next as well.","add a test for cf-style-provider
","diff --git a/packages/cf-style-provider/test/index.js b/packages/cf-style-provider/test/index.js
new file mode 100644
index 0000000..d6def53
--- /dev/null
+++ b/packages/cf-style-provider/test/index.js
@@ -0,0 +1,9 @@
+import React, { PropTypes } from 'react';
+import { createProvider } from '../../cf-style-provider/src/index';
+import renderer from 'react-test-renderer';
+
+test('StyleProvider should render', () => {
+  const StyleProvider = createProvider();
+  const component = renderer.create(<StyleProvider><div /></StyleProvider>);
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,,2,12,1,9,13,477
133,e6d6612038a8f1aa09438dea6f9d90ed1ffbb84e,723e7944d2f02bbf49dc3c968429aaec82ca9ecd,This is ready to go!,"fix Form tests, update README, example
","diff --git a/packages/cf-component-form/test/Form.js b/packages/cf-component-form/test/Form.js
index 59910ca..4e82e67 100644
--- a/packages/cf-component-form/test/Form.js
+++ b/packages/cf-component-form/test/Form.js
@@ -1,17 +1,24 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { Form } from '../../cf-component-form/src/index';
+import { Form } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render horizontal layout', () => {
   const component = renderer.create(
-    <Form layout=""horizontal"" onSubmit={() => console.log('submit')}>Form</Form>
+    felaTestContext(
+      <Form layout=""horizontal"" onSubmit={() => console.log('submit')}>
+        Form
+      </Form>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render vertical layout', () => {
   const component = renderer.create(
-    <Form layout=""vertical"" onSubmit={() => console.log('submit')}>Form</Form>
+    felaTestContext(
+      <Form layout=""vertical"" onSubmit={() => console.log('submit')}>Form</Form>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });

diff --git a/packages/cf-component-form/test/FormFieldError.js b/packages/cf-component-form/test/FormFieldError.js
index 1865203..5324f75 100644
--- a/packages/cf-component-form/test/FormFieldError.js
+++ b/packages/cf-component-form/test/FormFieldError.js
@@ -1,27 +1,34 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
 import { renderToStaticMarkup } from 'react-dom/server';
-import { FormFieldError } from '../../cf-component-form/src/index';
+import { FormFieldError } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render valid state', () => {
   expect(
-    renderToStaticMarkup(<FormFieldError field={{}} validations={{}} />)
+    renderToStaticMarkup(
+      felaTestContext(<FormFieldError field={{}} validations={{}} />)
+    )
   ).toBe('');
 });
 
 test('should render invalid state', () => {
   const component = renderer.create(
-    <FormFieldError field={{ invalid: true }} validations={{}} />
+    felaTestContext(
+      <FormFieldError field={{ invalid: true }} validations={{}} />
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render invalid state with validation errors', () => {
   const component = renderer.create(
-    <FormFieldError
-      field={{ invalid: true }}
-      validations={{ required: 'This is required' }}
-    />
+    felaTestContext(
+      <FormFieldError
+        field={{ invalid: true }}
+        validations={{ required: 'This is required' }}
+      />
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });

diff --git a/packages/cf-component-form/test/FormFieldset.js b/packages/cf-component-form/test/FormFieldset.js
index 053f604..7651d96 100644
--- a/packages/cf-component-form/test/FormFieldset.js
+++ b/packages/cf-component-form/test/FormFieldset.js
@@ -1,10 +1,11 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { FormFieldset } from '../../cf-component-form/src/index';
+import { FormFieldset } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
   const component = renderer.create(
-    <FormFieldset legend=""Legend"">FormFieldset</FormFieldset>
+    felaTestContext(<FormFieldset legend=""Legend"">FormFieldset</FormFieldset>)
   );
   expect(component.toJSON()).toMatchSnapshot();
 });

diff --git a/packages/cf-component-form/test/FormFooter.js b/packages/cf-component-form/test/FormFooter.js
index 57c4fa2..0121a91 100644
--- a/packages/cf-component-form/test/FormFooter.js
+++ b/packages/cf-component-form/test/FormFooter.js
@@ -1,8 +1,11 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { FormFooter } from '../../cf-component-form/src/index';
+import { FormFooter } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
-  const component = renderer.create(<FormFooter>FormFooter</FormFooter>);
+  const component = renderer.create(
+    felaTestContext(<FormFooter>FormFooter</FormFooter>)
+  );
   expect(component.toJSON()).toMatchSnapshot();
 });

diff --git a/packages/cf-component-form/test/FormHeader.js b/packages/cf-component-form/test/FormHeader.js
index f185454..eb24551 100644
--- a/packages/cf-component-form/test/FormHeader.js
+++ b/packages/cf-component-form/test/FormHeader.js
@@ -1,8 +1,11 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { FormHeader } from '../../cf-component-form/src/index';
+import { FormHeader } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
-  const component = renderer.create(<FormHeader title=""FormHeader"" />);
+  const component = renderer.create(
+    felaTestContext(<FormHeader title=""FormHeader"" />)
+  );
   expect(component.toJSON()).toMatchSnapshot();
 });

diff --git a/packages/cf-component-form/test/FormLabel.js b/packages/cf-component-form/test/FormLabel.js
index 5e1564e..a4c79d6 100644
--- a/packages/cf-component-form/test/FormLabel.js
+++ b/packages/cf-component-form/test/FormLabel.js
@@ -1,13 +1,18 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { FormLabel } from '../../cf-component-form/src/index';
+import { FormLabel } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
-  const component = renderer.create(<FormLabel>FormLabel</FormLabel>);
+  const component = renderer.create(
+    felaTestContext(<FormLabel>FormLabel</FormLabel>)
+  );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render hidden', function() {
-  const component = renderer.create(<FormLabel hidden>FormLabel</FormLabel>);
+  const component = renderer.create(
+    felaTestContext(<FormLabel hidden>FormLabel</FormLabel>)
+  );
   expect(component.toJSON()).toMatchSnapshot();
 });
",0,,15,131,6,13,32,683
135,f7d6f8b1d9c207185423ce4e86369d684bd285e1,729bc89c563f0d2a8cdcb783d1da48a92988bd94,,"update pagination tests to Fela
","diff --git a/packages/cf-component-pagination/test/Pagination.js b/packages/cf-component-pagination/test/Pagination.js
index 3083171..a9021e8 100644
--- a/packages/cf-component-pagination/test/Pagination.js
+++ b/packages/cf-component-pagination/test/Pagination.js
@@ -1,15 +1,27 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { Pagination } from '../../cf-component-pagination/src/index';
+import {
+  Pagination,
+  PaginationRoot
+} from '../../cf-component-pagination/src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
-  const component = renderer.create(<Pagination>Pagination</Pagination>);
+  const component = renderer.create(
+    felaTestContext(
+      <Pagination PaginationRoot={PaginationRoot}>Pagination</Pagination>
+    )
+  );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render with info', () => {
   const component = renderer.create(
-    <Pagination info=""Pagination Info"">Pagination</Pagination>
+    felaTestContext(
+      <Pagination info=""Pagination Info"" PaginationRoot={PaginationRoot}>
+        Pagination
+      </Pagination>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });

diff --git a/packages/cf-component-pagination/test/PaginationItem.js b/packages/cf-component-pagination/test/PaginationItem.js
index 03fc951..b4b29f0 100644
--- a/packages/cf-component-pagination/test/PaginationItem.js
+++ b/packages/cf-component-pagination/test/PaginationItem.js
@@ -1,40 +1,57 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { PaginationItem } from '../../cf-component-pagination/src/index';
+import {
+  PaginationItem,
+  PaginationLink
+} from '../../cf-component-pagination/src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
   const component = renderer.create(
-    <PaginationItem type=""number"" label=""PaginationLabel"" onClick={() => {}}>
-      PaginationItem
-    </PaginationItem>
+    felaTestContext(
+      <PaginationItem
+        type=""number""
+        label=""PaginationLabel""
+        onClick={() => {}}
+        PaginationLink={PaginationLink}
+      >
+        PaginationItem
+      </PaginationItem>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render active', () => {
   const component = renderer.create(
-    <PaginationItem
-      active
-      type=""number""
-      label=""PaginationLabel""
-      onClick={() => {}}
-    >
-      PaginationItem
-    </PaginationItem>
+    felaTestContext(
+      <PaginationItem
+        active
+        type=""number""
+        label=""PaginationLabel""
+        onClick={() => {}}
+        PaginationLink={PaginationLink}
+      >
+        PaginationItem
+      </PaginationItem>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render disabled', () => {
   const component = renderer.create(
-    <PaginationItem
-      disabled
-      type=""number""
-      label=""PaginationLabel""
-      onClick={() => {}}
-    >
-      PaginationItem
-    </PaginationItem>
+    felaTestContext(
+      <PaginationItem
+        disabled
+        type=""number""
+        label=""PaginationLabel""
+        onClick={() => {}}
+        PaginationLink={PaginationLink}
+      >
+        PaginationItem
+      </PaginationItem>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
",0,,5,104,2,15,21,774
144,2a9f90fd722ed426a37f8ce6f1862599a0ff3454,2a9f90fd722ed426a37f8ce6f1862599a0ff3454,"We're embarking on a massive overhaul of some recent feature work and I'd like to clean house while we have the chance. I'd like to avoid the further proliferation of div and span with custom css in our growing codebase. 

This is sort of a stop gap as we implement fela in all of our cf-ui components and work out the kinks in usage, which may take a little time. The cf-component-flex overhaul was super awesome, and fixed most of the styling problems we hit in our recent LB work.

My thinking is that replacing the usage of a single component in several places will be easier to undo than transitioning a ton of css to css-in-js. To make this component conducive to that, the interface is identical to a fela rule.

I'm not super fond of the name box, but I could really thing of a better name. <antidiv/> perhaps? 

As an added benefit, we can add some safety for developers by checking for styling gotchas, should they attempt to do reckless things. 
","Adds Box component similar to cf-component-flex

This should allow us to eliminate all usage of div and span
in conjunction with css to hack the styles of cf-ui components.
","diff --git a/packages/cf-component-box/test/Box.js b/packages/cf-component-box/test/Box.js
new file mode 100644
index 0000000..20e1751
--- /dev/null
+++ b/packages/cf-component-box/test/Box.js
@@ -0,0 +1,29 @@
+import React from 'react';
+import { Box } from '../../cf-component-box/src/index';
+import renderer from 'react-test-renderer';
+import felaTestContext from '../../../felaTestContext';
+
+test('should render all props as styles', () => {
+  const component = renderer.create(
+    felaTestContext(
+      <Box
+        borderWidth={1}
+        borderStyle=""solid""
+        borderColor=""black""
+        margin=""1rem""
+        padding=""1rem""
+        display=""inline-block""
+        position=""relative""
+        top={1}
+        bottom={1}
+        minWidth={100}
+        width={100}
+        minHeight={100}
+        height={100}
+      >
+        Box
+      </Box>
+    )
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,,13,891,1,1,13,891
147,f312d51ce3884973d489e1a130f0b67cf5491814,f312d51ce3884973d489e1a130f0b67cf5491814,"The original button CSS styles had this rule:

```css
'& + &': {
  marginLeft: '0.4rem'
}
```

If you put two cf-component-buttons next to each other, the right one would get the left margin. However, this selector doesn't work with Fela since all classNames are random and atomic. So we need a different solution.

This PR adds a new prop `spaced` to the component `<ButtonGroup>`, so if you want to have spaces between `<Button>`s wrap them by `<ButtonGroup spaced>...</ButtonGroup>`.

Also, I made the `styles` function a little bit cleaner with `...function()` replacing `Object.assign()`.

<img width=""704"" alt=""screen shot 2017-04-03 at 11 05 07 pm"" src=""https://cloud.githubusercontent.com/assets/1387913/24643398/92d16360-18c2-11e7-8dd1-36505b2043e7.png"">
","add test for spaced ButtonGroup and update snapshots
","diff --git a/packages/cf-component-button/test/ButtonGroup.js b/packages/cf-component-button/test/ButtonGroup.js
index 7228f46..21e709f 100644
--- a/packages/cf-component-button/test/ButtonGroup.js
+++ b/packages/cf-component-button/test/ButtonGroup.js
@@ -45,3 +45,16 @@ test('should render 3 buttons', () => {
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
+
+test('should render 3 buttons with spacing', () => {
+  const component = renderer.create(
+    felaTestContext(
+      <ButtonGroup spaced>
+        <Button type=""primary"" onClick={() => {}}>Button</Button>
+        <Button type=""primary"" onClick={() => {}}>Button</Button>
+        <Button type=""primary"" onClick={() => {}}>Button</Button>
+      </ButtonGroup>
+    )
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,,3,66,2,2,7,289
149,b62bbdd469d2445921cd7b89378b60e81d373306,ffae759eaa60cee1bec8c3a0b896eeda962effd4,Solves skipped tests for @sejoker. I also added a full integration test for Fela within cf-style-provider.,"replace regexp by a full nicely formatted snapshot, snapshot testing ftw
","diff --git a/packages/cf-style-provider/test/index.js b/packages/cf-style-provider/test/index.js
index 3c481ee..01bf079 100644
--- a/packages/cf-style-provider/test/index.js
+++ b/packages/cf-style-provider/test/index.js
@@ -6,6 +6,7 @@ import renderer from 'react-test-renderer';
 import { render } from 'react-dom';
 import { mount } from 'enzyme';
 import jsdom from 'jsdom';
+import { html as beautify } from 'js-beautify';
 
 test('StyleProvider should render', () => {
   const component = renderer.create(<StyleProvider><div /></StyleProvider>);
@@ -14,24 +15,20 @@ test('StyleProvider should render', () => {
 
 test('StyleProvider should render styles', () => {
   const doc = jsdom.jsdom(
-    `
-	  <!doctype html>
-	  <html>
-	  <head>
-	    <style id=""stylesheet""></style>
-	    <style id=""font-stylesheet""></style>
-	  </head>
-	  <asd></asd>
-	  <body>
-	    <div id=""react-app""></div>
-	  </body>
-	  </html>`
+    `<!doctype html>
+     <html>
+     <head>
+       <style id=""stylesheet""></style>
+     </head>
+     <body>
+       <div id=""react-app""></div>
+     </body>
+     </html>`
   );
 
   global.document = doc;
   global.window = doc.defaultView;
 
-  const fontNode = doc.getElementById('font-stylesheet');
   const cssNode = doc.getElementById('stylesheet');
   const htmlNode = doc.getElementById('react-app');
 
@@ -41,15 +38,15 @@ test('StyleProvider should render styles', () => {
   }));
 
   render(
-    <StyleProvider fontNode={fontNode} cssNode={cssNode}>
+    <StyleProvider cssNode={cssNode}>
       <Foo />
     </StyleProvider>,
     htmlNode
   );
 
-  expect(doc.documentElement.outerHTML).toMatch(
-    /.cf-a{margin:10px}.cf-b{color:red}/
-  );
+  expect(
+    beautify(jsdom.serializeDocument(doc), { indent_size: 2 })
+  ).toMatchSnapshot();
 });
 
 test('StyleProvider should pass custom props through', () => {
",0,,4,120,1,5,6,157
152,b81366a8d1dde9d3e64d565373fc4213528f637f,85156f662dcbb01eaa324949b813c0d8a159eb56,"- postcss-color has an akward API
- postcss-color spams debug console
- we already use polished
- the output color is tiny-beanie different but not distinguishable by an eye (that's why snapshots were updated)
- polished prefers to output the shortest possible notation and not always rgba as postcss-color
- babel-plugin-polished is used for es build as well
","replace postcss-color-function by polished
",,0,,15,311,11,3,19,328
178,6367a415790ba402b8a820b53eccbaec5bb1a85c,3ba9b02cf5d4e350d937b7c41a162c01d1873c5a,,"added text size bold
","diff --git a/packages/cf-component-text/test/Text.js b/packages/cf-component-text/test/Text.js
index 0a45e28..24783a1 100644
--- a/packages/cf-component-text/test/Text.js
+++ b/packages/cf-component-text/test/Text.js
@@ -28,6 +28,18 @@ test('should render small size', () => {
   expect(component.toJSON()).toMatchSnapshot();
 });
 
+test('should render bold size', () => {
+  const Text = applyTheme(TextUnstyled, () => ({
+    fontSizeBold: '1rem',
+    fontWeightBold: 600
+  }));
+
+  const component = renderer.create(
+    felaTestContext(<Text size=""bold"">Hello</Text>)
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
+
 test('should render align', () => {
   const Text = applyTheme(TextUnstyled, () => ({
     textAlignCenter: 'center'
",0,,5,25,1,3,5,61
