pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1526,fbe681fa77bf76ac35327b0813b9393dd3cf0ead,fbe681fa77bf76ac35327b0813b9393dd3cf0ead,"### 🎯 Goal

Display overlay ""X more"" on Gallery only if more images uploaded than displayed.

Fixes #1418 

### 🛠 Implementation details

If user clicks on:
1. image without the overlay -> the Gallery modal displays the clicked message
2. image with the overlay -> the Gallery modal displays the clicked message

### 🎨 UI Changes

#### Gallery variations main message list:

<details><summary>1 image</summary>

![image](https://user-images.githubusercontent.com/32706194/163753670-474a589f-2498-4d62-b00e-66379976e2c5.png)

</details>

<details><summary>2 images</summary>

![image](https://user-images.githubusercontent.com/32706194/163753690-3bba93d0-ee43-4613-b5ec-a21609183c70.png)

</details>

<details><summary>3 images</summary>

![image](https://user-images.githubusercontent.com/32706194/163753704-8b7b18e1-7207-48ce-9244-d298f6fbbd19.png)

</details>

<details><summary>4 images</summary>

![image](https://user-images.githubusercontent.com/32706194/163753715-8354671d-4e72-4641-9457-1a2f3c1ca610.png)

</details>

<details><summary>5 images</summary>

![image](https://user-images.githubusercontent.com/32706194/163753722-a4884d1f-cc7a-4324-b549-14b363a245e5.png)

</details>

<details><summary>6 images</summary>

![image](https://user-images.githubusercontent.com/32706194/163753733-e0b0f61f-0d3a-4f73-b380-5972833def54.png)

</details>

#### Gallery variations thread:

<details><summary>thread</summary>

![image](https://user-images.githubusercontent.com/32706194/163753982-e81bd25c-e163-4bde-a7f0-ac96c58a2499.png)

![image](https://user-images.githubusercontent.com/32706194/163753960-1ce3efa1-8b94-4410-95c6-6657b7cb3970.png)

</details>","fix: display overlay ""X more"" on Gallery only if more images uploaded than displayed
","diff --git a/src/components/Gallery/__tests__/Gallery.test.js b/src/components/Gallery/__tests__/Gallery.test.js
index c555a72..9120c27 100644
--- a/src/components/Gallery/__tests__/Gallery.test.js
+++ b/src/components/Gallery/__tests__/Gallery.test.js
@@ -1,6 +1,6 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { cleanup, fireEvent, render, waitFor } from '@testing-library/react';
+import { act, cleanup, fireEvent, render, waitFor } from '@testing-library/react';
 import '@testing-library/jest-dom';
 
 import { getTestClientWithUser } from '../../../mock-builders';
@@ -36,11 +36,6 @@ const mockGalleryAssets = [
     originalAlt: 'User uploaded content',
     src: 'https://placeimg.com/640/480/any',
   },
-  {
-    original: 'https://placeimg.com/640/480/any',
-    originalAlt: 'User uploaded content',
-    src: 'https://placeimg.com/640/480/any',
-  },
 ];
 
 afterEach(cleanup); // eslint-disable-line
@@ -61,7 +56,7 @@ describe('Gallery', () => {
     expect(tree).toMatchSnapshot();
   });
 
-  it('should render component with 6 images', () => {
+  it('should render component with 5 images', () => {
     const tree = renderer.create(<Gallery images={mockGalleryAssets} />).toJSON();
     expect(tree).toMatchSnapshot();
   });
@@ -85,7 +80,25 @@ describe('Gallery', () => {
       </Chat>,
     );
     await waitFor(() => {
-      expect(getByText('3 more')).toBeInTheDocument();
+      expect(getByText('1 more')).toBeInTheDocument();
+    });
+  });
+
+  it('should open the modal with image displayed under the ""X more"" overlay if clicked on the overlay', async () => {
+    chatClient = await getTestClientWithUser({ id: 'test' });
+    const { container, getByText } = render(
+      <Chat client={chatClient}>
+        <Gallery images={mockGalleryAssets} />,
+      </Chat>,
+    );
+
+    const overlay = await waitFor(() => getByText('1 more'));
+    act(() => {
+      fireEvent.click(overlay);
+    });
+
+    await waitFor(() => {
+      expect(container.querySelector('.image-gallery-index')).toHaveTextContent('4 / 5');
     });
   });
 });
",0,,3,146,1,1,3,146
1547,0887668508be78caa8454e644a69065a65d9ae95,13e33ed58366024f27aedf9458c80b03cde36d66,"# Submit a pull request

### 🎯 Goal

Prevent problems with loading SVG file `str-chat__connection-error.svg` by inlining its content into the component `ConnectionErrorIcon`.

Also, all the `assets` folders were removed. For build purposes were used assets provided by `@stream-io/stream-chat-css` package.

fixes #1543 
fixes #1428 

### 🛠 Implementation details

I have also considered the approach with loading the SVG file with CSS by means of `background-image: url()`, but have decided to avoid it and to keep the `ChatDown` component backwards compatible. Users can keep using the  `image` prop on `ChatDownProps`. The `image` prop now accepts not only URL string but a `ReactElement` to follow the approach of avoiding redundant HTTP requests for assets.

### 🎨 UI Changes

![image](https://user-images.githubusercontent.com/32706194/165308848-ca4d8586-b2ba-4248-827f-3fb8e56fa72b.png)

","refactor: inline the connection-error svg and allow for ReactElement in ChatDown image prop
","diff --git a/src/components/ChatDown/__tests__/ChatDown.test.js b/src/components/ChatDown/__tests__/ChatDown.test.js
index ad8e319..826cbce 100644
--- a/src/components/ChatDown/__tests__/ChatDown.test.js
+++ b/src/components/ChatDown/__tests__/ChatDown.test.js
@@ -34,6 +34,19 @@ describe('ChatDown', () => {
     expect(tree).toMatchSnapshot();
   });
 
+  it('should render custom image component', async () => {
+    const ImageComponent = () => <div data-testid={'chatdown-img-custom'}>custom</div>;
+    const Component = <ChatDown image={<ImageComponent />} />;
+    const { getByTestId } = render(Component);
+
+    await waitFor(() => {
+      expect(getByTestId('chatdown-img-custom')).toBeInTheDocument();
+    });
+
+    const tree = renderer.create(Component).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
   it('should render component with custom type', async () => {
     const type = 'Warning';
     const { getByText } = render(<ChatDown type={type} />);
",0,,5,186,1,3,43,317
1698,7744c6384102caa958b64f0bb8c9c2684f9aba87,53eaeebceee31c08de1e25c82cfe69f29bf158d5,"### 🎯 Goal
With this PR, we want to fix one edge case with user mentions feaure in which a user could have their name set to their e-mail address. Before, the SDK would wrongly recognize the mention as an e-mail address and would wrap it into `<a href=""mailto:..."" />` tag.

### 🛠 Implementation details
The link detection process kicks in before user mentions are detected.
With this change, while detecting links we also consider whether the detected link matches an email identical to the mentioned user's name.

As part of this change, `mdast-util-find-and-replace` is updated to its latest version as the one we were previously using had a bug, and sometimes it could skip matching nodes.
","fix: detect mentions of users who have email as their name

The link detection process kicks-in before user mentions are detected.
With this change, while detecting links we also take care whether the detected link
matches to an email which is identical to possibly mentioned user's name.

As part of this change, mdast-util-find-and-replace is updated to it's latest version
as the one we were previously using had a bug, and sometimes it could skip matching nodes.
","diff --git a/src/__tests__/utils.test.js b/src/__tests__/utils.test.js
new file mode 100644
index 0000000..52816de
--- /dev/null
+++ b/src/__tests__/utils.test.js
@@ -0,0 +1,46 @@
+import renderer from 'react-test-renderer';
+import { renderText } from '../utils';
+
+describe(`renderText`, () => {
+  it('handles the special case where user name matches to an e-mail pattern - 1', () => {
+    const Markdown = renderText(
+      'Hello @username@email.com, is username@email.com your @primary e-mail?',
+      [{ id: 'id-username@email.com', name: 'username@email.com' }],
+    );
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('handles the special case where user name matches to an e-mail pattern - 2', () => {
+    const Markdown = renderText(
+      'username@email.com @username@email.com is this the right address?',
+      [{ id: 'id-username@email.com', name: 'username@email.com' }],
+    );
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('handles the special case where user name matches to an e-mail pattern - 3', () => {
+    const Markdown = renderText(
+      '@username@email.com @username@email.com @username@email.com @username@email.com',
+      [{ id: 'id-username@email.com', name: 'username@email.com' }],
+    );
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('handles the special case where user name matches to an e-mail pattern - 4', () => {
+    const Markdown = renderText(
+      '@username@email.com @username@email.com username@email.com @username@email.com',
+      [{ id: 'id-username@email.com', name: 'username@email.com' }],
+    );
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('renders standard markdown text', () => {
+    const Markdown = renderText('Hi, shall we meet on **Tuesday**?', []);
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+});
",0,,5,241,1,2,5,289
1709,dbe77bc423fc35567483778eaabf45a2f1507efd,73c731470398d93d336a0eecc4bf88a9219c77f2,"### 🎯 Goal

Allow to view the whole attachment image if rendered in the `Card` attachment. This aligns the image display behavior. Also, this solves the problem of not being able to see the whole og image if the images does not match the ration 1:1.91.

### 🛠 Implementation details

The `Image` component was reused for rendering images in `Card`. This component conditionally renders modal with the displayed image.

### 🎨 UI Changes

![image](https://user-images.githubusercontent.com/32706194/184613951-5afad352-7222-4c78-bf6d-61a8691484dd.png)

![image](https://user-images.githubusercontent.com/32706194/184613917-10f287c4-d4a7-4764-898a-a178a1662104.png)

","test: update Card snapshots
",,0,,1,105,1,3,5,147
1745,6b0af0f8fad7bd6ca38e4b7bdf842507e42579dc,6b0af0f8fad7bd6ca38e4b7bdf842507e42579dc,"### 🎯 Goal

Add mock of `nanoid` to prevent snapshots from changing every time.","test: add nanoid mock to AttachmentPreviewList
","diff --git a/src/components/MessageInput/__tests__/AttachmentPreviewList.test.js b/src/components/MessageInput/__tests__/AttachmentPreviewList.test.js
index 29fcd73..b2f2ebd 100644
--- a/src/components/MessageInput/__tests__/AttachmentPreviewList.test.js
+++ b/src/components/MessageInput/__tests__/AttachmentPreviewList.test.js
@@ -43,6 +43,10 @@ const renderComponent = (value = {}, renderFunction = render) =>
     </MessageInputContextProvider>,
   );
 
+jest.mock('nanoid', () => ({
+  nanoid: () => '<randomNanoId>',
+}));
+
 describe('AttachmentPreviewList', () => {
   it('renders without any attachments', () => {
     const { getByTestId } = renderComponent();
",0,,2,12,1,1,2,12
1748,f41e312d2e98662ba62a24ad3404ec9ebc079d54,f41e312d2e98662ba62a24ad3404ec9ebc079d54,"### 🎯 Goal

Allow to play the video directly in the `Card` with video asset link with css theme version 1. After the release v10.0.0 the video widget was replaced with an image. Click on the image lead to opening of a new tab with the video link.

### 🛠 Implementation details

It was necessary to check the attachment type in `Card` component using theme v1.","test: update snapshot video Card theme v2
",,0,,1,9,1,3,3,268
1824,7125de30df95b488257ba070e6cd091a2c4459b6,7125de30df95b488257ba070e6cd091a2c4459b6,"### 🎯 Goal

- upgrade `ReactMarkdown` to the latest major version which no longer uses the chain of packages `html-to-react` -> `htmlparser2` -> `domutils` which were causing the issue for Bundlephobia, refactor `renderText` accordingly
- add support for `del` (strikethrough) and `ul`/`ol` (lists) with `remark-gfm` plugin
- document `renderText` function and its options

### 🛠 Implementation details

- fix e-mail mentions (@user@domain.com) interference with remark-gfm plugin
- fix CJS bundle by changing `rollup-plugin-commonjs` to `@rollup/plugin-commonjs` [29930db](https://github.com/GetStream/stream-chat-react/pull/1824/commits/29930dbfe1ee4a38f461eb6e82fc416e1647c326)

### 🎨 UI Changes

![image](https://user-images.githubusercontent.com/43254280/199681721-5f06d202-ce3a-463a-a095-4d53ca336069.png)
","test: update renderText test and snapshots
","diff --git a/src/__tests__/utils.test.js b/src/__tests__/utils.test.js
index 2ecf2d4..b63b75b 100644
--- a/src/__tests__/utils.test.js
+++ b/src/__tests__/utils.test.js
@@ -46,7 +46,18 @@ describe(`renderText`, () => {
       {
         customMarkDownRenderers: {
           mention: function MyMention(props) {
-            return <span className='my-mention'>{props.children}</span>;
+            return (
+              <span
+                className='my-mention'
+                // TODO: remove in the next major release
+                data-mentioned-user-id={props.mentioned_user.id}
+                // TODO: remove in the next major release
+                data-node-mentioned-user-id={props.node.mentioned_user.id}
+                data-node-mentionedUser-id={props.node.mentionedUser.id}
+              >
+                {props.children}
+              </span>
+            );
           },
         },
       },
@@ -60,4 +71,13 @@ describe(`renderText`, () => {
     const tree = renderer.create(Markdown).toJSON();
     expect(tree).toMatchSnapshot();
   });
+
+  it('renders remark-gfm list and strikethrough correctly', () => {
+    const Markdown = renderText(
+      'Pick a time to meet:\n- Wednesday\n- Thursday\n- ~~Sunday~~\n- ~Monday~\n',
+      [],
+    );
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
 });
",0,,2,67,1,8,11,1522
1873,b85fdfc54a7d6e10e6f1337584eff78a70b94621,b85fdfc54a7d6e10e6f1337584eff78a70b94621,"### 🎯 Goal

Provide a fix which handles a special case where message contains at least one valid mention and @ symbol at the end of the message which causes unrecoverable crash.

Fixes: #1872","test: add test for special case with @ symbol
","diff --git a/src/__tests__/utils.test.js b/src/__tests__/utils.test.js
index b63b75b..ce18a15 100644
--- a/src/__tests__/utils.test.js
+++ b/src/__tests__/utils.test.js
@@ -80,4 +80,12 @@ describe(`renderText`, () => {
     const tree = renderer.create(Markdown).toJSON();
     expect(tree).toMatchSnapshot();
   });
+
+  it(""handles the special case where there's at least one mention and @ symbol at the end"", () => {
+    const Markdown = renderText('@username@email.com @', [
+      { id: 'id-username@email.com', name: 'username@email.com' },
+    ]);
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
 });
",0,,2,20,1,2,3,24
1947,8074d219bb226ea92e323da8a7a5adba122fa2fd,f04c2919e12dbfd5a035457269d9cd54a3b650f8,"BREAKING CHANGE: `reactionOptions` signature has changed, see release guide for more information

### 🎯 Goal

Refactor and fix the way reactions work, introduce new way of customizing with better DX.

Fixes: #1935
Closes: #1637
Closes: #1437
Closes: #2159
Closes: https://github.com/GetStream/stream-chat-react-native/issues/2023

### 🛠 Implementation details

- ditch EmojiMart implementation, use native/sprite-sheet solution","test(Reactions): adjust tests to fit new implementation
","diff --git a/src/components/Reactions/__tests__/SimpleReactionsList.test.js b/src/components/Reactions/__tests__/SimpleReactionsList.test.js
index e8ac915..db18155 100644
--- a/src/components/Reactions/__tests__/SimpleReactionsList.test.js
+++ b/src/components/Reactions/__tests__/SimpleReactionsList.test.js
@@ -1,69 +1,54 @@
 import React from 'react';
 import { fireEvent, render } from '@testing-library/react';
 import '@testing-library/jest-dom';
-import EmojiComponentMock from 'emoji-mart/dist-modern/components/emoji/nimble-emoji';
 import { toHaveNoViolations } from 'jest-axe';
 import { axe } from '../../../../axe-helper';
 expect.extend(toHaveNoViolations);
 
+import * as utils from '../utils/utils';
 import { SimpleReactionsList } from '../SimpleReactionsList';
+import { defaultReactionOptions } from '../reactionOptions';
 
 import { ChatProvider } from '../../../context/ChatContext';
-import { EmojiProvider } from '../../../context/EmojiContext';
 import { MessageProvider } from '../../../context/MessageContext';
 
-import { emojiComponentMock, emojiDataMock, generateReaction } from '../../../mock-builders';
+import { generateReaction } from '../../../mock-builders';
+import { ComponentProvider } from '../../../context';
 
 jest.mock('emoji-mart/dist-modern/components/emoji/nimble-emoji', () =>
   jest.fn(({ emoji }) => <div data-testid={`emoji-${emoji.id}`} />),
 );
 
 const handleReactionMock = jest.fn();
-const loveEmojiTestId = 'emoji-love';
+// const loveEmojiTestId = 'emoji-love';
 
 const renderComponent = ({ reaction_counts = {}, themeVersion = '1', ...props }) => {
-  const reactions = Object.entries(reaction_counts)
-    .map(([type, count]) =>
-      Array(count)
-        .fill()
-        .map(() => generateReaction({ type })),
-    )
-    .flat();
+  const reactions = Object.entries(reaction_counts).flatMap(([type, count]) =>
+    Array(count)
+      .fill()
+      .map((_, i) => generateReaction({ type, user: { id: `${USER_ID}-${i}` } })),
+  );
 
   return {
     ...render(
       <ChatProvider value={{ themeVersion }}>
-        <MessageProvider value={{}}>
-          <EmojiProvider
-            value={{
-              Emoji: emojiComponentMock.Emoji,
-              emojiConfig: emojiDataMock,
-              EmojiIndex: emojiComponentMock.EmojiIndex,
-              EmojiPicker: emojiComponentMock.EmojiPicker,
-            }}
-          >
+        <ComponentProvider value={{ reactionOptions: defaultReactionOptions }}>
+          <MessageProvider value={{}}>
             <SimpleReactionsList
               handleReaction={handleReactionMock}
               reaction_counts={reaction_counts}
               reactions={reactions}
               {...props}
             />
-          </EmojiProvider>
-        </MessageProvider>
+          </MessageProvider>
+        </ComponentProvider>
       </ChatProvider>,
     ),
     reactions,
   };
 };
 
-const expectEmojiToHaveBeenRendered = (id) => {
-  expect(EmojiComponentMock).toHaveBeenCalledWith(
-    expect.objectContaining({
-      emoji: expect.objectContaining({ id }),
-    }),
-    {},
-  );
-};
+const USER_ID = 'mark';
 
 describe.each(['1', '2'])('SimpleReactionsList v%s', (themeVersion) => {
   afterEach(jest.clearAllMocks);
@@ -81,7 +66,7 @@ describe.each(['1', '2'])('SimpleReactionsList v%s', (themeVersion) => {
   it('should render the total reaction count', async () => {
     const { container, getByText } = renderComponent({
       reaction_counts: {
-        angry: 2,
+        haha: 2,
         love: 5,
       },
       themeVersion,
@@ -95,14 +80,16 @@ describe.each(['1', '2'])('SimpleReactionsList v%s', (themeVersion) => {
 
   it('should render an emoji for each type of reaction', async () => {
     const reaction_counts = {
-      angry: 2,
+      haha: 2,
       love: 5,
     };
-    const { container } = renderComponent({ reaction_counts, themeVersion });
+    // force to render default fallbacks
+    jest.spyOn(utils, 'getImageDimensions').mockRejectedValue('Error');
+    jest.spyOn(console, 'error').mockImplementation(null);
 
-    expect(EmojiComponentMock).toHaveBeenCalledTimes(Object.keys(reaction_counts).length);
+    const { container } = renderComponent({ reaction_counts, themeVersion });
 
-    Object.keys(reaction_counts).forEach(expectEmojiToHaveBeenRendered);
+    expect(container).toMatchSnapshot();
     const results = await axe(container);
     expect(results).toHaveNoViolations();
   });
@@ -122,9 +109,7 @@ describe.each(['1', '2'])('SimpleReactionsList v%s', (themeVersion) => {
       themeVersion,
     });
 
-    expect(EmojiComponentMock).toHaveBeenCalledTimes(Object.keys(reaction_counts).length);
-
-    Object.keys(reaction_counts).forEach(expectEmojiToHaveBeenRendered);
+    expect(container).toMatchSnapshot();
     const results = await axe(container);
     expect(results).toHaveNoViolations();
   });
@@ -134,9 +119,9 @@ describe.each(['1', '2'])('SimpleReactionsList v%s', (themeVersion) => {
       love: 1,
     };
 
-    const { container, getByTestId } = renderComponent({ reaction_counts, themeVersion });
+    const { container, getByText } = renderComponent({ reaction_counts, themeVersion });
 
-    fireEvent.click(getByTestId(loveEmojiTestId));
+    fireEvent.click(getByText('❤️'));
 
     expect(handleReactionMock).toHaveBeenCalledWith('love', expect.any(Object));
     const results = await axe(container);
@@ -148,18 +133,18 @@ describe.each(['1', '2'])('SimpleReactionsList v%s', (themeVersion) => {
       love: 3,
     };
 
-    const { container, getByTestId, queryByText, reactions } = renderComponent({
+    const { container, getByText, queryByText, reactions } = renderComponent({
       reaction_counts,
       themeVersion,
     });
 
-    fireEvent.mouseEnter(getByTestId(loveEmojiTestId));
+    fireEvent.mouseEnter(getByText('❤️'));
 
     reactions.forEach(({ user }) => {
       expect(queryByText(user.name || user.id, { exact: false })).toBeInTheDocument();
     });
 
-    fireEvent.mouseLeave(getByTestId(loveEmojiTestId));
+    fireEvent.mouseLeave(getByText('❤️'));
 
     reactions.forEach(({ user }) => {
       expect(queryByText(user.id, { exact: false })).not.toBeInTheDocument();
",0,,7,328,1,15,24,1176
1997,6c70c59b5c65b10bcb075a13399061397308e242,6c70c59b5c65b10bcb075a13399061397308e242,"### 🎯 Goal

Fixes: #1991","fix(renderText): handle forward slash in mentions
","diff --git a/src/__tests__/utils.test.js b/src/__tests__/utils.test.js
index ce18a15..8099a50 100644
--- a/src/__tests__/utils.test.js
+++ b/src/__tests__/utils.test.js
@@ -88,4 +88,28 @@ describe(`renderText`, () => {
     const tree = renderer.create(Markdown).toJSON();
     expect(tree).toMatchSnapshot();
   });
+
+  it('handles the special case where there are pronouns in the name', () => {
+    const Markdown = renderText('hey, @John (they/them), how are you?', [
+      { id: 'john', name: 'John (they/them)' },
+    ]);
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('handles the special case where there is a forward slash in the name', () => {
+    const Markdown = renderText('hey, @John/Cena, how are you?', [
+      { id: 'john', name: 'John/Cena' },
+    ]);
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('handles the special case where there is a backslash in the name', () => {
+    const Markdown = renderText('hey, @John\\Cena, how are you?', [
+      { id: 'john', name: 'John\\Cena' },
+    ]);
+    const tree = renderer.create(Markdown).toJSON();
+    expect(tree).toMatchSnapshot();
+  });
 });
",0,,3,65,1,1,3,65
