pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1007,1e2f9e52526e4d75220bcf792006be9b8f88ed33,1e2f9e52526e4d75220bcf792006be9b8f88ed33,Will close #805,"feat: allow to disable lineNumbers
",,0,,9,177,1,1,9,177
1074,d90226448ee4c331edb186f0bda1b5ab238c42ab,d90226448ee4c331edb186f0bda1b5ab238c42ab,Fix #1071,"Use correct case for PO file header MIME-Version

Fix #1071
","diff --git a/packages/cli/src/api/formats/po.test.ts b/packages/cli/src/api/formats/po.test.ts
index 2ff33a1..9680e5c 100644
--- a/packages/cli/src/api/formats/po.test.ts
+++ b/packages/cli/src/api/formats/po.test.ts
@@ -246,7 +246,7 @@ describe(""pofile format"", () => {
       msgid """"
       msgstr """"
       ""POT-Creation-Date: ${formatDate(new Date(), ""yyyy-MM-dd HH:mmxxxx"")}\\n""
-      ""Mime-Version: 1.0\\n""
+      ""MIME-Version: 1.0\\n""
       ""Content-Type: text/plain; charset=utf-8\\n""
       ""Content-Transfer-Encoding: 8bit\\n""
       ""X-Generator: @lingui/cli\\n""
",0,,12,26,2,1,12,26
1094,fbdd6a090612c100d154302e2340ddd17a898d34,fbdd6a090612c100d154302e2340ddd17a898d34,"As described as part of: https://github.com/lingui/js-lingui/issues/856

My decision here was to use `context` / `msgctxt` as a way to ""sub-key"" a given key, which I feel lines up more with the [original gettext implmentation/intention of context](https://www.gnu.org/software/gettext/manual/html_node/Contexts.html). So if we had a catalog like so:

```json
{
    ""keyA"": ""translationA"",
    ""keyB"": ""translationB"",
}
```

the addition of context could be modeled like so:

```json
{
    ""keyA"": ""translationA"",
    ""keyB"": ""translationB"",
    ""contextA"": {
         ""keyA"": ""translationAA"",
         ""keyB"": ""translationAB""
     },
     ""contextB"": {
         ""keyA"": ""translationBA""
     }
}
```

where a given context string acts as the key of another sub-catalog of translations. This allows one to add multiple translations for a given ID / string by using different contexts. To pull out translations, one would reference `this.messages[context][id]` instead of `this.messages[id]` in the case that context was defined for a given ID.

On top of that,  I think this is actually pretty trivial to support for many of lingui's current formats (`po`, `po-gettext`, `minimal`, and `raw`), since we're just creating sub-objects and serializing / deserializing them. As far as CSV is concerned, I think there'd need to be a bit of extra work, but it could be possible to apply something similar to what we're doing with JSON (imagine instead of each row being `key, translation` you have `context, key, translation` and work with that)

There's the caveat that this does not abstract `msgid`s and solve the shrinking of IDs in catalogs, one of the upsides to @Bertg's approach to this problem.

I'd say this is about 90% of the way there, but I'd love to get some feedback and thoughts around this approach, particularly around this chunk which could be refactored to be much cleaner: https://github.com/lingui/js-lingui/compare/main...nakkamarra:msgctx-support?expand=1#diff-9317c05f72203559bc3788fb80d76d19f38b457e50c35c430463d964574eec90R27-R80

@semoal @tricoder42 @Bertg","Update tests
","diff --git a/packages/cli/src/api/formats/po-gettext.test.ts b/packages/cli/src/api/formats/po-gettext.test.ts
index 1489b9e..4ff058f 100644
--- a/packages/cli/src/api/formats/po-gettext.test.ts
+++ b/packages/cli/src/api/formats/po-gettext.test.ts
@@ -303,6 +303,7 @@ msgstr[2] ""# dní""
         // Note that the last case must be `other` (the 4th CLDR case name) instead of `many` (the 3rd CLDR case name).
         translation: ""{#, plural, one {# den} few {# dny} other {# dní}}"",
         extractedComments: [],
+        context: null,
         comments: [],
         obsolete: false,
         origin: [],
",0,,12,209,4,3,22,402
1127,af2b2d59c6122374db884877cd3123cf1d7f222d,af2b2d59c6122374db884877cd3123cf1d7f222d,Will close #1097,"fix(): keys with leading number was generating bad object keys
","diff --git a/packages/cli/src/api/compile.test.ts b/packages/cli/src/api/compile.test.ts
index ffa0238..7e41102 100644
--- a/packages/cli/src/api/compile.test.ts
+++ b/packages/cli/src/api/compile.test.ts
@@ -113,6 +113,7 @@ describe(""createCompiledCatalog"", () => {
         {
           Hello: ""Ahoj"",
           Missing: """",
+          Select: ""{id, select, Gen {Genesis} 1John {1 John}  other {____}}""
         },
         {
           strict,
",0,,3,10,1,1,3,10
1131,84a26a0a7bdfb36898ec6c3cb870717eea183c5d,84a26a0a7bdfb36898ec6c3cb870717eea183c5d,Will close #1130 ,"fix(): country-coded language breaks plurals with po-gettext
","diff --git a/packages/cli/src/api/formats/po-gettext.test.ts b/packages/cli/src/api/formats/po-gettext.test.ts
index 1489b9e..82e7075 100644
--- a/packages/cli/src/api/formats/po-gettext.test.ts
+++ b/packages/cli/src/api/formats/po-gettext.test.ts
@@ -366,4 +366,15 @@ msgstr[2] ""# dní""
       })
     })
   })
+
+  describe(""convertPluralsToIco handle correctly locales with 4-letter"", () => {
+    const pofile = fs
+    .readFileSync(
+      path.join(path.resolve(__dirname), ""fixtures"", ""messages_plural-4-letter.po"")
+    )
+    .toString()
+
+  const catalog = format.parse(pofile)
+  expect(catalog).toMatchSnapshot()
+  })
 })
",0,,4,89,1,1,4,89
1166,9aa9224db9c9a637b4589fd9bfc5e76cadb9afad,9aa9224db9c9a637b4589fd9bfc5e76cadb9afad,"When we run `lingui extract --overwrite` only translations with a custom id + message were working properly.
However, if there is no default `message` but only the `id`, `--overwrite` option was resetting the translation to empty string instead of using `key` as default

This was working properly when a ""new"" key was added, but not when we update the key (on merge)

Also update snapshot `go-gettext.test.ts.snap` because it fails on master

Fixes #1162 
See [this repository](https://github.com/ardeois/lingui-extract-overwrite-bug) to reproduce the issue","fix(cli): extract with --overwrite should fallback to key

When we run `lingui extract --overwrite` only translations with a custom id + message were working properly.
However, if there is no default `message` but only the `id`, `--overwrite` option was resetting the translation to empty string instead of using `key` as default

This was working properly when a ""new"" key is added, but not when we update the key (on merge)

Also update snapshot `go-gettext.test.ts.snap` because it fails on master
",,0,,3,29,1,1,3,29
1247,ee568d3d8f2752335f0f727ccae4f58a7318efc0,ee568d3d8f2752335f0f727ccae4f58a7318efc0,"# Description

Switch from unmaintained [@endemolshinegroup/cosmiconfig-typescript-loader] to [cosmiconfig-typescript-loader].

## Why?

I’ve run into a problem in one of my projects where running `jest` gave errors.

<details>

```
Error: Jest: Failed to parse the TypeScript config file …/jest.config.ts
  Error: Debug Failure. False expression: Non-string value passed to
  `ts.resolveTypeReferenceDirective`, likely by a wrapping package
  working
  with an outdated `resolveTypeReferenceDirectives` signature. This is
  probably not a problem in TS itself.
      at readConfigFileAndSetRootDir
      (…/node_modules/jest-config/build/readConfigFileAndSetRootDir.js:136:13)
          at readConfig
          (…/node_modules/jest-config/build/index.js:233:18)
              at readConfigs
              (…/node_modules/jest-config/build/index.js:420:26)
                  at runCLI
                  (…/node_modules/@jest/core/build/cli/index.js:132:59)
                      at Object.run
                      (…/node_modules/jest-cli/build/cli/index.js:155:37)
```

</details>

Caused by `ts-node@9` (https://github.com/facebook/jest/issues/12655) and upgrading to 10 was hold off by lingui depending on
[@endemolshinegroup/cosmiconfig-typescript-loader].

And generally speaking — better to make a switch from a package that was
last updated two years ago and seems abandoned.

[@endemolshinegroup/cosmiconfig-typescript-loader]: https://www.npmjs.com/package/@endemolshinegroup/cosmiconfig-typescript-loader
[cosmiconfig-typescript-loader]: https://www.npmjs.com/package/cosmiconfig-typescript-loader

# Checklist

- [x] Includes tests
- [ ] Includes documentation
","Switch from @endemolshinegroup/cosmiconfig-typescript-loader to cosmiconfig-typescript-loader
","diff --git a/packages/conf/src/index.test.ts b/packages/conf/src/index.test.ts
index 45954c1..1f13a2c 100644
--- a/packages/conf/src/index.test.ts
+++ b/packages/conf/src/index.test.ts
@@ -119,18 +119,18 @@ describe(""@lingui/conf"", function () {
     })
   })
 
-  it(""searches for a config file"", function () {
-    // hide validation warning about missing locales
-    mockConsole(() => {
-      const config = getConfig({
-        cwd: path.resolve(__dirname, path.join(""fixtures"", ""valid"")),
+  describe(""config file"", function () {
+    it(""searches for a .linguirc config file"", function () {
+      // hide validation warning about missing locales
+      mockConsole(() => {
+        const config = getConfig({
+          cwd: path.resolve(__dirname, path.join(""fixtures"", ""valid"")),
+        })
+        expect(config.locales).toEqual([""en-gb""])
       })
-      expect(config.locales).toEqual([""en-gb""])
     })
-  })
 
-  describe(""with configPath parameter"", function () {
-    it(""allows specific config file to be loaded"", function () {
+    it(""allows specific config file to be loaded with configPath parameter"", function () {
       // hide validation warning about missing locales
       mockConsole(() => {
         const config = getConfig({
@@ -142,39 +142,52 @@ describe(""@lingui/conf"", function () {
         expect(config.locales).toEqual([""cs"", ""sk""])
       })
     })
-  })
-
-  describe(""fallbackLocales logic"", () => {
-    afterEach(() => {
-      mockFs.restore()
-    })
 
-    it (""if fallbackLocale is defined, we use the default one on fallbackLocales"", () => {
-      mockFs({
-        "".linguirc"": JSON.stringify({
-          locales: [""en-US""],
-          fallbackLocale: ""en""
-        })
-      })
-      mockConsole((console) => {
+    it(""loads TypeScript config"", function () {
+      // hide validation warning about missing locales
+      mockConsole(() => {
         const config = getConfig({
-          configPath: "".linguirc"",
+          configPath: path.resolve(
+            __dirname,
+            path.join(""fixtures"", ""valid"", ""custom.config.ts"")
+          ),
         })
-        expect(config.fallbackLocales.default).toEqual(""en"")
-        expect(getConsoleMockCalls(console.warn)).toMatchSnapshot()
+        expect(config.locales).toEqual([""pl""])
       })
     })
 
-    it (""if fallbackLocales default is defined, we dont build the cldr"", () => {
-      const config = getConfig({
-        configPath: path.resolve(
-          __dirname,
-          path.join(""fixtures"", ""valid"", "".fallbacklocalesrc"")
-        ),
+    describe(""fallbackLocales logic"", () => {
+      afterEach(() => {
+        mockFs.restore()
+      })
+
+      it(""if fallbackLocale is defined, we use the default one on fallbackLocales"", () => {
+        mockFs({
+          "".linguirc"": JSON.stringify({
+            locales: [""en-US""],
+            fallbackLocale: ""en"",
+          }),
+        })
+        mockConsole((console) => {
+          const config = getConfig({
+            configPath: "".linguirc"",
+          })
+          expect(config.fallbackLocales.default).toEqual(""en"")
+          expect(getConsoleMockCalls(console.warn)).toMatchSnapshot()
+        })
       })
-      expect(config.fallbackLocales).toEqual({
-        ""en-US"": [""en""],
-        default: ""en"",
+
+      it(""if fallbackLocales default is defined, we dont build the cldr"", () => {
+        const config = getConfig({
+          configPath: path.resolve(
+            __dirname,
+            path.join(""fixtures"", ""valid"", "".fallbacklocalesrc"")
+          ),
+        })
+        expect(config.fallbackLocales).toEqual({
+          ""en-US"": [""en""],
+          default: ""en"",
+        })
       })
     })
   })
",0,,5,1026,1,1,5,1026
1293,5b3b6a877550bf18c1cb5f122ab400da41a3d008,9bda58fa63666b2c2054cfdcabf0eda0f069dbcb,"This is fixing this issue: https://github.com/lingui/js-lingui/issues/1213

I'm not sure why in this PR (https://github.com/lingui/js-lingui/pull/1165) there was a change from the message to the key, but I hope I don't mess anything

Also, I wonder if we should remove the `addDelimitersVariables` & `addDelimitersMacro` and keep only the handling of HTML inside the `pseudoLocalize.ts` code","Make pseudoLocalization use the message AST instead of the key
","diff --git a/packages/cli/src/api/compile.test.ts b/packages/cli/src/api/compile.test.ts
index 7e41102..9834cda 100644
--- a/packages/cli/src/api/compile.test.ts
+++ b/packages/cli/src/api/compile.test.ts
@@ -2,10 +2,11 @@ import generate from ""@babel/generator""
 import { compile, createCompiledCatalog } from ""./compile""
 
 describe(""compile"", () => {
-  const getSource = (message) =>
-    generate(compile(message) as any, {
+  const getSource = (message: string, shouldPseudolocalize: boolean = false) =>
+    generate(compile(message, shouldPseudolocalize) as any, {
       compact: true,
       minified: true,
+      jsescOption: { minimal: true },
     }).code
 
   it(""should optimize string only messages"", () => {
@@ -67,14 +68,165 @@ describe(""compile"", () => {
     )
   })
 
+  it(""should compile multiple plurals"", () => {
+    expect(
+      getSource(
+        ""{bcount, plural, one {boy} other {# boys}} {gcount, plural, one {girl} other {# girls}}""
+      )
+    ).toEqual(
+      '[[""bcount"",""plural"",{one:""boy"",other:[""#"","" boys""]}],"" "",[""gcount"",""plural"",{one:""girl"",other:[""#"","" girls""]}]]'
+    )
+  })
+
   it(""should report failed message on error"", () => {
     expect(() =>
       getSource(""{value, plural, one {Book} other {Books"")
     ).toThrowErrorMatchingSnapshot()
   })
+
+  describe(""with pseudo-localization"", () => {
+    const getPSource = (message: string) => getSource(message, true)
+
+    it(""should pseudolocalize strings"", () => {
+      expect(getPSource(""Martin Černý"")).toEqual('""Màŕţĩń Čēŕńý""')
+    })
+
+    it(""should pseudolocalize escaping syntax characters"", () => {
+      // TODO: should this turn into pseudoLocale string?
+      expect(getSource(""'{name}'"", true)).toEqual('""{name}""')
+      // expect(getSource(""'{name}'"", true)).toEqual('""{ńàmē}""')
+    })
+
+    it(""should not pseudolocalize arguments"", () => {
+      expect(getPSource(""{name}"")).toEqual('[[""name""]]')
+      expect(getPSource(""B4 {name} A4"")).toEqual('[""ß4 "",[""name""],"" À4""]')
+    })
+
+    it(""should not pseudolocalize arguments nor formats"", () => {
+      expect(getPSource(""{name, number}"")).toEqual('[[""name"",""number""]]')
+      expect(getPSource(""{name, number, percent}"")).toEqual(
+        '[[""name"",""number"",""percent""]]'
+      )
+    })
+
+    it(""should not pseudolocalize HTML tags"", () => {
+      expect(getPSource('Martin <span id=""spanId"">Černý</span>')).toEqual(
+        '""Màŕţĩń <span id=\\""spanId\\"">Čēŕńý</span>""'
+      )
+      expect(
+        getPSource(""Martin Cerny  123a<span id='id'>Černý</span>"")
+      ).toEqual('""Màŕţĩń Ćēŕńŷ  123à<span id=\'id\'>Čēŕńý</span>""')
+      expect(getPSource(""Martin <a title='>>a'>a</a>"")).toEqual(
+        '""Màŕţĩń <a title=\'>>a\'>à</a>""'
+      )
+      expect(getPSource(""<a title=TITLE>text</a>"")).toEqual(
+        '""<a title=TITLE>ţēxţ</a>""'
+      )
+    })
+
+    describe(""Plurals"", () => {
+      it(""with value"", () => {
+        expect(
+          getPSource(""{value, plural, one {# book} other {# books}}"")
+        ).toEqual('[[""value"",""plural"",{one:[""#"","" ƀōōķ""],other:[""#"","" ƀōōķś""]}]]')
+      })
+
+      it(""with variable placeholder"", () => {
+        expect(
+          getPSource(
+            ""{count, plural, one {{countString} book} other {{countString} books}}""
+          )
+        ).toEqual(
+          '[[""count"",""plural"",{one:[[""countString""],"" ƀōōķ""],other:[[""countString""],"" ƀōōķś""]}]]'
+        )
+      })
+
+      it(""with offset"", () => {
+        expect(
+          getPSource(
+            ""{count, plural, offset:1 zero {There are no messages} other {There are # messages in your inbox}}""
+          )
+        ).toEqual(
+          '[[""count"",""plural"",{offset:1,zero:""Ţĥēŕē àŕē ńō mēśśàĝēś"",other:[""Ţĥēŕē àŕē "",""#"","" mēśśàĝēś ĩń ŷōũŕ ĩńƀōx""]}]]'
+        )
+      })
+
+      it(""with HTML tags"", () => {
+        expect(
+          getPSource(
+            ""{count, plural, zero {There's # <span>message</span>} other {There are # messages}}""
+          )
+        ).toEqual(
+          '[[""count"",""plural"",{zero:[""Ţĥēŕē\'ś "",""#"","" <span>mēśśàĝē</span>""],other:[""Ţĥēŕē àŕē "",""#"","" mēśśàĝēś""]}]]'
+        )
+      })
+
+      it(""with exact number"", () => {
+        expect(
+          getPSource(
+            ""{count, plural, =0 {There's # <span>message</span>} other {There are # messages}}""
+          )
+        ).toEqual(
+          '[[""count"",""plural"",{0:[""Ţĥēŕē\'ś "",""#"","" <span>mēśśàĝē</span>""],other:[""Ţĥēŕē àŕē "",""#"","" mēśśàĝēś""]}]]'
+        )
+      })
+    })
+
+    it(""SelectOrdinal"", () => {
+      expect(
+        getPSource(
+          ""{count, selectordinal, offset:1 one {#st} two {#nd} few {#rd} =4 {4th} many {testMany} other {#th}}""
+        )
+      ).toEqual(
+          '[[""count"",""selectordinal"",{offset:1,one:[""#"",""śţ""],two:[""#"",""ńď""],few:[""#"",""ŕď""],4:""4ţĥ"",many:""ţēśţMàńŷ"",other:[""#"",""ţĥ""]}]]'
+      )
+    })
+
+    it(""Select"", () => {
+      expect(
+        getPSource(
+          ""{gender, select, male {He} female {She} other {<span>Other</span>}}""
+        )
+      ).toEqual(
+        '[[""gender"",""select"",{male:""Ĥē"",female:""Śĥē"",other:""<span>Ōţĥēŕ</span>""}]]'
+      )
+    })
+
+    it(""should not pseudolocalize variables"", () => {
+      expect(getPSource(""replace {count}"")).toEqual('[""ŕēƥĺàćē "",[""count""]]')
+      expect(getPSource(""replace { count }"")).toEqual('[""ŕēƥĺàćē "",[""count""]]')
+    })
+
+    it(""Multiple Plurals"", () => {
+      expect(
+        getPSource(
+          ""{bcount, plural, one {boy} other {# boys}} {gcount, plural, one {girl} other {# girls}}""
+        )
+      ).toEqual(
+        '[[""bcount"",""plural"",{one:""ƀōŷ"",other:[""#"","" ƀōŷś""]}],"" "",[""gcount"",""plural"",{one:""ĝĩŕĺ"",other:[""#"","" ĝĩŕĺś""]}]]'
+      )
+    })
+  })
 })
 
 describe(""createCompiledCatalog"", () => {
+  it(""nested message"", () => {
+      expect(
+        createCompiledCatalog(
+          ""cs"",
+          {
+            nested: {
+              one: ""Uno"",
+              two: ""Dos"",
+              three: ""Tres"",
+              hello: ""Hola {name}"",
+            },
+          },
+          {}
+        )
+      ).toMatchSnapshot()
+  })
+
   describe(""options.namespace"", () => {
     const getCompiledCatalog = (namespace) =>
       createCompiledCatalog(
@@ -113,7 +265,7 @@ describe(""createCompiledCatalog"", () => {
         {
           Hello: ""Ahoj"",
           Missing: """",
-          Select: ""{id, select, Gen {Genesis} 1John {1 John}  other {____}}""
+          Select: ""{id, select, Gen {Genesis} 1John {1 John}  other {____}}"",
         },
         {
           strict,
@@ -165,13 +317,15 @@ describe(""createCompiledCatalog"", () => {
     })
 
     it(""should return catalog without ASCII chars"", () => {
-      expect(getCompiledCatalog({
-        compilerBabelOptions: { 
-          jsescOption: {
-            minimal: false,
-          }
-        }
-      })).toMatchSnapshot()
+      expect(
+        getCompiledCatalog({
+          compilerBabelOptions: {
+            jsescOption: {
+              minimal: false,
+            },
+          },
+        })
+      ).toMatchSnapshot()
     })
   })
 })
",0,,4,223,1,2,4,257
1296,2879580ade8eb8bfa00e1b29f28637de204dcb49,921d7f00f3a5eb07127ae848ce534bc1358c2732,"This PR brings full e2e support for gettext *.pot files into linguijs. 

## What is a template or *.pot file? 
Template is a file where all messages extracted from sourcecode is stored. It doesn't have any translations. It treated as build artifact and could be added to gitignore. 

## What's wrong with current support of *.pot files? 
Short version: 
They are not taken into account during compiling messages.

Long version:
Standard gettext flow looks like the following
- Change source code and potentially change messages
- Run extractor and produce *.pot file
- Send *.pot file together with translations (en.po, pl.po) to the translators. 
- Translators upload .pot and *.po files into theirs translation software which merges them
- Translators translate
- Translators return translated files. 

There are few things which important to notice. 
Merging new messages to the translations should happen outside of build process. It's the responsibility of translation software (such as PoEditor or modern cloud services like crowdin) to do so, not the linguijs extractor.

In current linguijs flow, extractor tries to merge new messages (and delete old) into translation files. 

What's wrong with this? Translations files are usually under version control. Running a build with NODE_ENV=production without fresh extracted messages will cause that messages where ICU is used would be corrupted and this force developers to always extract messages before build in CI process (for test/staging builds, for production builds we assume that 100% messages are translated).

Every time we run a development build on CI, our translation files marked as changed. 

This might not be a big deal for regular repositories, but could be a dealbreaker for monorepos where some strategies for incremental builds are used. Usually tools such as turborepo / rush / ultra-runner trying to be smart and detect which project inside monorepo was changed and rebuild only this one. With linguijs this doesn't work because every build touches translations and therefore bursting the cache. 

But lingui has a command to `extract-template`, you can use this, you may say.  Actually not.

What happend if we generate template file using `lingui extract-template`? 
- The template would be generated and translations files would not be touched. That's good. 
- You build your application and realize that all plurals expressions doesn't work because they was not compiled because they are not in the translation files - That sucks. 
- Your understand that in current stage, extracting *.pot files are useless in linguijs. 

## How this PR changes it? 
Instead of merging new messages into catalogs during extraction phase, it merges template with requested catalog during compile time. If you have actual template - your translations catalogs are also actual.

","merge template into catalogs during compile
","diff --git a/packages/cli/src/api/catalog.test.ts b/packages/cli/src/api/catalog.test.ts
index 2f58cbe..1ad7e38 100644
--- a/packages/cli/src/api/catalog.test.ts
+++ b/packages/cli/src/api/catalog.test.ts
@@ -131,6 +131,61 @@ describe(""Catalog"", function () {
     })
   })
 
+  describe(""POT Flow"", function () {
+    it('Should merge source messages from template if provided', () => {
+      const catalog = new Catalog(
+        {
+          name: ""messages"",
+          path: path.resolve(
+            __dirname,
+            path.join(""fixtures"", ""pot-template"", ""{locale}"")
+          ),
+          include: [],
+          exclude: [],
+        },
+        mockConfig({
+          locales: ['en', 'pl'],
+        })
+      )
+
+      const translations = catalog.getTranslations('pl', {
+        sourceLocale: 'en',
+        fallbackLocales: {
+          default: 'en'
+        }
+      });
+
+      expect(translations).toMatchSnapshot()
+    })
+
+    it('Should get translations from template if locale file not presented', () => {
+      const catalog = new Catalog(
+        {
+          name: ""messages"",
+          path: path.resolve(
+            __dirname,
+            path.join(""fixtures"", ""pot-template"", ""{locale}"")
+          ),
+          include: [],
+          exclude: [],
+        },
+        mockConfig({
+          locales: ['en', 'pl'],
+        })
+      )
+
+      const translations = catalog.getTranslations('en', {
+        sourceLocale: 'en',
+        fallbackLocales: {
+          default: 'en'
+        }
+      });
+
+      console.log(translations);
+      expect(translations).toMatchSnapshot()
+    })
+  })
+
   describe(""collect"", function () {
     it(""should extract messages from source files"", async function () {
       const catalog = new Catalog(
",0,,7,143,1,2,9,147
1306,66bf39d78da9d58dfad0a7f72623e3ef37446d50,47bc9712c67037b60116a4a6b0bcd4d01c87ec09,"Implementation of [Vite ](https://vitejs.dev/) Plugin based on Snowpack Plugin

1. Although webpack and probably snowpack loaders may work with extensions different from `.po` this plugin works only with `.po`. This is because we need a certain way to tell Vite to use proper loader for extension. Therefore files with `json` extension would be processed by Vite itself, and it's quite uncertain how to tell vite to use this loader for some subset of json files (we probably can play with query parameters in request, but I would prefer avoid it because `.po` is recommended way and everybody should use it. 
2. Naming, vite documentation https://vitejs.dev/guide/api-plugin.html#conventions clearly states that you should use `vite-plugin-` prefix, but in this project other plugins have own internal naming convention. I followed this convention instead of vite's. I left decision which one is right up to maintaners.","implement @lingui/vite-plugin
","diff --git a/packages/vite-plugin/test/index.ts b/packages/vite-plugin/test/index.ts
new file mode 100644
index 0000000..d52a7c4
--- /dev/null
+++ b/packages/vite-plugin/test/index.ts
@@ -0,0 +1,15 @@
+import path from ""path""
+import vitePlugin from ""../src""
+
+describe(""vite-plugin"", () => {
+  it(""should return compiled catalog"", async() => {
+    const p = vitePlugin({
+      configPath: path.resolve(
+        __dirname,
+        "".linguirc"",
+      ),
+    })
+    const result = await (p.transform as any)('', path.join(__dirname, ""locale"", ""en"", ""messages.po""))
+    expect(result).toMatchSnapshot()
+  })
+})
",0,,13,401,1,3,18,482
