pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1014,207b02868f1de2c83367bcb7256d27ddda072702,30c7e0906240f6e006baff49edd44b5db992ae5a,"## What/Why/How?
Fix bug if remote schema from added to ignore file.
Fix output for errors if its is url as a pointer
## Reference
Closes #1013
## Testing

## Screenshots (optional)
<img width=""968"" alt=""Screenshot 2023-02-20 at 16 24 30"" src=""https://user-images.githubusercontent.com/52038205/220133044-fb53baef-add5-4ecc-92b6-0ef31a637aa0.png"">
<img width=""724"" alt=""Screenshot 2023-02-20 at 16 24 38"" src=""https://user-images.githubusercontent.com/52038205/220133054-709f324d-7fda-4e9b-88b3-c2191b2cf500.png"">

## Check yourself

- [x] Code is linted
- [ ] Tested with redoc/reference-docs/workflows
- [x] All new/updated code is covered with tests

## Security

- [x] Security impact of change has been considered
- [x] Code follows company security practices and guidelines
","chore: add unit test
","diff --git a/packages/core/src/config/__tests__/config.test.ts b/packages/core/src/config/__tests__/config.test.ts
index 059f756..75c0c8d 100644
--- a/packages/core/src/config/__tests__/config.test.ts
+++ b/packages/core/src/config/__tests__/config.test.ts
@@ -1,6 +1,17 @@
 import { OasVersion } from '../../oas-types';
 import { Config, StyleguideConfig } from '../config';
 import { getMergedConfig } from '../utils';
+import { doesYamlFileExist } from '../../utils';
+import { parseYaml } from '../../js-yaml';
+import { readFileSync } from 'fs';
+import { ignoredFileStub } from './fixtures/ingore-file';
+import * as path from 'path';
+import { NormalizedProblem } from '../../walk';
+import { Source } from '../../resolve';
+
+jest.mock('../../utils');
+jest.mock('../../js-yaml');
+jest.mock('fs');
 
 const testConfig: Config = {
   rawConfig: {
@@ -280,3 +291,17 @@ describe('StyleguideConfig.extendTypes', () => {
     );
   });
 });
+
+describe('generation ignore object', () => {
+  it('should generate config with absoluteUri for ignore', () => {
+    (readFileSync as jest.Mock<any, any>).mockImplementationOnce(() => '');
+    (parseYaml as jest.Mock<any, any>).mockImplementationOnce(() => ignoredFileStub);
+    (doesYamlFileExist as jest.Mock<any, any>).mockImplementationOnce(() => true);
+
+    jest.spyOn(path, 'resolve').mockImplementationOnce((_, filename) => `some-path/${filename}`);
+
+    const styleguideConfig = new StyleguideConfig(testConfig.styleguide);
+
+    expect(styleguideConfig).toMatchSnapshot();
+  });
+});
",0,,3,177,1,3,5,218
