pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1000,98710be83191e0b09c1a4835630f3510839cb453,98710be83191e0b09c1a4835630f3510839cb453,"## Overview
Backwards-compat input, taginput, and textarea in the new theming paradigm 👍 

## Screenshots (if applicable)

## Testing

- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","updates
",,0,,3,41,1,3,13,510
1005,41ca22d20f65ff6230dfb41b1088e29c5f95e473,41ca22d20f65ff6230dfb41b1088e29c5f95e473,"## Overview
This fixes a couple minor styling issues

## Screenshots (if applicable)
![Kapture 2020-09-11 at 19 05 48](https://user-images.githubusercontent.com/710752/92982185-b0e52100-f462-11ea-86ac-2cc03b13611a.gif)
<img width=""319"" alt=""Screen Shot 2020-09-11 at 6 53 58 PM"" src=""https://user-images.githubusercontent.com/710752/92982188-b5113e80-f462-11ea-9410-80f27cbdfe4c.png"">


## Testing

- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps
",,0,,2,10,2,3,7,23
1008,c0dc4f0ced3548270ca4557484a757ea6f4cf4c3,c0dc4f0ced3548270ca4557484a757ea6f4cf4c3,"**Overview**
This PR moves TextDropdownButton to the new theming (v6 and v5 themes)

**Screenshots (if applicable)**
<!-- Please provide screenshots or gifs showing the change in action -->
<img width=""182"" alt=""Screen Shot 2020-09-13 at 2 13 29 PM"" src=""https://user-images.githubusercontent.com/710752/93026402-5d421700-f5cb-11ea-9c8d-6d7cc6ca2c46.png"">
<img width=""170"" alt=""Screen Shot 2020-09-13 at 2 13 36 PM"" src=""https://user-images.githubusercontent.com/710752/93026403-5ddaad80-f5cb-11ea-9016-63a6ffb20763.png"">


**Documentation**
<!-- If your change impacts component behavior or usage please be sure to include appropriate documentation and types! -->

- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps
",,0,,2,46,2,2,19,314
1019,569197df4a1a1f8ad4ed0d1694cf25b48a11c10f,ba71702fa8df189e38590870c23d8694047e49cf,"<!---

Hello! And thanks for contributing to Evergreen 🎉

We appreciate the time you took to open this pull request.
Please take a couple more minutes to document your pull request to ensure we can quickly review it and provide you feedback.

Unfortunately, if we do not have enough information or the feature doesn't align with our roadmap, we might respectfully thank you for your time and close the issue.

Please respect our [Code of Conduct](https://github.com/segmentio/evergreen/blob/master/.github/CODE_OF_CONDUCT.md).

--->

**Overview**
While looking at Autocomplete I noticed some of the font styles were off across all inputs. Fixed!
<!-- A clear description of the what and *why* of this code change. -->


**Screenshots (if applicable)**
<img width=""366"" alt=""Screen Shot 2020-09-14 at 2 15 08 PM"" src=""https://user-images.githubusercontent.com/710752/93128219-c5a8fb00-f694-11ea-9241-9d10beb8d442.png"">
<img width=""335"" alt=""Screen Shot 2020-09-14 at 2 15 21 PM"" src=""https://user-images.githubusercontent.com/710752/93128221-c5a8fb00-f694-11ea-8daf-c4f3f28640a1.png"">


<!-- Please provide screenshots or gifs showing the change in action -->


**Documentation**

<!-- If your change impacts component behavior or usage please be sure to include appropriate documentation and types! -->

- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps
",,0,,1,2,1,3,3,103
1021,d8056c344b5584097c01d0da4bc191161452f979,d8056c344b5584097c01d0da4bc191161452f979,"<!---

Hello! And thanks for contributing to Evergreen 🎉

We appreciate the time you took to open this pull request.
Please take a couple more minutes to document your pull request to ensure we can quickly review it and provide you feedback.

Unfortunately, if we do not have enough information or the feature doesn't align with our roadmap, we might respectfully thank you for your time and close the issue.

Please respect our [Code of Conduct](https://github.com/segmentio/evergreen/blob/master/.github/CODE_OF_CONDUCT.md).

--->

**Overview**
This moves Heading over to new theming and deletes a bunch of legacy theme structure that is no longer referenced.
<!-- A clear description of the what and *why* of this code change. -->


**Screenshots (if applicable)**
<img width=""1792"" alt=""Screen Shot 2020-09-14 at 3 17 56 PM"" src=""https://user-images.githubusercontent.com/710752/93134196-05281500-f69e-11ea-9cb1-8a2041075631.png"">

<!-- Please provide screenshots or gifs showing the change in action -->


**Documentation**

<!-- If your change impacts component behavior or usage please be sure to include appropriate documentation and types! -->

- [x] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps
",,0,,1,6,1,2,24,993
1023,fcc75c7839839e58858632b2361aace8282f5c8c,fcc75c7839839e58858632b2361aace8282f5c8c,"**Overview**
The themes are aware of `size` as a prop, but not the other props on the theme. We could probably pass those in, but this should roughly accomplish the same thing, as we compose `<Text />` quite heavily throughout the codebase internally. 

Still need to clean up all of the `marginTop=""default""` throughout the codebase. 


**Screenshots (if applicable)**
N/A


**Documentation**

<!-- If your change impacts component behavior or usage please be sure to include appropriate documentation and types! -->

- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps
",,0,,1,2,1,4,13,115
1024,2e24a960d959c0d6d0aaa1d28121f6efc2c26cee,2e24a960d959c0d6d0aaa1d28121f6efc2c26cee,"<!---

Hello! And thanks for contributing to Evergreen 🎉

We appreciate the time you took to open this pull request.
Please take a couple more minutes to document your pull request to ensure we can quickly review it and provide you feedback.

Unfortunately, if we do not have enough information or the feature doesn't align with our roadmap, we might respectfully thank you for your time and close the issue.

Please respect our [Code of Conduct](https://github.com/segmentio/evergreen/blob/master/.github/CODE_OF_CONDUCT.md).

--->

**Overview**
Moves Ul/Ol/Li over to new theming.
<!-- A clear description of the what and *why* of this code change. -->


**Screenshots (if applicable)**
<img width=""1792"" alt=""Screen Shot 2020-09-14 at 4 34 43 PM"" src=""https://user-images.githubusercontent.com/710752/93140624-62c15f00-f6a8-11ea-88b3-41f3ce570a13.png"">
<img width=""1792"" alt=""Screen Shot 2020-09-14 at 4 31 47 PM"" src=""https://user-images.githubusercontent.com/710752/93140627-65bc4f80-f6a8-11ea-9895-4d8958676fb2.png"">

<!-- Please provide screenshots or gifs showing the change in action -->


**Documentation**

<!-- If your change impacts component behavior or usage please be sure to include appropriate documentation and types! -->

- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps
",,0,,1,6,1,2,9,92
1035,f31b2daf891abd5676f159a646d4d2ace745246f,f31b2daf891abd5676f159a646d4d2ace745246f,"<!---
Hello! And thanks for contributing to Evergreen 🎉

We appreciate the time you took to open this pull request.
Please take a couple more minutes to document your pull request to ensure we can quickly review it and provide you feedback.

Unfortunately, if we do not have enough information or the feature doesn't align with our roadmap, we might respectfully thank you for your time and close the issue.

Please respect our [Code of Conduct](https://github.com/segmentio/evergreen/blob/master/.github/CODE_OF_CONDUCT.md).
--->

**Overview**
This PR fixes the height issues with the combobox.

**Screenshots (if applicable)**
<img width=""1792"" alt=""Screen Shot 2020-09-15 at 2 28 33 PM"" src=""https://user-images.githubusercontent.com/710752/93258596-2c491a00-f764-11ea-9391-0b1194de762b.png"">
<img width=""1792"" alt=""Screen Shot 2020-09-15 at 2 28 41 PM"" src=""https://user-images.githubusercontent.com/710752/93258609-2f440a80-f764-11ea-8e57-5b140a49b874.png"">


**Documentation**
- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","update snaps and badge/pill alignment
",,0,,4,20,2,4,10,75
1052,339345dc02a61c9f922aa284b793407c00c41ce2,80c3ab67f0eb34d0a8be4c1adba71bf513eef6fa,"**Overview**
Title of the PR. Decided to wing some of the default / outlined button style, we can always revisit if we so choose.


**Screenshots (if applicable)**
![image](https://user-images.githubusercontent.com/5349500/93831431-9b70b380-fc27-11ea-991f-a5f99749ee21.png)




**Documentation**
- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","add some tiny tests for buttons
","diff --git a/src/buttons/__tests__/Button.test.js b/src/buttons/__tests__/Button.test.js
new file mode 100644
index 0000000..9222b90
--- /dev/null
+++ b/src/buttons/__tests__/Button.test.js
@@ -0,0 +1,20 @@
+import React from 'react'
+import render from 'react-test-renderer'
+import { ThemeProvider } from '../../theme'
+import { classicTheme, defaultTheme } from '../../themes'
+import Button from '../src/Button'
+
+describe.each([
+  [defaultTheme, 'default'],
+  [classicTheme, 'classic']
+])('<Button /> %% %s', theme => {
+  it('snapshots with the rendered output', () => {
+    const component = (
+      <ThemeProvider value={theme}>
+        <Button />
+      </ThemeProvider>
+    )
+    const tree = render.create(component).toJSON()
+    expect(tree).toMatchSnapshot()
+  })
+})
",0,,2,65,1,4,7,94
1059,7bc67cd489166ea3620e981200edac6610fc3a9b,7bc67cd489166ea3620e981200edac6610fc3a9b,"**Overview**
Opted to go with a sane default of `32px` for the FilePicker height as opposed to introducing a new `size` param, which is a bit more coupled to the theme. 

Could always revisit this, but think this should be fine now that we have better `height` support in the underlying components. 


**Screenshots (if applicable)**
![image](https://user-images.githubusercontent.com/5349500/94141886-49e04880-fe22-11ea-996e-0d44ce54a88d.png)


**Documentation**
- [ ] Updated Typescript types and/or component PropTypes
- [ ] Added / modified component docs
- [ ] Added / modified Storybook stories
","fix snapshots
",,0,,1,4,1,2,2,13
