pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1014,907b97c93f733c0e713ea1a38d041535c2e384e9,538e6753666c0b67285a74766fce7c8d521ef581,Fixes #1013 ,"Failing test
","diff --git a/test/transpile/plugins/plugins.spec.ts b/test/transpile/plugins/plugins.spec.ts
index 46988da..721c9d3 100644
--- a/test/transpile/plugins/plugins.spec.ts
+++ b/test/transpile/plugins/plugins.spec.ts
@@ -40,3 +40,16 @@ test(""statement comments"", () => {
         .setOptions({ luaPlugins: [{ name: path.join(__dirname, ""add-comments.ts"") }] })
         .expectLuaToMatchSnapshot();
 });
+
+test(""namespace with TS transformer plugin"", () => {
+    util.testModule`
+        export namespace ns {
+            export function returnsBool() {
+                return false;
+            }
+        }
+    `
+        .setOptions({ plugins: [{ transform: path.join(__dirname, ""transformer-plugin.js"") }] })
+        .expectNoExecutionError()
+        .expectLuaToMatchSnapshot();
+});
",1,OID=OID,3,38,1,4,3,37
1016,5e9cbffbc724c5410878be82b98b9a75bdc7a058,8baab7784547579734c0327818624df736d4fb60,Fixes #967 ,"Made switch default case always last
","diff --git a/test/unit/switch.spec.ts b/test/unit/switch.spec.ts
new file mode 100644
index 0000000..366b78a
--- /dev/null
+++ b/test/unit/switch.spec.ts
@@ -0,0 +1,350 @@
+import * as tstl from ""../../src"";
+import { unsupportedForTarget } from ""../../src/transformation/utils/diagnostics"";
+import * as util from ""../util"";
+
+test.each([0, 1, 2, 3])(""switch (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (<number>${inp}) {
+            case 0:
+                result = 0;
+                break;
+            case 1:
+                result = 1;
+                break;
+            case 2:
+                result = 2;
+                break;
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2, 3])(""switchdefault (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (<number>${inp}) {
+            case 0:
+                result = 0;
+                break;
+            case 1:
+                result = 1;
+                break;
+            case 2:
+                result = 2;
+                break;
+            default:
+                result = -2;
+                break;
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 0, 2, 3, 4, 5, 7])(""switchfallthrough (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (<number>${inp}) {
+            case 0:
+                result = 0;
+            case 1:
+                result = 1;
+                break;
+            case 2:
+                result = 2;
+            case 3:
+            case 4:
+                result = 4;
+                break;
+            case 5:
+                result = 5;
+            case 6:
+                result += 10;
+                break;
+            case 7:
+                result = 7;
+            default:
+                result = -2;
+                break;
+        }
+
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2, 3])(""nestedSwitch (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (${inp} as number) {
+            case 0:
+                result = 0;
+                break;
+            case 1:
+                switch(${inp} as number) {
+                    case 0:
+                        result = 0;
+                        break;
+                    case 1:
+                        result = 1;
+                        break;
+                    default:
+                        result = -3;
+                        break;
+                }
+                break;
+            case 2:
+                result = 2;
+                break;
+            default:
+                result = -2;
+                break;
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test(""switch cases scope"", () => {
+    util.testFunction`
+        switch (0 as number) {
+            case 0:
+                let foo: number | undefined = 1;
+            case 1:
+                foo = 2;
+            case 2:
+                return foo;
+        }
+    `.expectToMatchJsResult();
+});
+
+test(""variable in nested scope does not interfere with case scope"", () => {
+    util.testFunction`
+        let foo: number = 0;
+        switch (foo) {
+            case 0: {
+                let foo = 1;
+            }
+
+            case 1:
+                return foo;
+        }
+    `.expectToMatchJsResult();
+});
+
+test(""switch using variable re-declared in cases"", () => {
+    util.testFunction`
+        let foo: number = 0;
+        switch (foo) {
+            case 0:
+                let foo = true;
+            case 1:
+                return foo;
+        }
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2])(""switch with block statement scope (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (<number>${inp}) {
+            case 0: {
+                let x = 0;
+                result = 0;
+                break;
+            }
+            case 1: {
+                let x = 1;
+                result = x;
+            }
+            case 2: {
+                let x = 2;
+                result = x;
+                break;
+            }
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2, 3])(""switchReturn (%p)"", inp => {
+    util.testFunction`
+        switch (<number>${inp}) {
+            case 0:
+                return 0;
+                break;
+            case 1:
+                return 1;
+            case 2:
+                return 2;
+                break;
+        }
+
+        return -1;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2, 3])(""switchWithBrackets (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (<number>${inp}) {
+            case 0: {
+                result = 0;
+                break;
+            }
+            case 1: {
+                result = 1;
+                break;
+            }
+            case 2: {
+                result = 2;
+                break;
+            }
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2, 3])(""switchWithBracketsBreakInConditional (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (<number>${inp}) {
+            case 0: {
+                result = 0;
+                break;
+            }
+            case 1: {
+                result = 1;
+
+                if (result == 1) break;
+            }
+            case 2: {
+                result = 2;
+                break;
+            }
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test.each([0, 1, 2, 3])(""switchWithBracketsBreakInInternalLoop (%p)"", inp => {
+    util.testFunction`
+        let result: number = -1;
+
+        switch (${inp} as number) {
+            case 0: {
+                result = 0;
+
+                for (let i = 0; i < 5; i++) {
+                    result++;
+
+                    if (i >= 2) {
+                        break;
+                    }
+                }
+            }
+            case 1: {
+                result++;
+                break;
+            }
+            case 2: {
+                result = 2;
+                break;
+            }
+        }
+        return result;
+    `.expectToMatchJsResult();
+});
+
+test(""switch uses elseif"", () => {
+    test(""array"", () => {
+        util.testFunction`
+            let result: number = -1;
+
+            switch (2 as number) {
+                case 0: {
+                    result = 200;
+                    break;
+                }
+
+                case 1: {
+                    result = 100;
+                    break;
+                }
+
+                case 2: {
+                    result = 1;
+                    break;
+                }
+            }
+
+            return result;
+        `
+            .expectLuaToMatchSnapshot()
+            .expectToMatchJsResult();
+    });
+});
+
+test(""switch not allowed in 5.1"", () => {
+    util.testFunction`
+        switch (""abc"") {}
+    `
+        .setOptions({ luaTarget: tstl.LuaTarget.Lua51 })
+        .expectDiagnosticsToMatchSnapshot([unsupportedForTarget.code]);
+});
+
+// https://github.com/TypeScriptToLua/TypeScriptToLua/issues/967
+test(""switch default case not last - first"", () => {
+    util.testFunction`
+        switch (3 as number) {
+            default:
+                return ""wrong"";
+            case 3:
+                return ""right"";
+        }
+    `.expectToMatchJsResult();
+});
+
+test(""switch default case not last - second"", () => {
+    util.testFunction`
+        switch (3 as number) {
+            case 4:
+                return ""also wrong"";
+            default:
+                return ""wrong"";
+            case 3:
+                return ""right"";
+        }
+    `.expectToMatchJsResult();
+});
+
+test(""switch fallthrough enters default"", () => {
+    util.testFunction`
+        const out = [];
+        switch (3 as number) {
+            case 3:
+                out.push(""3"");
+            default:
+                out.push(""default"");
+        }
+        return out;
+    `.expectToMatchJsResult();
+});
+
+test(""switch fallthrough does not enter earlier"", () => {
+    util.testFunction`
+        const out = [];
+        switch (3 as number) {
+            default:
+                out.push(""default"");
+            case 3:
+                out.push(""3"");
+        }
+        return out;
+    `.debug().expectToMatchJsResult();
+});
",0,,4,720,1,3,4,669
1030,8cf6d496068dd7d26f0f4b2a2902664ca120a894,754ed5af11052d739ca7a93ec1ae0605f8501862,"LuaTableHas translates `table.has(key)` to `table[key] ~= nil`.

LuaTableDelete translates `table.delete(key)` to `table[key] = nil`

Closes #1021 and closes #1020","Implement LuaTable has
","diff --git a/test/unit/language-extensions/table.spec.ts b/test/unit/language-extensions/table.spec.ts
index b8b4b47..97576fe 100644
--- a/test/unit/language-extensions/table.spec.ts
+++ b/test/unit/language-extensions/table.spec.ts
@@ -97,6 +97,17 @@ describe(""LuaTableHas extension"", () => {
             .expectToEqual({ hasFoo: true, hasBaz: false });
     });
 
+    test(""LuaTableHas nested expression"", () => {
+        util.testModule`
+            declare const tableHas: LuaTableHas<{}, string>;
+            const table = { foo: ""bar"" };
+
+            export const result = \`table has foo: \${tableHas(table, ""foo"")}\`;
+        `
+            .setOptions(tableProjectOptions)
+            .expectToEqual({ result: ""table has foo: true"" });
+    });
+
     test(""LuaTableHas namespace function"", () => {
         util.testModule`
             declare namespace Table {
@@ -114,7 +125,7 @@ describe(""LuaTableHas extension"", () => {
     test(""LuaTableHasMethod method"", () => {
         util.testModule`
             interface TableWithHas {
-                has: LuaTableHas<string>;
+                has: LuaTableHasMethod<string>;
                 set: LuaTableSetMethod<string, number>;
             }
             const table = {} as TableWithHas;
@@ -150,7 +161,7 @@ describe(""LuaTableHas extension"", () => {
     test.each([
         ""const foo: unknown = tableHas;"",
         ""const foo = `${tableHas}`;"",
-        ""declare function foo(tableHas: LuaTableGet<{}, string, number>): void; foo(tableHas);"",
+        ""declare function foo(tableHas: LuaTableHas<{}, string>): void; foo(tableHas);"",
         ""const foo = (tableHas as any)(1, 2);"",
         ""const foo = [tableHas];"",
     ])(""invalid use (%p)"", statement => {
",0,,5,88,1,4,8,405
1034,d98eba8cb8d2eb243d476d549935b964f56c1957,36bf55b40e83e9460dd40bc5c1634429aa7bb26d,Fixes #1033 ,"Fixed another mistake in language extensions where luatable keys were accidentally required to be tables
","diff --git a/test/unit/language-extensions/table.spec.ts b/test/unit/language-extensions/table.spec.ts
index 8d0437f..e6d485a 100644
--- a/test/unit/language-extensions/table.spec.ts
+++ b/test/unit/language-extensions/table.spec.ts
@@ -254,6 +254,29 @@ describe(""LuaTable extension interface"", () => {
             .expectToEqual(3);
     });
 
+    // Test to catch issue from https://github.com/TypeScriptToLua/TypeScriptToLua/issues/1033
+    test(""typed table in type declaration"", () => {
+        util.testFunction`
+            function fill(tbl: LuaTable<string, number>) {
+                tbl.set(""foo"", 3);
+                return tbl;
+            }
+            return fill(new LuaTable()).get(""foo"");
+        `
+            .setOptions(tableProjectOptions)
+            .expectToEqual(3);
+    });
+
+    test.each([[""null""], [""undefined""], [""number | undefined""], [""string | null""], [""unknown""]])(
+        ""LuaTable in strict mode does not accept key type that could be nil (%p)"",
+        keyType => {
+            util.testExpression`new LuaTable<${keyType}, unknown>()`
+                .setOptions({ ...tableProjectOptions, strict: true })
+                .expectToHaveDiagnostics()
+                .expectDiagnosticsToMatchSnapshot();
+        }
+    );
+
     test(""object keyed table"", () => {
         util.testFunction`
             interface Key { keyStr: string }
",0,,3,71,1,2,3,71
1042,65885006ac55aeecf7cffcb49141cdc599307c9e,65885006ac55aeecf7cffcb49141cdc599307c9e,,"optimizing varargs on functions passed as parameters
","diff --git a/test/unit/spread.spec.ts b/test/unit/spread.spec.ts
index a395ef2..e65ee7e 100644
--- a/test/unit/spread.spec.ts
+++ b/test/unit/spread.spec.ts
@@ -230,6 +230,17 @@ describe(""vararg spread optimization"", () => {
             .expectLuaToMatchSnapshot()
             .expectToEqual(""b"");
     });
+
+    test(""curry"", () => {
+        util.testFunction`
+            function test<A extends any[]>(fn: (...args: A) => void, ...args: A) {
+                return fn(...args);
+            }
+            return test((arg: string) => arg, ""foobar"");
+        `
+            .expectLuaToMatchSnapshot()
+            .expectToMatchJsResult();
+    });
 });
 
 describe(""vararg spread de-optimization"", () => {
",0,,3,30,1,1,3,30
1043,f8667b9c3150ccd5a973ec976b20da21e974f262,c310f986634086fc6f6f63e2c63ed5e710991f74,"No longer allows bundling files with buildmode: library.

Also added tstlVerbose option with some extra information to hopefully help diagnose problems.","Disallow bundling with buildmode library
","diff --git a/test/unit/bundle.spec.ts b/test/unit/bundle.spec.ts
index f961ddd..ddc678f 100644
--- a/test/unit/bundle.spec.ts
+++ b/test/unit/bundle.spec.ts
@@ -1,4 +1,4 @@
-import { LuaLibImportKind } from ""../../src"";
+import { BuildMode, LuaLibImportKind } from ""../../src"";
 import * as diagnosticFactories from ""../../src/transpilation/diagnostics"";
 import * as util from ""../util"";
 
@@ -120,3 +120,9 @@ test(""luaEntry doesn't exist"", () => {
         .setEntryPoint(""entry.ts"")
         .expectDiagnosticsToMatchSnapshot([diagnosticFactories.couldNotFindBundleEntryPoint.code], true);
 });
+
+test(""bundling not allowed for buildmode library"", () => {
+    util.testBundle``
+        .setOptions({ buildMode: BuildMode.Library })
+        .expectDiagnosticsToMatchSnapshot([diagnosticFactories.cannotBundleLibrary.code], true);
+});
",0,,5,38,1,3,19,279
1046,4fe75376a0714852a2802b2c55f21f8692d88a43,4fe75376a0714852a2802b2c55f21f8692d88a43,"The core flaw in how this was working is that any function types defined inside the scope would be flagged as ""hoistable"" and trigger deoptimization. But this would include things like parameters or local variable types.

I've changed this logic to explicitly only include actual hoistable functions (ex. `function foo() {}`) which seems to address all cases properly now. We should keep our eye out for other edge cases here, though.

Closes #1047 
","fixed vararg optimization logic
","diff --git a/test/unit/spread.spec.ts b/test/unit/spread.spec.ts
index e65ee7e..5d7ed93 100644
--- a/test/unit/spread.spec.ts
+++ b/test/unit/spread.spec.ts
@@ -241,6 +241,30 @@ describe(""vararg spread optimization"", () => {
             .expectLuaToMatchSnapshot()
             .expectToMatchJsResult();
     });
+
+    test(""curry with indirect type"", () => {
+        util.testFunction`
+            function test<A extends any[]>(obj: {fn: (...args: A) => void}, ...args: A) {
+                const fn = obj.fn;
+                return fn(...args);
+            }
+            return test({fn: (arg: string) => arg}, ""foobar"");
+        `
+            .expectLuaToMatchSnapshot()
+            .expectToMatchJsResult();
+    });
+
+    test(""function type declared inside scope"", () => {
+        util.testFunction`
+            function test<A extends any[]>(...args: A) {
+                const fn: (...args: A) => A[0] = (...args) => args[0];
+                return fn(...args);
+            }
+            test(""foobar"");
+        `
+            .expectLuaToMatchSnapshot()
+            .expectToMatchJsResult();
+    });
 });
 
 describe(""vararg spread de-optimization"", () => {
",0,,3,63,1,1,3,63
1090,19fc3caa489e40edfeb02d6424558ccfc7a62b24,0936ac9c2db38f8c8dcb2d5d7c472e85e5a0db95,"As a side effect of removing `isInTupleReturn`, this also fixes #1058 ","Remove tupleReturn annotation
","diff --git a/test/unit/annotations/deprecated.spec.ts b/test/unit/annotations/deprecated.spec.ts
index 2f0edb1..d68d5ea 100644
--- a/test/unit/annotations/deprecated.spec.ts
+++ b/test/unit/annotations/deprecated.spec.ts
@@ -60,6 +60,14 @@ test(""luaiterator removed"", () => {
     `.expectDiagnosticsToMatchSnapshot([annotationRemoved.code]);
 });
 
+test(""tuplereturn removed"", () => {
+    util.testFunction`
+        /** @tupleReturn */
+        function tuple(): [number, number, number] { return [3, 5, 1]; }
+        return tuple()[2];
+    `.expectDiagnosticsToMatchSnapshot([annotationRemoved.code]);
+});
+
 const tableLibClass = `
 /** @luaTable */
 declare class Table<K extends {} = {}, V = any> {
",0,,8,569,1,2,9,623
1097,92e9e607d0a6458d6b82ab2183c743d08dae0a96,92e9e607d0a6458d6b82ab2183c743d08dae0a96,,"actually fixed test this time
",,0,,1,26,1,3,4,22969
1098,a39026bd50ac8e5506031e297e2ee021bab196e3,da0de8bf0375d2a8c82a82dd7f1ed05134975a4e,"Resolves #194 (or rather brings support for Lua 5.1 and universal).

Implemented using `repeat...until true`, `if`, and some conditional `or` chaining. Relies on switch fallthrough amalgamation / unrolling for default case fallthrough.

```ts
switch (0 as number) {
    case 0:
    case 1:
    case 2:
        out.push(""0,1,2"");
    default:
        out.push(""default"");
    case 3:
        out.push(""3"");
}
```

```lua
repeat
    local ____switch3 = 0
    local ____cond3 = ((____switch3 == 0) or (____switch3 == 1)) or (____switch3 == 2)
    if ____cond3 then
        __TS__ArrayPush(out, \\""0,1,2\\"")
    end
    if ____cond3 then
        __TS__ArrayPush(out, \\""default\\"")
    end
    ____cond3 = ____cond3 or (____switch3 == 3)
    if ____cond3 then
        __TS__ArrayPush(out, \\""3\\"")
    end
    if not ____cond3 then
        __TS__ArrayPush(out, \\""default\\"")
        __TS__ArrayPush(out, \\""3\\"")
    end
until true
```

## Update:

The final approach was to `or` together the conditions into a variable and check that condition in the if statement to ensure that we do not add any additional comparisons that would trigger undesired side effects.

In order to handle the default case, we must still amalgamate the fallthrough cases that a default would fall into, and provide that as the final `or` clause, by checking that no previous condition had passed.

I am making my best attempt to ensure that any redundant or useless cases are removed, and empty cases coalesced.

Unforeseen bonus, the generated code is a bit easier to reason about!

### Orignal:

The approach I took is to gather the fall-through bodies based on the defined order in the switch statement and amalgamate them until I hit a break statement that would break the control flow of the switch case. I then move the resulting default block to a new else statement. It is crucial to handle the code generation for the default case before moving it into the else block, as the rules of fall through would dictate that the case directly after the default would execute.

Took lots of testing until it clicked in my head that this method is indeed conformant with how a switch statement executes. `switchWithBracketsBreakInInternalLoop` was the real kicker, and made me realize handling break statements in their proper scope was missing. By skipping the child tree of any loop or switch the code will not pick up unnecessary breaks of switch control flow.

Performance would be the only open question, although I would not expect this method to be any slower than jumping with goto, as it is really just an unrolled switch statement.

Also send me your code clarity, clean-up, cognitive load lightening, and readability suggestions, please!","feat: switch statements for lua 5.1
","diff --git a/test/unit/switch.spec.ts b/test/unit/switch.spec.ts
index c264850..de48d7e 100644
--- a/test/unit/switch.spec.ts
+++ b/test/unit/switch.spec.ts
@@ -1,5 +1,3 @@
-import * as tstl from ""../../src"";
-import { unsupportedForTarget } from ""../../src/transformation/utils/diagnostics"";
 import * as util from ""../util"";
 
 test.each([0, 1, 2, 3])(""switch (%p)"", inp => {
@@ -288,14 +286,6 @@ test(""switch uses elseif"", () => {
         .expectToMatchJsResult();
 });
 
-test(""switch not allowed in 5.1"", () => {
-    util.testFunction`
-        switch (""abc"") {}
-    `
-        .setOptions({ luaTarget: tstl.LuaTarget.Lua51 })
-        .expectDiagnosticsToMatchSnapshot([unsupportedForTarget.code]);
-});
-
 // https://github.com/TypeScriptToLua/TypeScriptToLua/issues/967
 test(""switch default case not last - first"", () => {
     util.testFunction`
",0,,4,146,1,24,4,485
