pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
133,ecaac9c364a2ba0673ee0449b84440ccbf1d4533,0dd6ac288d9927328b6c1a91e7e2309b2a0bdfcf,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,"Re-opening [this PR](https://github.com/arackaf/customize-cra/pull/132) by @breeze2 because I made a noob git mistake. Sorry @breeze2!

> Sometimes you may want to use a combination of the function, regex, object ... webpack.js.org/configuration/externals/#combining-syntaxes","feat: addWebpackExternals with combining syntaxes
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index ec653ea..aa56b17 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -19,7 +19,16 @@ test(""addWebpackExternals returns function that spreads provided args last in ex
     externals: { lodash: ""Lodash"", ""react-dom"": ""NotReactDom"" }
   };
   const externals = { react: ""React"", ""react-dom"": ""ReactDom"" };
-  const actual = addWebpackExternals(externals)(config);
+  const extReg = /^(jquery|\$)$/i;
+  function extFun(context, request, callback) {
+    if (/^yourregex$/.test(request)) {
+      return callback(null, 'commonjs ' + request);
+    }
+    callback();
+  }
+  let actual = addWebpackExternals(externals)(config);
+  actual = addWebpackExternals(extReg)(actual);
+  actual = addWebpackExternals(extFun)(actual);
 
   expect(actual).toMatchSnapshot();
 });
",0,
133,ecaac9c364a2ba0673ee0449b84440ccbf1d4533,0dd6ac288d9927328b6c1a91e7e2309b2a0bdfcf,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,"Re-opening [this PR](https://github.com/arackaf/customize-cra/pull/132) by @breeze2 because I made a noob git mistake. Sorry @breeze2!

> Sometimes you may want to use a combination of the function, regex, object ... webpack.js.org/configuration/externals/#combining-syntaxes","feat: addWebpackExternals with combining syntaxes
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index ec653ea..aa56b17 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -19,7 +19,16 @@ test(""addWebpackExternals returns function that spreads provided args last in ex
     externals: { lodash: ""Lodash"", ""react-dom"": ""NotReactDom"" }
   };
   const externals = { react: ""React"", ""react-dom"": ""ReactDom"" };
-  const actual = addWebpackExternals(externals)(config);
+  const extReg = /^(jquery|\$)$/i;
+  function extFun(context, request, callback) {
+    if (/^yourregex$/.test(request)) {
+      return callback(null, 'commonjs ' + request);
+    }
+    callback();
+  }
+  let actual = addWebpackExternals(externals)(config);
+  actual = addWebpackExternals(extReg)(actual);
+  actual = addWebpackExternals(extFun)(actual);
 
   expect(actual).toMatchSnapshot();
 });
",0,
140,9f020fdeb5aa9247a7fe4697bab551e83a3fe4d0,9f020fdeb5aa9247a7fe4697bab551e83a3fe4d0,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,"This change adds the `addWebpackModuleRule` customizer, which allows a
user to provide a rule which that will be added to the webpack config's
`module.rules` array.

Closes #137","feat: add addWebpackModuleRule customizer

This change adds the `addWebpackModuleRule` customizer, which allows a
user to provide a rule which that will be added to the webpack config's
`module.rules` array.
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index aa56b17..7385dae 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -7,6 +7,7 @@ import {
   useEslintRc,
   enableEslintTypescript,
   addTslintLoader,
+  addWebpackModuleRule,
   adjustWorkbox,
   watchAll,
   disableChunk,
@@ -22,7 +23,7 @@ test(""addWebpackExternals returns function that spreads provided args last in ex
   const extReg = /^(jquery|\$)$/i;
   function extFun(context, request, callback) {
     if (/^yourregex$/.test(request)) {
-      return callback(null, 'commonjs ' + request);
+      return callback(null, ""commonjs "" + request);
     }
     callback();
   }
@@ -142,6 +143,14 @@ describe(""eslint"", () => {
   });
 });
 
+test(""addWebpackModuleRule adds the provided rule to module.rules"", () => {
+  const rule = { name: ""__TEST__"" };
+  const inputConfig = { module: { rules: [] } };
+  const actual = addWebpackModuleRule(rule)(inputConfig);
+
+  expect(actual).toMatchSnapshot();
+});
+
 test(""adjustWorkbox calls the provided adjustment using the workbox plugin config"", () => {
   const adjustment = jest.fn(x => x);
   const innerConfig = { test: true };
",0,
140,9f020fdeb5aa9247a7fe4697bab551e83a3fe4d0,9f020fdeb5aa9247a7fe4697bab551e83a3fe4d0,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,"This change adds the `addWebpackModuleRule` customizer, which allows a
user to provide a rule which that will be added to the webpack config's
`module.rules` array.

Closes #137","feat: add addWebpackModuleRule customizer

This change adds the `addWebpackModuleRule` customizer, which allows a
user to provide a rule which that will be added to the webpack config's
`module.rules` array.
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index aa56b17..7385dae 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -7,6 +7,7 @@ import {
   useEslintRc,
   enableEslintTypescript,
   addTslintLoader,
+  addWebpackModuleRule,
   adjustWorkbox,
   watchAll,
   disableChunk,
@@ -22,7 +23,7 @@ test(""addWebpackExternals returns function that spreads provided args last in ex
   const extReg = /^(jquery|\$)$/i;
   function extFun(context, request, callback) {
     if (/^yourregex$/.test(request)) {
-      return callback(null, 'commonjs ' + request);
+      return callback(null, ""commonjs "" + request);
     }
     callback();
   }
@@ -142,6 +143,14 @@ describe(""eslint"", () => {
   });
 });
 
+test(""addWebpackModuleRule adds the provided rule to module.rules"", () => {
+  const rule = { name: ""__TEST__"" };
+  const inputConfig = { module: { rules: [] } };
+  const actual = addWebpackModuleRule(rule)(inputConfig);
+
+  expect(actual).toMatchSnapshot();
+});
+
 test(""adjustWorkbox calls the provided adjustment using the workbox plugin config"", () => {
   const adjustment = jest.fn(x => x);
   const innerConfig = { test: true };
",0,
141,c3fef4042458d53d4e364c93df4a0ed394a82497,c3fef4042458d53d4e364c93df4a0ed394a82497,src/customizers/__snapshots__/babel.test.js.snap,src/customizers/babel.test.js,"This function replaces the `babel-loader` `exclude` array.

Closes #110","feat: add babelExclude

This functions adds an item to the babel-loader config's `exclude`
array.
","diff --git a/src/customizers/babel.test.js b/src/customizers/babel.test.js
index f307f20..4c70e35 100644
--- a/src/customizers/babel.test.js
+++ b/src/customizers/babel.test.js
@@ -8,11 +8,14 @@ import {
   addBabelPresets,
   fixBabelImports,
   useBabelRc,
-  babelInclude
+  babelInclude,
+  babelExclude
 } from ""./babel"";
 
 /**
- * Actually the create-react-app2/3 has two babel-loader rules. One is for app's src and the other is for 'outside of app'( like node_modules ). This config mocks babel-loader for outside of app.
+ * Actually the create-react-app2/3 has two babel-loader rules. One is for
+ * app's src and the other is for 'outside of app'( like node_modules ). This
+ * config mocks babel-loader for outside of app.
  */
 const config = () => ({
   module: {
@@ -23,16 +26,16 @@ const config = () => ({
             loader: ""babel"",
             include: ""src"",
             options: {
-              plugins: [],
-            },
+              plugins: []
+            }
           },
           {
             loader: ""babel"",
             exclude: ""src"",
-            options: {},
+            options: {}
           }
         ]
-      },
+      }
     ]
   }
 });
@@ -62,6 +65,13 @@ test(""babelInclude sets the babel loader include"", () => {
   expect(actual).toMatchSnapshot();
 });
 
+test(""babelExclude sets the babel loader exclude"", () => {
+  const exclude = [""fake_directory""];
+  const actual = babelExclude(exclude)(config());
+
+  expect(actual).toMatchSnapshot();
+});
+
 test(""addBabelPlugin returns a function that adds a plugin to the plugins list"", () => {
   const plugin = ""@babel/plugin-transform-runtime"";
   const actual = addBabelPlugin(plugin)(config());
",0,
141,c3fef4042458d53d4e364c93df4a0ed394a82497,c3fef4042458d53d4e364c93df4a0ed394a82497,src/customizers/__snapshots__/babel.test.js.snap,src/customizers/babel.test.js,"This function replaces the `babel-loader` `exclude` array.

Closes #110","feat: add babelExclude

This functions adds an item to the babel-loader config's `exclude`
array.
","diff --git a/src/customizers/babel.test.js b/src/customizers/babel.test.js
index f307f20..4c70e35 100644
--- a/src/customizers/babel.test.js
+++ b/src/customizers/babel.test.js
@@ -8,11 +8,14 @@ import {
   addBabelPresets,
   fixBabelImports,
   useBabelRc,
-  babelInclude
+  babelInclude,
+  babelExclude
 } from ""./babel"";
 
 /**
- * Actually the create-react-app2/3 has two babel-loader rules. One is for app's src and the other is for 'outside of app'( like node_modules ). This config mocks babel-loader for outside of app.
+ * Actually the create-react-app2/3 has two babel-loader rules. One is for
+ * app's src and the other is for 'outside of app'( like node_modules ). This
+ * config mocks babel-loader for outside of app.
  */
 const config = () => ({
   module: {
@@ -23,16 +26,16 @@ const config = () => ({
             loader: ""babel"",
             include: ""src"",
             options: {
-              plugins: [],
-            },
+              plugins: []
+            }
           },
           {
             loader: ""babel"",
             exclude: ""src"",
-            options: {},
+            options: {}
           }
         ]
-      },
+      }
     ]
   }
 });
@@ -62,6 +65,13 @@ test(""babelInclude sets the babel loader include"", () => {
   expect(actual).toMatchSnapshot();
 });
 
+test(""babelExclude sets the babel loader exclude"", () => {
+  const exclude = [""fake_directory""];
+  const actual = babelExclude(exclude)(config());
+
+  expect(actual).toMatchSnapshot();
+});
+
 test(""addBabelPlugin returns a function that adds a plugin to the plugins list"", () => {
   const plugin = ""@babel/plugin-transform-runtime"";
   const actual = addBabelPlugin(plugin)(config());
",0,
157,686cef2301dab6af0e47d3d3d412aa74a73153d4,ce7408d696206630405f19ef3709caa1d477dc22,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,"As per: https://webpack.js.org/configuration/target/

This can be useful for things like Electron apps. I've tested this with one of my own apps and it seems to work as expected.","feat: implement setWebpackTarget
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index 7385dae..6d6df26 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -12,7 +12,8 @@ import {
   watchAll,
   disableChunk,
   removeModuleScopePlugin,
-  addPostcssPlugins
+  addPostcssPlugins,
+  setWebpackTarget
 } from ""./webpack"";
 
 test(""addWebpackExternals returns function that spreads provided args last in externals list"", () => {
@@ -223,3 +224,13 @@ test(""removeModuleScopePlugin removes the 'ModuleScopePlugin' resolve plugin"", (
 
   expect(actual).toMatchSnapshot();
 });
+
+test(""setWebpackTarget sets the target as the config target"", () => {
+  const inputConfig = {
+    target: ""mocked-initial-target""
+  };
+
+  const actual = setWebpackTarget(""mocked-new-target"")(inputConfig);
+
+  expect(actual).toMatchSnapshot();
+});
",0,
157,686cef2301dab6af0e47d3d3d412aa74a73153d4,ce7408d696206630405f19ef3709caa1d477dc22,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,"As per: https://webpack.js.org/configuration/target/

This can be useful for things like Electron apps. I've tested this with one of my own apps and it seems to work as expected.","feat: implement setWebpackTarget
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index 7385dae..6d6df26 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -12,7 +12,8 @@ import {
   watchAll,
   disableChunk,
   removeModuleScopePlugin,
-  addPostcssPlugins
+  addPostcssPlugins,
+  setWebpackTarget
 } from ""./webpack"";
 
 test(""addWebpackExternals returns function that spreads provided args last in externals list"", () => {
@@ -223,3 +224,13 @@ test(""removeModuleScopePlugin removes the 'ModuleScopePlugin' resolve plugin"", (
 
   expect(actual).toMatchSnapshot();
 });
+
+test(""setWebpackTarget sets the target as the config target"", () => {
+  const inputConfig = {
+    target: ""mocked-initial-target""
+  };
+
+  const actual = setWebpackTarget(""mocked-new-target"")(inputConfig);
+
+  expect(actual).toMatchSnapshot();
+});
",0,
161,3bde110daa46a55f7290c174bb4c5372a4760961,3bde110daa46a55f7290c174bb4c5372a4760961,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,fixes #154,"feat: add setWebpackPublicPath (#154)
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index 70227af..3b31b6d 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -13,7 +13,8 @@ import {
   disableChunk,
   removeModuleScopePlugin,
   addPostcssPlugins,
-  setWebpackTarget
+  setWebpackTarget,
+  setWebpackPublicPath
 } from ""./webpack"";
 
 test(""addWebpackExternals returns function that spreads provided args last in externals list"", () => {
@@ -234,3 +235,15 @@ test(""setWebpackTarget sets the target as the config target"", () => {
 
   expect(actual).toMatchSnapshot();
 });
+
+test(""setWebpackPublicPath sets the path as the config publicPath"", () => {
+  const inputConfig = {
+    output: {
+      publicPath: 'mocked-public-path'
+    }
+  };
+
+  const actual = setWebpackPublicPath(""mocked-public-path"")(inputConfig);
+
+  expect(actual).toMatchSnapshot();
+});
",0,
161,3bde110daa46a55f7290c174bb4c5372a4760961,3bde110daa46a55f7290c174bb4c5372a4760961,src/customizers/__snapshots__/webpack.test.js.snap,src/customizers/webpack.test.js,fixes #154,"feat: add setWebpackPublicPath (#154)
","diff --git a/src/customizers/webpack.test.js b/src/customizers/webpack.test.js
index 70227af..3b31b6d 100644
--- a/src/customizers/webpack.test.js
+++ b/src/customizers/webpack.test.js
@@ -13,7 +13,8 @@ import {
   disableChunk,
   removeModuleScopePlugin,
   addPostcssPlugins,
-  setWebpackTarget
+  setWebpackTarget,
+  setWebpackPublicPath
 } from ""./webpack"";
 
 test(""addWebpackExternals returns function that spreads provided args last in externals list"", () => {
@@ -234,3 +235,15 @@ test(""setWebpackTarget sets the target as the config target"", () => {
 
   expect(actual).toMatchSnapshot();
 });
+
+test(""setWebpackPublicPath sets the path as the config publicPath"", () => {
+  const inputConfig = {
+    output: {
+      publicPath: 'mocked-public-path'
+    }
+  };
+
+  const actual = setWebpackPublicPath(""mocked-public-path"")(inputConfig);
+
+  expect(actual).toMatchSnapshot();
+});
",0,
