pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
10,365d92415bb18624a24a5a421bf5b53eeaed7179,8122907d1da5274cb4dae58b271b0618434e75fe,test/__snapshots__/simpleImg.test.js.snap,test/simpleImg.test.js,,"add logo and improve api
","diff --git a/test/simpleImg.test.js b/test/simpleImg.test.js
index 836e7cc..8e59437 100644
--- a/test/simpleImg.test.js
+++ b/test/simpleImg.test.js
@@ -8,7 +8,6 @@ jest.mock('react-simple-animate', () => 'Animate');
 
 const props = {
   src: 'src',
-  placeHolderSrc: 'placeHolderSrc',
   imgClassName: 'img className',
   wrapperClassName: 'wrapper className',
   width: 100,
@@ -16,7 +15,6 @@ const props = {
   alt: 'alt',
   sizes: 'sizes',
   srcSet: 'srcSet',
-  placeholderColor: 'red',
   animationDuration: 1,
   animationEndStyle: { opacity: 0 },
 };
@@ -39,8 +37,23 @@ describe('SimpleImg', () => {
     expect(tree).toMatchSnapshot();
   });
 
+  it('should render background color', () => {
+    const tree = renderer.create(<SimpleImg {...{...props, placeholder: 'red'}} />);
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('should render out placeholder as image', () => {
+    const tree = renderer.create(<SimpleImg {...{...props, placeholder: '/test/image.jpg'}} />);
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('should render out as image data', () => {
+    const tree = renderer.create(<SimpleImg {...{...props, placeholder: 'data:image//test'}} />);
+    expect(tree).toMatchSnapshot();
+  });
+
   it('should render only span when place holder src is not supplied', () => {
-    const { placeHolderSrc, ...omitProps } = props;
+    const { placeholder, ...omitProps } = props;
     const tree = renderer.create(<SimpleImg {...omitProps} />);
     expect(tree).toMatchSnapshot();
   });
",0,
10,365d92415bb18624a24a5a421bf5b53eeaed7179,8122907d1da5274cb4dae58b271b0618434e75fe,test/__snapshots__/simpleImg.test.js.snap,test/simpleImg.test.js,,"add logo and improve api
","diff --git a/test/simpleImg.test.js b/test/simpleImg.test.js
index 836e7cc..8e59437 100644
--- a/test/simpleImg.test.js
+++ b/test/simpleImg.test.js
@@ -8,7 +8,6 @@ jest.mock('react-simple-animate', () => 'Animate');
 
 const props = {
   src: 'src',
-  placeHolderSrc: 'placeHolderSrc',
   imgClassName: 'img className',
   wrapperClassName: 'wrapper className',
   width: 100,
@@ -16,7 +15,6 @@ const props = {
   alt: 'alt',
   sizes: 'sizes',
   srcSet: 'srcSet',
-  placeholderColor: 'red',
   animationDuration: 1,
   animationEndStyle: { opacity: 0 },
 };
@@ -39,8 +37,23 @@ describe('SimpleImg', () => {
     expect(tree).toMatchSnapshot();
   });
 
+  it('should render background color', () => {
+    const tree = renderer.create(<SimpleImg {...{...props, placeholder: 'red'}} />);
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('should render out placeholder as image', () => {
+    const tree = renderer.create(<SimpleImg {...{...props, placeholder: '/test/image.jpg'}} />);
+    expect(tree).toMatchSnapshot();
+  });
+
+  it('should render out as image data', () => {
+    const tree = renderer.create(<SimpleImg {...{...props, placeholder: 'data:image//test'}} />);
+    expect(tree).toMatchSnapshot();
+  });
+
   it('should render only span when place holder src is not supplied', () => {
-    const { placeHolderSrc, ...omitProps } = props;
+    const { placeholder, ...omitProps } = props;
     const tree = renderer.create(<SimpleImg {...omitProps} />);
     expect(tree).toMatchSnapshot();
   });
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,d1880dda00da460a38f0e40cd7c72d87c1e849f8,test/__snapshots__/simpleImgProvider.test.js.snap,test/simpleImgProvider.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","unit tests update
","diff --git a/test/simpleImgProvider.test.js b/test/simpleImgProvider.test.js
index 4d93c44..87b781a 100644
--- a/test/simpleImgProvider.test.js
+++ b/test/simpleImgProvider.test.js
@@ -60,65 +60,4 @@ describe('SimpleImgProvider', () => {
       expect(tree.state('mountedImages')).toEqual(new Set());
     });
   });
-
-  it('should start loading images when observe image about to appear', () => {
-    const preloadImageSpy = jest.fn();
-    const target = 'target';
-    tree.instance().preloadImage = preloadImageSpy;
-    tree.instance().onIntersection([
-      {
-        intersectionRatio: 1,
-        target,
-      },
-    ]);
-    tree.update();
-
-    expect(preloadImageSpy.mock.calls[0][0]).toBe(target);
-  });
-
-  it('should not loading images when observe image is not about to appear', () => {
-    const preloadImageSpy = jest.fn();
-    const target = 'target';
-    tree.instance().preloadImage = preloadImageSpy;
-    tree.instance().onIntersection([
-      {
-        intersectionRatio: 0,
-        target,
-      },
-    ]);
-    tree.update();
-
-    expect(preloadImageSpy).not.toHaveBeenCalled();
-  });
-
-  describe('when preloadImage called', () => {
-    it('should catch error failed', async () => {
-      try {
-        await tree.instance().preloadImage({});
-      } catch (e) {
-        expect(e).toMatchSnapshot();
-      }
-    });
-
-    it('should fetch the image and apply src to original image', async () => {
-      const target = { dataset: { src: 'test' } };
-      const fetchImageSpy = jest.fn();
-      const applyImageSpy = jest.fn();
-      tree.instance().fetchImage = fetchImageSpy;
-      tree.instance().applyImage = applyImageSpy;
-      tree.update();
-      await tree.instance().preloadImage(target);
-
-      expect(unobserveSpy).toHaveBeenCalled();
-      expect(fetchImageSpy).toHaveBeenCalled();
-      expect(applyImageSpy).toHaveBeenCalled();
-      expect(unobserveSpy.mock.calls[0][0]).toBe(target);
-      expect(applyImageSpy.mock.calls[0][0]).toBe(target);
-    });
-  });
-
-  it('should update mount images state when applyImage is called', () => {
-    tree.instance().applyImage('target');
-    expect(tree.state('mountedImages')).toEqual(new Set(['target']));
-  });
 });
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,d1880dda00da460a38f0e40cd7c72d87c1e849f8,test/utils/__snapshots__/imageLoader.test.js.snap,test/utils/imageLoader.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","unit tests update
","diff --git a/test/utils/imageLoader.test.js b/test/utils/imageLoader.test.js
new file mode 100644
index 0000000..ddb6e47
--- /dev/null
+++ b/test/utils/imageLoader.test.js
@@ -0,0 +1,54 @@
+import imageLoader, { applyImage } from '../../src/utils/imageLoader';
+jest.mock('../../src/utils/fetchImage', () => () => new Promise(resolve => resolve('test')));
+
+describe('imageLoader', () => {
+  describe('when preloadImage called', () => {
+    it('should catch error failed', async () => {
+      try {
+        await imageLoader({});
+      } catch (e) {
+        expect(e).toMatchSnapshot();
+      }
+    });
+
+    it('should fetch the image and apply src to original image', async () => {
+      const unobserveSpy = jest.fn();
+      const setStateSpy = jest.fn();
+      const target = { dataset: { src: 'test' } };
+      await imageLoader.call(
+        {
+          observer: {
+            unobserve: unobserveSpy,
+          },
+          setState: setStateSpy,
+        },
+        target,
+      );
+
+      expect(unobserveSpy).toHaveBeenCalled();
+      expect(setStateSpy).toHaveBeenCalled();
+    });
+  });
+
+  it('should update mount images state when applyImage is called', () => {
+    const setAttributeSpy = jest.fn();
+    const getAttributeSpy = jest.fn();
+    expect(
+      applyImage(
+        {
+          src: 'test',
+          style: {
+            visibility: 'hidden',
+          },
+          nextSibling: {
+            setAttribute: setAttributeSpy,
+            getAttribute: getAttributeSpy,
+          },
+        },
+        'loadedImg',
+      ),
+    ).toMatchSnapshot();
+    expect(getAttributeSpy).toHaveBeenCalled();
+    expect(setAttributeSpy).toHaveBeenCalled();
+  });
+});
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,0e571afbd870a20c0987a900de742cd6f00a4378,test/logic/__snapshots__/filterSrcset.test.js.snap,test/logic/filterSrcset.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","fix from code review
","diff --git a/test/logic/filterSrcset.test.js b/test/logic/filterSrcset.test.js
index 7959ec6..d7ace6d 100644
--- a/test/logic/filterSrcset.test.js
+++ b/test/logic/filterSrcset.test.js
@@ -1,17 +1,7 @@
-import filterImgSrc, { findClosestDpr } from '../../src/logic/filterSrcset';
+import filterImgSrc  from '../../src/logic/filterSrcset';
 
 describe('filterImgSrc', () => {
   it('should produce the correct image path', () => {
     expect(filterImgSrc({ srcset: 'test.jpg 2x, test-small.jpg', dataset: { src: 'test.jpg' } })).toMatchSnapshot();
   });
 });
-
-describe('findClosestDpr', () => {
-  it('should find the closest dpr', () => {
-    expect(findClosestDpr([
-      { dpr: 1 },
-      { dpr: 1.8 },
-      { dpr: 1.2 },
-    ], 2)).toMatchSnapshot();
-  });
-});
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,0e571afbd870a20c0987a900de742cd6f00a4378,test/utils/__snapshots__/findClosestDpr.test.js.snap,test/utils/findClosestDpr.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","fix from code review
","diff --git a/test/utils/findClosestDpr.test.js b/test/utils/findClosestDpr.test.js
new file mode 100644
index 0000000..3db4289
--- /dev/null
+++ b/test/utils/findClosestDpr.test.js
@@ -0,0 +1,11 @@
+import findClosestDpr from '../../src/utils/findClosestDpr';
+
+describe('findClosestDpr', () => {
+  it('should find the closest dpr', () => {
+    expect(findClosestDpr([
+      { dpr: 1 },
+      { dpr: 1.8 },
+      { dpr: 1.2 },
+    ], 2)).toMatchSnapshot();
+  });
+});
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,d1880dda00da460a38f0e40cd7c72d87c1e849f8,test/__snapshots__/simpleImgProvider.test.js.snap,test/simpleImgProvider.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","unit tests update
","diff --git a/test/simpleImgProvider.test.js b/test/simpleImgProvider.test.js
index 4d93c44..87b781a 100644
--- a/test/simpleImgProvider.test.js
+++ b/test/simpleImgProvider.test.js
@@ -60,65 +60,4 @@ describe('SimpleImgProvider', () => {
       expect(tree.state('mountedImages')).toEqual(new Set());
     });
   });
-
-  it('should start loading images when observe image about to appear', () => {
-    const preloadImageSpy = jest.fn();
-    const target = 'target';
-    tree.instance().preloadImage = preloadImageSpy;
-    tree.instance().onIntersection([
-      {
-        intersectionRatio: 1,
-        target,
-      },
-    ]);
-    tree.update();
-
-    expect(preloadImageSpy.mock.calls[0][0]).toBe(target);
-  });
-
-  it('should not loading images when observe image is not about to appear', () => {
-    const preloadImageSpy = jest.fn();
-    const target = 'target';
-    tree.instance().preloadImage = preloadImageSpy;
-    tree.instance().onIntersection([
-      {
-        intersectionRatio: 0,
-        target,
-      },
-    ]);
-    tree.update();
-
-    expect(preloadImageSpy).not.toHaveBeenCalled();
-  });
-
-  describe('when preloadImage called', () => {
-    it('should catch error failed', async () => {
-      try {
-        await tree.instance().preloadImage({});
-      } catch (e) {
-        expect(e).toMatchSnapshot();
-      }
-    });
-
-    it('should fetch the image and apply src to original image', async () => {
-      const target = { dataset: { src: 'test' } };
-      const fetchImageSpy = jest.fn();
-      const applyImageSpy = jest.fn();
-      tree.instance().fetchImage = fetchImageSpy;
-      tree.instance().applyImage = applyImageSpy;
-      tree.update();
-      await tree.instance().preloadImage(target);
-
-      expect(unobserveSpy).toHaveBeenCalled();
-      expect(fetchImageSpy).toHaveBeenCalled();
-      expect(applyImageSpy).toHaveBeenCalled();
-      expect(unobserveSpy.mock.calls[0][0]).toBe(target);
-      expect(applyImageSpy.mock.calls[0][0]).toBe(target);
-    });
-  });
-
-  it('should update mount images state when applyImage is called', () => {
-    tree.instance().applyImage('target');
-    expect(tree.state('mountedImages')).toEqual(new Set(['target']));
-  });
 });
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,d1880dda00da460a38f0e40cd7c72d87c1e849f8,test/utils/__snapshots__/imageLoader.test.js.snap,test/utils/imageLoader.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","unit tests update
","diff --git a/test/utils/imageLoader.test.js b/test/utils/imageLoader.test.js
new file mode 100644
index 0000000..ddb6e47
--- /dev/null
+++ b/test/utils/imageLoader.test.js
@@ -0,0 +1,54 @@
+import imageLoader, { applyImage } from '../../src/utils/imageLoader';
+jest.mock('../../src/utils/fetchImage', () => () => new Promise(resolve => resolve('test')));
+
+describe('imageLoader', () => {
+  describe('when preloadImage called', () => {
+    it('should catch error failed', async () => {
+      try {
+        await imageLoader({});
+      } catch (e) {
+        expect(e).toMatchSnapshot();
+      }
+    });
+
+    it('should fetch the image and apply src to original image', async () => {
+      const unobserveSpy = jest.fn();
+      const setStateSpy = jest.fn();
+      const target = { dataset: { src: 'test' } };
+      await imageLoader.call(
+        {
+          observer: {
+            unobserve: unobserveSpy,
+          },
+          setState: setStateSpy,
+        },
+        target,
+      );
+
+      expect(unobserveSpy).toHaveBeenCalled();
+      expect(setStateSpy).toHaveBeenCalled();
+    });
+  });
+
+  it('should update mount images state when applyImage is called', () => {
+    const setAttributeSpy = jest.fn();
+    const getAttributeSpy = jest.fn();
+    expect(
+      applyImage(
+        {
+          src: 'test',
+          style: {
+            visibility: 'hidden',
+          },
+          nextSibling: {
+            setAttribute: setAttributeSpy,
+            getAttribute: getAttributeSpy,
+          },
+        },
+        'loadedImg',
+      ),
+    ).toMatchSnapshot();
+    expect(getAttributeSpy).toHaveBeenCalled();
+    expect(setAttributeSpy).toHaveBeenCalled();
+  });
+});
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,0e571afbd870a20c0987a900de742cd6f00a4378,test/logic/__snapshots__/filterSrcset.test.js.snap,test/logic/filterSrcset.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","fix from code review
","diff --git a/test/logic/filterSrcset.test.js b/test/logic/filterSrcset.test.js
index 7959ec6..d7ace6d 100644
--- a/test/logic/filterSrcset.test.js
+++ b/test/logic/filterSrcset.test.js
@@ -1,17 +1,7 @@
-import filterImgSrc, { findClosestDpr } from '../../src/logic/filterSrcset';
+import filterImgSrc  from '../../src/logic/filterSrcset';
 
 describe('filterImgSrc', () => {
   it('should produce the correct image path', () => {
     expect(filterImgSrc({ srcset: 'test.jpg 2x, test-small.jpg', dataset: { src: 'test.jpg' } })).toMatchSnapshot();
   });
 });
-
-describe('findClosestDpr', () => {
-  it('should find the closest dpr', () => {
-    expect(findClosestDpr([
-      { dpr: 1 },
-      { dpr: 1.8 },
-      { dpr: 1.2 },
-    ], 2)).toMatchSnapshot();
-  });
-});
",0,
11,fcfd67ef3cbee467d53e8a0d7fd4a2d83fcfcace,0e571afbd870a20c0987a900de742cd6f00a4378,test/utils/__snapshots__/findClosestDpr.test.js.snap,test/utils/findClosestDpr.test.js,"![image](https://user-images.githubusercontent.com/10513364/34902773-69e9d7fe-f876-11e7-81a2-3ff4141da85a.png)
","fix from code review
","diff --git a/test/utils/findClosestDpr.test.js b/test/utils/findClosestDpr.test.js
new file mode 100644
index 0000000..3db4289
--- /dev/null
+++ b/test/utils/findClosestDpr.test.js
@@ -0,0 +1,11 @@
+import findClosestDpr from '../../src/utils/findClosestDpr';
+
+describe('findClosestDpr', () => {
+  it('should find the closest dpr', () => {
+    expect(findClosestDpr([
+      { dpr: 1 },
+      { dpr: 1.8 },
+      { dpr: 1.2 },
+    ], 2)).toMatchSnapshot();
+  });
+});
",0,
