pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
165,1345ec7fca732f4084a4a25216ca00c998ab3aab,1345ec7fca732f4084a4a25216ca00c998ab3aab,__tests__/app/renderer/src/components/__snapshots__/Icon.js.snap,__tests__/app/renderer/src/components/Icon.js,"- upgrade eslint and eslint pkg's to the latest versions
- lint for warnings/errors
 - some missing default props
 - updated snapshots for new applied default props","upgrade eslint, eslint rules, and apply new lints
","diff --git a/__tests__/app/renderer/src/components/Icon.js b/__tests__/app/renderer/src/components/Icon.js
index b046423..b485165 100644
--- a/__tests__/app/renderer/src/components/Icon.js
+++ b/__tests__/app/renderer/src/components/Icon.js
@@ -9,7 +9,7 @@ describe('<Icon /> component', () => {
       letter: 'T',
     };
     const component = renderer.create(
-      <Icon icon={icon} />
+      <Icon icon={icon} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -21,7 +21,7 @@ describe('<Icon /> component', () => {
       letter: './icon.png',
     };
     const component = renderer.create(
-      <Icon icon={icon} />
+      <Icon icon={icon} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
",0,
165,1345ec7fca732f4084a4a25216ca00c998ab3aab,1345ec7fca732f4084a4a25216ca00c998ab3aab,__tests__/app/renderer/src/components/__snapshots__/QueryField.js.snap,__tests__/app/renderer/src/components/QueryField.js,"- upgrade eslint and eslint pkg's to the latest versions
- lint for warnings/errors
 - some missing default props
 - updated snapshots for new applied default props","upgrade eslint, eslint rules, and apply new lints
","diff --git a/__tests__/app/renderer/src/components/QueryField.js b/__tests__/app/renderer/src/components/QueryField.js
index 91258d1..746db98 100644
--- a/__tests__/app/renderer/src/components/QueryField.js
+++ b/__tests__/app/renderer/src/components/QueryField.js
@@ -11,7 +11,7 @@ describe('<QueryField /> component', () => {
 
   it('should render a query field component with no value', () => {
     const component = renderer.create(
-      <QueryField theme={theme} />
+      <QueryField theme={theme} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -19,7 +19,7 @@ describe('<QueryField /> component', () => {
 
   it('should render a query field component with some value', () => {
     const component = renderer.create(
-      <QueryField theme={theme} value={'TEST'} />
+      <QueryField theme={theme} value={'TEST'} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
",0,
165,1345ec7fca732f4084a4a25216ca00c998ab3aab,1345ec7fca732f4084a4a25216ca00c998ab3aab,__tests__/app/renderer/src/components/__snapshots__/ResultItem.js.snap,__tests__/app/renderer/src/components/ResultItem.js,"- upgrade eslint and eslint pkg's to the latest versions
- lint for warnings/errors
 - some missing default props
 - updated snapshots for new applied default props","upgrade eslint, eslint rules, and apply new lints
","diff --git a/__tests__/app/renderer/src/components/ResultItem.js b/__tests__/app/renderer/src/components/ResultItem.js
index 647e988..0a08d70 100644
--- a/__tests__/app/renderer/src/components/ResultItem.js
+++ b/__tests__/app/renderer/src/components/ResultItem.js
@@ -19,7 +19,7 @@ describe('<ResultItem /> component', () => {
       },
     };
     const component = renderer.create(
-      <ResultItem theme={theme} item={item} />
+      <ResultItem theme={theme} item={item} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -35,7 +35,7 @@ describe('<ResultItem /> component', () => {
       },
     };
     const component = renderer.create(
-      <ResultItem theme={theme} item={item} />
+      <ResultItem theme={theme} item={item} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -51,7 +51,7 @@ describe('<ResultItem /> component', () => {
       },
     };
     const component = renderer.create(
-      <ResultItem theme={theme} item={item} selected />
+      <ResultItem theme={theme} item={item} selected />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
",0,
165,1345ec7fca732f4084a4a25216ca00c998ab3aab,1345ec7fca732f4084a4a25216ca00c998ab3aab,__tests__/app/renderer/src/components/__snapshots__/Icon.js.snap,__tests__/app/renderer/src/components/Icon.js,"- upgrade eslint and eslint pkg's to the latest versions
- lint for warnings/errors
 - some missing default props
 - updated snapshots for new applied default props","upgrade eslint, eslint rules, and apply new lints
","diff --git a/__tests__/app/renderer/src/components/Icon.js b/__tests__/app/renderer/src/components/Icon.js
index b046423..b485165 100644
--- a/__tests__/app/renderer/src/components/Icon.js
+++ b/__tests__/app/renderer/src/components/Icon.js
@@ -9,7 +9,7 @@ describe('<Icon /> component', () => {
       letter: 'T',
     };
     const component = renderer.create(
-      <Icon icon={icon} />
+      <Icon icon={icon} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -21,7 +21,7 @@ describe('<Icon /> component', () => {
       letter: './icon.png',
     };
     const component = renderer.create(
-      <Icon icon={icon} />
+      <Icon icon={icon} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
",0,
165,1345ec7fca732f4084a4a25216ca00c998ab3aab,1345ec7fca732f4084a4a25216ca00c998ab3aab,__tests__/app/renderer/src/components/__snapshots__/QueryField.js.snap,__tests__/app/renderer/src/components/QueryField.js,"- upgrade eslint and eslint pkg's to the latest versions
- lint for warnings/errors
 - some missing default props
 - updated snapshots for new applied default props","upgrade eslint, eslint rules, and apply new lints
","diff --git a/__tests__/app/renderer/src/components/QueryField.js b/__tests__/app/renderer/src/components/QueryField.js
index 91258d1..746db98 100644
--- a/__tests__/app/renderer/src/components/QueryField.js
+++ b/__tests__/app/renderer/src/components/QueryField.js
@@ -11,7 +11,7 @@ describe('<QueryField /> component', () => {
 
   it('should render a query field component with no value', () => {
     const component = renderer.create(
-      <QueryField theme={theme} />
+      <QueryField theme={theme} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -19,7 +19,7 @@ describe('<QueryField /> component', () => {
 
   it('should render a query field component with some value', () => {
     const component = renderer.create(
-      <QueryField theme={theme} value={'TEST'} />
+      <QueryField theme={theme} value={'TEST'} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
",0,
165,1345ec7fca732f4084a4a25216ca00c998ab3aab,1345ec7fca732f4084a4a25216ca00c998ab3aab,__tests__/app/renderer/src/components/__snapshots__/ResultItem.js.snap,__tests__/app/renderer/src/components/ResultItem.js,"- upgrade eslint and eslint pkg's to the latest versions
- lint for warnings/errors
 - some missing default props
 - updated snapshots for new applied default props","upgrade eslint, eslint rules, and apply new lints
","diff --git a/__tests__/app/renderer/src/components/ResultItem.js b/__tests__/app/renderer/src/components/ResultItem.js
index 647e988..0a08d70 100644
--- a/__tests__/app/renderer/src/components/ResultItem.js
+++ b/__tests__/app/renderer/src/components/ResultItem.js
@@ -19,7 +19,7 @@ describe('<ResultItem /> component', () => {
       },
     };
     const component = renderer.create(
-      <ResultItem theme={theme} item={item} />
+      <ResultItem theme={theme} item={item} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -35,7 +35,7 @@ describe('<ResultItem /> component', () => {
       },
     };
     const component = renderer.create(
-      <ResultItem theme={theme} item={item} />
+      <ResultItem theme={theme} item={item} />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
@@ -51,7 +51,7 @@ describe('<ResultItem /> component', () => {
       },
     };
     const component = renderer.create(
-      <ResultItem theme={theme} item={item} selected />
+      <ResultItem theme={theme} item={item} selected />,
     );
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
",0,
223,1419d049fd254f0aa86fe874b3d541a8548653a3,0ca7b253329dfda64880ea2830695261c1893c64,app/renderer/src/components/query-field/__snapshots__/query-field.spec.js.snap,app/renderer/src/components/query-field/query-field.spec.js,"it's time we remove `containers`
all of this is to prepare the usage of the new (now kinda old) context

- ~~blocked by #222 (cherry picked)~~","test(query-field): use `props`
","diff --git a/app/renderer/src/components/query-field/query-field.spec.js b/app/renderer/src/components/query-field/query-field.spec.js
index aa394cd..dd2ee1b 100644
--- a/app/renderer/src/components/query-field/query-field.spec.js
+++ b/app/renderer/src/components/query-field/query-field.spec.js
@@ -2,23 +2,33 @@ import React from 'react';
 import renderer from 'react-test-renderer';
 import QueryField from './query-field';
 
+jest.mock('electron', () => ({
+  ipcRenderer: {
+    on: jest.fn(),
+  },
+}));
+
+const createTestProps = custom => ({
+  onReset: jest.fn(),
+  onChange: jest.fn(),
+  ...custom,
+});
+
 describe('<QueryField /> component', () => {
-  let theme = {};
+  let props;
 
   beforeEach(() => {
-    theme = {};
+    props = createTestProps();
   });
 
   it('should render a query field component with no value', () => {
-    const component = renderer.create(<QueryField theme={theme} />);
+    const component = renderer.create(<QueryField {...props} />);
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
 
   it('should render a query field component with some value', () => {
-    const component = renderer.create(
-      <QueryField theme={theme} value={'TEST'} />
-    );
+    const component = renderer.create(<QueryField {...props} />);
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
",0,
223,1419d049fd254f0aa86fe874b3d541a8548653a3,b33471dca58f0a70c95438cbcfa4930e6e8261cb,app/renderer/src/components/icon/__snapshots__/icon.spec.js.snap,app/renderer/src/components/icon/icon.spec.js,"it's time we remove `containers`
all of this is to prepare the usage of the new (now kinda old) context

- ~~blocked by #222 (cherry picked)~~","refactor(app/renderer): merge icon container and icon wrapper
","diff --git a/app/renderer/src/components/icon/icon.spec.js b/app/renderer/src/components/icon/icon.spec.js
deleted file mode 100644
index 8aa0aad..0000000
--- a/app/renderer/src/components/icon/icon.spec.js
+++ /dev/null
@@ -1,25 +0,0 @@
-import React from 'react';
-import renderer from 'react-test-renderer';
-import Icon from './icon';
-
-describe('rendering', () => {
-  it('should render a text icon component', () => {
-    const icon = {
-      type: 'text',
-      letter: 'T',
-    };
-    const component = renderer.create(<Icon icon={icon} />);
-    const tree = component.toJSON();
-    expect(tree).toMatchSnapshot();
-  });
-
-  it('should render a file icon component', () => {
-    const icon = {
-      type: 'file',
-      letter: './icon.png',
-    };
-    const component = renderer.create(<Icon icon={icon} />);
-    const tree = component.toJSON();
-    expect(tree).toMatchSnapshot();
-  });
-});
",0,
223,1419d049fd254f0aa86fe874b3d541a8548653a3,b33471dca58f0a70c95438cbcfa4930e6e8261cb,app/renderer/src/components/result-item/__snapshots__/result-item.spec.js.snap,app/renderer/src/components/result-item/result-item.spec.js,"it's time we remove `containers`
all of this is to prepare the usage of the new (now kinda old) context

- ~~blocked by #222 (cherry picked)~~","refactor(app/renderer): merge icon container and icon wrapper
",,0,
223,1419d049fd254f0aa86fe874b3d541a8548653a3,0ca7b253329dfda64880ea2830695261c1893c64,app/renderer/src/components/query-field/__snapshots__/query-field.spec.js.snap,app/renderer/src/components/query-field/query-field.spec.js,"it's time we remove `containers`
all of this is to prepare the usage of the new (now kinda old) context

- ~~blocked by #222 (cherry picked)~~","test(query-field): use `props`
","diff --git a/app/renderer/src/components/query-field/query-field.spec.js b/app/renderer/src/components/query-field/query-field.spec.js
index aa394cd..dd2ee1b 100644
--- a/app/renderer/src/components/query-field/query-field.spec.js
+++ b/app/renderer/src/components/query-field/query-field.spec.js
@@ -2,23 +2,33 @@ import React from 'react';
 import renderer from 'react-test-renderer';
 import QueryField from './query-field';
 
+jest.mock('electron', () => ({
+  ipcRenderer: {
+    on: jest.fn(),
+  },
+}));
+
+const createTestProps = custom => ({
+  onReset: jest.fn(),
+  onChange: jest.fn(),
+  ...custom,
+});
+
 describe('<QueryField /> component', () => {
-  let theme = {};
+  let props;
 
   beforeEach(() => {
-    theme = {};
+    props = createTestProps();
   });
 
   it('should render a query field component with no value', () => {
-    const component = renderer.create(<QueryField theme={theme} />);
+    const component = renderer.create(<QueryField {...props} />);
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
 
   it('should render a query field component with some value', () => {
-    const component = renderer.create(
-      <QueryField theme={theme} value={'TEST'} />
-    );
+    const component = renderer.create(<QueryField {...props} />);
     const tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
",0,
