pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
10,e47133079720b65d3aed23476c97333b3021a656,03bc31542a03b49f7c921fa69c0470514be1f79d,dist/meta/__tests__/__snapshots__/buildTags.test.js.snap,dist/meta/__tests__/buildTags.test.js,,"add product, update test, update readme
","diff --git a/dist/meta/__tests__/buildTags.test.js b/dist/meta/__tests__/buildTags.test.js
index e9d4104..01439c6 100644
--- a/dist/meta/__tests__/buildTags.test.js
+++ b/dist/meta/__tests__/buildTags.test.js
@@ -101,6 +101,10 @@ it('returns full array for default seo object', function () {
   var ogLocaleTag = tags.filter(function (item) {
     return item.key === 'og:locale';
   });
+  var ogSiteName = container.querySelectorAll('meta[content=""' + SEO.openGraph.site_name + '""]');
+  var ogSiteNameTag = tags.filter(function (item) {
+    return item.key === 'og:site_name';
+  });
   var canonicalTag = tags.filter(function (item) {
     return item.key === 'canonical';
   });
@@ -137,6 +141,8 @@ it('returns full array for default seo object', function () {
   expect(Array.from(ogSetImageAlt).length).toBe(1);
   expect(Array.from(ogLocale).length).toBe(1);
   expect(Array.from(ogLocaleTag).length).toBe(1);
+  expect(Array.from(ogSiteName).length).toBe(1);
+  expect(Array.from(ogSiteNameTag).length).toBe(1);
   expect(canonicalTag[0].props.href).toBe('' + SEO.canonical);
   expect(Array.from(canonicalTag).length).toBe(1);
 });
",0,
10,e47133079720b65d3aed23476c97333b3021a656,03bc31542a03b49f7c921fa69c0470514be1f79d,dist/meta/__tests__/__snapshots__/buildTags.test.jsx.snap,dist/meta/__tests__/buildTags.test.jsx,,"add product, update test, update readme
",,0,
10,e47133079720b65d3aed23476c97333b3021a656,03bc31542a03b49f7c921fa69c0470514be1f79d,src/meta/__tests__/__snapshots__/buildTags.test.jsx.snap,src/meta/__tests__/buildTags.test.jsx,,"add product, update test, update readme
","diff --git a/src/meta/__tests__/buildTags.test.jsx b/src/meta/__tests__/buildTags.test.jsx
index 98207db..dc1d5dd 100644
--- a/src/meta/__tests__/buildTags.test.jsx
+++ b/src/meta/__tests__/buildTags.test.jsx
@@ -90,6 +90,8 @@ it('returns full array for default seo object', () => {
   );
   const ogLocale = container.querySelectorAll(`meta[content=""${SEO.openGraph.locale}""]`);
   const ogLocaleTag = tags.filter(item => item.key === 'og:locale');
+  const ogSiteName = container.querySelectorAll(`meta[content=""${SEO.openGraph.site_name}""]`);
+  const ogSiteNameTag = tags.filter(item => item.key === 'og:site_name');
   const canonicalTag = tags.filter(item => item.key === 'canonical');
 
   expect(title).toBeDefined();
@@ -124,6 +126,8 @@ it('returns full array for default seo object', () => {
   expect(Array.from(ogSetImageAlt).length).toBe(1);
   expect(Array.from(ogLocale).length).toBe(1);
   expect(Array.from(ogLocaleTag).length).toBe(1);
+  expect(Array.from(ogSiteName).length).toBe(1);
+  expect(Array.from(ogSiteNameTag).length).toBe(1);
   expect(canonicalTag[0].props.href).toBe(`${SEO.canonical}`);
   expect(Array.from(canonicalTag).length).toBe(1);
 });
",0,
10,e47133079720b65d3aed23476c97333b3021a656,e47133079720b65d3aed23476c97333b3021a656,src/meta/__tests__/__snapshots__/buildTags.spec.jsx.snap,src/meta/__tests__/buildTags.spec.jsx,,"update babel file ignores
","diff --git a/src/meta/__tests__/buildTags.spec.jsx b/src/meta/__tests__/buildTags.spec.jsx
new file mode 100644
index 0000000..20084f5
--- /dev/null
+++ b/src/meta/__tests__/buildTags.spec.jsx
@@ -0,0 +1,161 @@
+import { getByText, render } from 'react-testing-library';
+import React from 'react';
+
+import buildTags from '../buildTags';
+
+const SEO = {
+  title: 'This is a test title.',
+  description: 'This is a test description.',
+  canonical: 'https://www.canonical.ie',
+  openGraph: {
+    type: 'website',
+    locale: 'en_IE',
+    url: 'https://www.url.ie',
+    title: 'Open graph title',
+    description: 'This is testing og:description.',
+    defaultImageWidth: 1200,
+    defaultImageHeight: 1200,
+    images: [
+      {
+        url: 'https://www.test.ie/image-01.jpg',
+        width: 800,
+        height: 600,
+        alt: 'Alt text right here',
+      },
+      { url: 'https://www.test.ie/image-02.jpg' },
+      { url: 'https://www.test.ie/image-03.jpg' },
+      { url: 'https://www.test.ie/image-04.jpg' },
+    ],
+    site_name: 'SiteName',
+  },
+  twitter: {
+    handle: '@handle',
+    site: '@site',
+    cardType: 'summary_large_image',
+  },
+};
+
+it('renders correctly', () => {
+  const tags = buildTags(SEO);
+  const { container } = render(tags);
+  expect(container).toMatchSnapshot();
+});
+
+/* eslint no-magic-numbers: 0 */
+it('returns full array for default seo object', () => {
+  const tags = buildTags(SEO);
+  const { container } = render(tags);
+
+  const title = getByText(
+    container,
+    (content, element) => element.tagName.toLowerCase() === 'title' && content.startsWith(`${SEO.title}`),
+  );
+  const index = container.querySelectorAll('meta[content=""index,follow""]');
+  const description = container.querySelectorAll(`meta[content=""${SEO.description}""]`);
+  const descriptionTag = container.querySelectorAll('meta[name=""description""]');
+  const twitterCard = container.querySelectorAll('meta[content=""summary_large_image""]');
+  const twitterCardTag = container.querySelectorAll('meta[name=""twitter:card""]');
+  const twitterHandle = container.querySelectorAll(`meta[content=""${SEO.twitter.handle}""]`);
+  const twitterHandleTag = container.querySelectorAll('meta[name=""twitter:creator""]');
+  const twitterSite = container.querySelectorAll(`meta[content=""${SEO.twitter.site}""]`);
+  const twitterSiteTag = container.querySelectorAll('meta[name=""twitter:site""]');
+  const ogUrl = container.querySelectorAll(`meta[content=""${SEO.openGraph.url}""]`);
+  const ogUrlTag = container.querySelectorAll('meta[property=""og:url""]');
+  const ogType = container.querySelectorAll(`meta[content=""${SEO.openGraph.type}""]`);
+  const ogTypeTag = container.querySelectorAll('meta[property=""og:type""]');
+  const ogTitle = container.querySelectorAll(`meta[content=""${SEO.openGraph.title}""]`);
+  const ogTitleTag = container.querySelectorAll('meta[property=""og:title""]');
+  const ogDescription = container.querySelectorAll(`meta[content=""${SEO.openGraph.description}""]`);
+  const ogDescriptionTag = container.querySelectorAll('meta[property=""og:description""]');
+  const ogImage00 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[0].url}""]`);
+  const ogImageTag00 = tags.filter(item => item.key === 'og:image:01');
+  const ogImage01 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[1].url}""]`);
+  const ogImageTag01 = tags.filter(item => item.key === 'og:image:01');
+  const ogImage02 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[2].url}""]`);
+  const ogImageTag02 = tags.filter(item => item.key === 'og:image:02');
+  const ogImage03 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[3].url}""]`);
+  const ogImageTag03 = tags.filter(item => item.key === 'og:image:03');
+  const ogDefaultImageWidthHeight = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.defaultImageHeight}""]`,
+  );
+  const ogSetImageHeight = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.images[0].height}""]`,
+  );
+  const ogSetImageWidth = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.images[0].width}""]`,
+  );
+  const ogSetImageAlt = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.images[0].alt}""]`,
+  );
+  const ogLocale = container.querySelectorAll(`meta[content=""${SEO.openGraph.locale}""]`);
+  const ogLocaleTag = tags.filter(item => item.key === 'og:locale');
+  const ogSiteName = container.querySelectorAll(`meta[content=""${SEO.openGraph.site_name}""]`);
+  const ogSiteNameTag = tags.filter(item => item.key === 'og:site_name');
+  const canonicalTag = tags.filter(item => item.key === 'canonical');
+
+  expect(title).toBeDefined();
+  expect(Array.from(index).length).toBe(2);
+  expect(Array.from(description).length).toBe(1);
+  expect(Array.from(descriptionTag).length).toBe(1);
+  expect(Array.from(twitterCard).length).toBe(1);
+  expect(Array.from(twitterCardTag).length).toBe(1);
+  expect(Array.from(twitterHandle).length).toBe(1);
+  expect(Array.from(twitterHandleTag).length).toBe(1);
+  expect(Array.from(twitterSite).length).toBe(1);
+  expect(Array.from(twitterSiteTag).length).toBe(1);
+  expect(Array.from(ogUrl).length).toBe(1);
+  expect(Array.from(ogUrlTag).length).toBe(1);
+  expect(Array.from(ogType).length).toBe(1);
+  expect(Array.from(ogTypeTag).length).toBe(1);
+  expect(Array.from(ogTitle).length).toBe(1);
+  expect(Array.from(ogTitleTag).length).toBe(1);
+  expect(Array.from(ogDescription).length).toBe(1);
+  expect(Array.from(ogDescriptionTag).length).toBe(1);
+  expect(Array.from(ogImage00).length).toBe(1);
+  expect(Array.from(ogImageTag00).length).toBe(1);
+  expect(Array.from(ogImage01).length).toBe(1);
+  expect(Array.from(ogImageTag01).length).toBe(1);
+  expect(Array.from(ogImage02).length).toBe(1);
+  expect(Array.from(ogImageTag02).length).toBe(1);
+  expect(Array.from(ogImage03).length).toBe(1);
+  expect(Array.from(ogImageTag03).length).toBe(1);
+  expect(Array.from(ogDefaultImageWidthHeight).length).toBe(6);
+  expect(Array.from(ogSetImageHeight).length).toBe(1);
+  expect(Array.from(ogSetImageWidth).length).toBe(1);
+  expect(Array.from(ogSetImageAlt).length).toBe(1);
+  expect(Array.from(ogLocale).length).toBe(1);
+  expect(Array.from(ogLocaleTag).length).toBe(1);
+  expect(Array.from(ogSiteName).length).toBe(1);
+  expect(Array.from(ogSiteNameTag).length).toBe(1);
+  expect(canonicalTag[0].props.href).toBe(`${SEO.canonical}`);
+  expect(Array.from(canonicalTag).length).toBe(1);
+});
+
+it('correctly sets noindex, nofollow', () => {
+  const overrideProps = {
+    ...SEO,
+    noindex: true,
+  };
+  const tags = buildTags(overrideProps);
+  const { container } = render(tags);
+  const index = container.querySelectorAll('meta[content=""index,follow""]');
+  const noindex = container.querySelectorAll('meta[content=""noindex,nofollow""]');
+
+  expect(Array.from(index).length).toBe(0);
+  expect(Array.from(noindex).length).toBe(2);
+});
+
+it('displays title with titleTemplate integrated', () => {
+  const template = 'Next SEO';
+  const overrideProps = {
+    ...SEO,
+    titleTemplate: `${template} | %s`,
+  };
+  const tags = buildTags(overrideProps);
+  const { container } = render(tags);
+  const title = getByText(
+    container,
+    (content, element) => element.tagName.toLowerCase() === 'title' && content.startsWith(template),
+  );
+  expect(title.innerHTML).toMatch(`${template} | ${SEO.title}`);
+});
",0,
10,e47133079720b65d3aed23476c97333b3021a656,03bc31542a03b49f7c921fa69c0470514be1f79d,dist/meta/__tests__/__snapshots__/buildTags.test.js.snap,dist/meta/__tests__/buildTags.test.js,,"add product, update test, update readme
","diff --git a/dist/meta/__tests__/buildTags.test.js b/dist/meta/__tests__/buildTags.test.js
index e9d4104..01439c6 100644
--- a/dist/meta/__tests__/buildTags.test.js
+++ b/dist/meta/__tests__/buildTags.test.js
@@ -101,6 +101,10 @@ it('returns full array for default seo object', function () {
   var ogLocaleTag = tags.filter(function (item) {
     return item.key === 'og:locale';
   });
+  var ogSiteName = container.querySelectorAll('meta[content=""' + SEO.openGraph.site_name + '""]');
+  var ogSiteNameTag = tags.filter(function (item) {
+    return item.key === 'og:site_name';
+  });
   var canonicalTag = tags.filter(function (item) {
     return item.key === 'canonical';
   });
@@ -137,6 +141,8 @@ it('returns full array for default seo object', function () {
   expect(Array.from(ogSetImageAlt).length).toBe(1);
   expect(Array.from(ogLocale).length).toBe(1);
   expect(Array.from(ogLocaleTag).length).toBe(1);
+  expect(Array.from(ogSiteName).length).toBe(1);
+  expect(Array.from(ogSiteNameTag).length).toBe(1);
   expect(canonicalTag[0].props.href).toBe('' + SEO.canonical);
   expect(Array.from(canonicalTag).length).toBe(1);
 });
",0,
10,e47133079720b65d3aed23476c97333b3021a656,03bc31542a03b49f7c921fa69c0470514be1f79d,dist/meta/__tests__/__snapshots__/buildTags.test.jsx.snap,dist/meta/__tests__/buildTags.test.jsx,,"add product, update test, update readme
",,0,
10,e47133079720b65d3aed23476c97333b3021a656,03bc31542a03b49f7c921fa69c0470514be1f79d,src/meta/__tests__/__snapshots__/buildTags.test.jsx.snap,src/meta/__tests__/buildTags.test.jsx,,"add product, update test, update readme
","diff --git a/src/meta/__tests__/buildTags.test.jsx b/src/meta/__tests__/buildTags.test.jsx
index 98207db..dc1d5dd 100644
--- a/src/meta/__tests__/buildTags.test.jsx
+++ b/src/meta/__tests__/buildTags.test.jsx
@@ -90,6 +90,8 @@ it('returns full array for default seo object', () => {
   );
   const ogLocale = container.querySelectorAll(`meta[content=""${SEO.openGraph.locale}""]`);
   const ogLocaleTag = tags.filter(item => item.key === 'og:locale');
+  const ogSiteName = container.querySelectorAll(`meta[content=""${SEO.openGraph.site_name}""]`);
+  const ogSiteNameTag = tags.filter(item => item.key === 'og:site_name');
   const canonicalTag = tags.filter(item => item.key === 'canonical');
 
   expect(title).toBeDefined();
@@ -124,6 +126,8 @@ it('returns full array for default seo object', () => {
   expect(Array.from(ogSetImageAlt).length).toBe(1);
   expect(Array.from(ogLocale).length).toBe(1);
   expect(Array.from(ogLocaleTag).length).toBe(1);
+  expect(Array.from(ogSiteName).length).toBe(1);
+  expect(Array.from(ogSiteNameTag).length).toBe(1);
   expect(canonicalTag[0].props.href).toBe(`${SEO.canonical}`);
   expect(Array.from(canonicalTag).length).toBe(1);
 });
",0,
10,e47133079720b65d3aed23476c97333b3021a656,e47133079720b65d3aed23476c97333b3021a656,src/meta/__tests__/__snapshots__/buildTags.spec.jsx.snap,src/meta/__tests__/buildTags.spec.jsx,,"update babel file ignores
","diff --git a/src/meta/__tests__/buildTags.spec.jsx b/src/meta/__tests__/buildTags.spec.jsx
new file mode 100644
index 0000000..20084f5
--- /dev/null
+++ b/src/meta/__tests__/buildTags.spec.jsx
@@ -0,0 +1,161 @@
+import { getByText, render } from 'react-testing-library';
+import React from 'react';
+
+import buildTags from '../buildTags';
+
+const SEO = {
+  title: 'This is a test title.',
+  description: 'This is a test description.',
+  canonical: 'https://www.canonical.ie',
+  openGraph: {
+    type: 'website',
+    locale: 'en_IE',
+    url: 'https://www.url.ie',
+    title: 'Open graph title',
+    description: 'This is testing og:description.',
+    defaultImageWidth: 1200,
+    defaultImageHeight: 1200,
+    images: [
+      {
+        url: 'https://www.test.ie/image-01.jpg',
+        width: 800,
+        height: 600,
+        alt: 'Alt text right here',
+      },
+      { url: 'https://www.test.ie/image-02.jpg' },
+      { url: 'https://www.test.ie/image-03.jpg' },
+      { url: 'https://www.test.ie/image-04.jpg' },
+    ],
+    site_name: 'SiteName',
+  },
+  twitter: {
+    handle: '@handle',
+    site: '@site',
+    cardType: 'summary_large_image',
+  },
+};
+
+it('renders correctly', () => {
+  const tags = buildTags(SEO);
+  const { container } = render(tags);
+  expect(container).toMatchSnapshot();
+});
+
+/* eslint no-magic-numbers: 0 */
+it('returns full array for default seo object', () => {
+  const tags = buildTags(SEO);
+  const { container } = render(tags);
+
+  const title = getByText(
+    container,
+    (content, element) => element.tagName.toLowerCase() === 'title' && content.startsWith(`${SEO.title}`),
+  );
+  const index = container.querySelectorAll('meta[content=""index,follow""]');
+  const description = container.querySelectorAll(`meta[content=""${SEO.description}""]`);
+  const descriptionTag = container.querySelectorAll('meta[name=""description""]');
+  const twitterCard = container.querySelectorAll('meta[content=""summary_large_image""]');
+  const twitterCardTag = container.querySelectorAll('meta[name=""twitter:card""]');
+  const twitterHandle = container.querySelectorAll(`meta[content=""${SEO.twitter.handle}""]`);
+  const twitterHandleTag = container.querySelectorAll('meta[name=""twitter:creator""]');
+  const twitterSite = container.querySelectorAll(`meta[content=""${SEO.twitter.site}""]`);
+  const twitterSiteTag = container.querySelectorAll('meta[name=""twitter:site""]');
+  const ogUrl = container.querySelectorAll(`meta[content=""${SEO.openGraph.url}""]`);
+  const ogUrlTag = container.querySelectorAll('meta[property=""og:url""]');
+  const ogType = container.querySelectorAll(`meta[content=""${SEO.openGraph.type}""]`);
+  const ogTypeTag = container.querySelectorAll('meta[property=""og:type""]');
+  const ogTitle = container.querySelectorAll(`meta[content=""${SEO.openGraph.title}""]`);
+  const ogTitleTag = container.querySelectorAll('meta[property=""og:title""]');
+  const ogDescription = container.querySelectorAll(`meta[content=""${SEO.openGraph.description}""]`);
+  const ogDescriptionTag = container.querySelectorAll('meta[property=""og:description""]');
+  const ogImage00 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[0].url}""]`);
+  const ogImageTag00 = tags.filter(item => item.key === 'og:image:01');
+  const ogImage01 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[1].url}""]`);
+  const ogImageTag01 = tags.filter(item => item.key === 'og:image:01');
+  const ogImage02 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[2].url}""]`);
+  const ogImageTag02 = tags.filter(item => item.key === 'og:image:02');
+  const ogImage03 = container.querySelectorAll(`meta[content=""${SEO.openGraph.images[3].url}""]`);
+  const ogImageTag03 = tags.filter(item => item.key === 'og:image:03');
+  const ogDefaultImageWidthHeight = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.defaultImageHeight}""]`,
+  );
+  const ogSetImageHeight = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.images[0].height}""]`,
+  );
+  const ogSetImageWidth = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.images[0].width}""]`,
+  );
+  const ogSetImageAlt = container.querySelectorAll(
+    `meta[content=""${SEO.openGraph.images[0].alt}""]`,
+  );
+  const ogLocale = container.querySelectorAll(`meta[content=""${SEO.openGraph.locale}""]`);
+  const ogLocaleTag = tags.filter(item => item.key === 'og:locale');
+  const ogSiteName = container.querySelectorAll(`meta[content=""${SEO.openGraph.site_name}""]`);
+  const ogSiteNameTag = tags.filter(item => item.key === 'og:site_name');
+  const canonicalTag = tags.filter(item => item.key === 'canonical');
+
+  expect(title).toBeDefined();
+  expect(Array.from(index).length).toBe(2);
+  expect(Array.from(description).length).toBe(1);
+  expect(Array.from(descriptionTag).length).toBe(1);
+  expect(Array.from(twitterCard).length).toBe(1);
+  expect(Array.from(twitterCardTag).length).toBe(1);
+  expect(Array.from(twitterHandle).length).toBe(1);
+  expect(Array.from(twitterHandleTag).length).toBe(1);
+  expect(Array.from(twitterSite).length).toBe(1);
+  expect(Array.from(twitterSiteTag).length).toBe(1);
+  expect(Array.from(ogUrl).length).toBe(1);
+  expect(Array.from(ogUrlTag).length).toBe(1);
+  expect(Array.from(ogType).length).toBe(1);
+  expect(Array.from(ogTypeTag).length).toBe(1);
+  expect(Array.from(ogTitle).length).toBe(1);
+  expect(Array.from(ogTitleTag).length).toBe(1);
+  expect(Array.from(ogDescription).length).toBe(1);
+  expect(Array.from(ogDescriptionTag).length).toBe(1);
+  expect(Array.from(ogImage00).length).toBe(1);
+  expect(Array.from(ogImageTag00).length).toBe(1);
+  expect(Array.from(ogImage01).length).toBe(1);
+  expect(Array.from(ogImageTag01).length).toBe(1);
+  expect(Array.from(ogImage02).length).toBe(1);
+  expect(Array.from(ogImageTag02).length).toBe(1);
+  expect(Array.from(ogImage03).length).toBe(1);
+  expect(Array.from(ogImageTag03).length).toBe(1);
+  expect(Array.from(ogDefaultImageWidthHeight).length).toBe(6);
+  expect(Array.from(ogSetImageHeight).length).toBe(1);
+  expect(Array.from(ogSetImageWidth).length).toBe(1);
+  expect(Array.from(ogSetImageAlt).length).toBe(1);
+  expect(Array.from(ogLocale).length).toBe(1);
+  expect(Array.from(ogLocaleTag).length).toBe(1);
+  expect(Array.from(ogSiteName).length).toBe(1);
+  expect(Array.from(ogSiteNameTag).length).toBe(1);
+  expect(canonicalTag[0].props.href).toBe(`${SEO.canonical}`);
+  expect(Array.from(canonicalTag).length).toBe(1);
+});
+
+it('correctly sets noindex, nofollow', () => {
+  const overrideProps = {
+    ...SEO,
+    noindex: true,
+  };
+  const tags = buildTags(overrideProps);
+  const { container } = render(tags);
+  const index = container.querySelectorAll('meta[content=""index,follow""]');
+  const noindex = container.querySelectorAll('meta[content=""noindex,nofollow""]');
+
+  expect(Array.from(index).length).toBe(0);
+  expect(Array.from(noindex).length).toBe(2);
+});
+
+it('displays title with titleTemplate integrated', () => {
+  const template = 'Next SEO';
+  const overrideProps = {
+    ...SEO,
+    titleTemplate: `${template} | %s`,
+  };
+  const tags = buildTags(overrideProps);
+  const { container } = render(tags);
+  const title = getByText(
+    container,
+    (content, element) => element.tagName.toLowerCase() === 'title' && content.startsWith(template),
+  );
+  expect(title.innerHTML).toMatch(`${template} | ${SEO.title}`);
+});
",0,
115,d7ef377fcc734f0ec75c3abc04fe271900b9b71a,d7ef377fcc734f0ec75c3abc04fe271900b9b71a,src/meta/__tests__/__snapshots__/buildTags.spec.tsx.snap,src/meta/__tests__/buildTags.spec.tsx,Closes https://github.com/garmeeh/next-seo/issues/114,"Fix tests
","diff --git a/src/meta/__tests__/buildTags.spec.tsx b/src/meta/__tests__/buildTags.spec.tsx
index 5be9f92..485aff5 100644
--- a/src/meta/__tests__/buildTags.spec.tsx
+++ b/src/meta/__tests__/buildTags.spec.tsx
@@ -16,10 +16,16 @@ const SEO: BuildTagsParams = {
     media: 'only screen and (max-width: 640px)',
     href: 'https://m.canonical.ie',
   },
-  languageAlternate: {
-    hrefLang: 'de-AT',
-    href: 'https://www.canonical.ie/de',
-  },
+  languageAlternates: [
+    {
+      hrefLang: 'de-AT',
+      href: 'https://www.canonical.ie/de',
+    },
+    {
+      hrefLang: 'sk-SK',
+      href: 'https://www.canonical.ie/sk',
+    },
+  ],
   openGraph: {
     type: 'website',
     locale: 'en_IE',
@@ -157,23 +163,28 @@ it('returns full array for default seo object', () => {
     `link[media=""${SEO.mobileAlternate.media}""]`,
   );
 
-  const languageAlternateTag = container.querySelectorAll(
+  expect(Array.from(mobileAlternateTag).length).toBe(1);
+  expect(Array.from(mobileAlternateHref).length).toBe(1);
+  expect(Array.from(mobileAlternateMedia).length).toBe(1);
+
+  const languageAlternatesTags = container.querySelectorAll(
     'link[rel=""alternate""][hrefLang]',
   );
-  const languageAlternateHref = container.querySelectorAll(
-    `link[href=""${SEO.languageAlternate.href}""]`,
-  );
-  const languageAlternateHrefLang = container.querySelectorAll(
-    `link[hrefLang=""${SEO.languageAlternate.hrefLang}""]`,
+  expect(Array.from(languageAlternatesTags).length).toBe(
+    SEO.languageAlternates.length,
   );
 
-  expect(Array.from(mobileAlternateTag).length).toBe(1);
-  expect(Array.from(mobileAlternateHref).length).toBe(1);
-  expect(Array.from(mobileAlternateMedia).length).toBe(1);
+  SEO.languageAlternates.forEach((languageAlternate, idx) => {
+    const languageAlternateHref = container.querySelectorAll(
+      `link[href=""${SEO.languageAlternates[idx].href}""]`,
+    );
+    const languageAlternateHrefLang = container.querySelectorAll(
+      `link[hrefLang=""${SEO.languageAlternates[idx].hrefLang}""]`,
+    );
 
-  expect(Array.from(languageAlternateTag).length).toBe(1);
-  expect(Array.from(languageAlternateHref).length).toBe(1);
-  expect(Array.from(languageAlternateHrefLang).length).toBe(1);
+    expect(Array.from(languageAlternateHref).length).toBe(1);
+    expect(Array.from(languageAlternateHrefLang).length).toBe(1);
+  });
 
   expect(title).toBeDefined();
   expect(Array.from(index).length).toBe(2);
",0,
115,d7ef377fcc734f0ec75c3abc04fe271900b9b71a,d7ef377fcc734f0ec75c3abc04fe271900b9b71a,src/meta/__tests__/__snapshots__/buildTags.spec.tsx.snap,src/meta/__tests__/buildTags.spec.tsx,Closes https://github.com/garmeeh/next-seo/issues/114,"Fix tests
","diff --git a/src/meta/__tests__/buildTags.spec.tsx b/src/meta/__tests__/buildTags.spec.tsx
index 5be9f92..485aff5 100644
--- a/src/meta/__tests__/buildTags.spec.tsx
+++ b/src/meta/__tests__/buildTags.spec.tsx
@@ -16,10 +16,16 @@ const SEO: BuildTagsParams = {
     media: 'only screen and (max-width: 640px)',
     href: 'https://m.canonical.ie',
   },
-  languageAlternate: {
-    hrefLang: 'de-AT',
-    href: 'https://www.canonical.ie/de',
-  },
+  languageAlternates: [
+    {
+      hrefLang: 'de-AT',
+      href: 'https://www.canonical.ie/de',
+    },
+    {
+      hrefLang: 'sk-SK',
+      href: 'https://www.canonical.ie/sk',
+    },
+  ],
   openGraph: {
     type: 'website',
     locale: 'en_IE',
@@ -157,23 +163,28 @@ it('returns full array for default seo object', () => {
     `link[media=""${SEO.mobileAlternate.media}""]`,
   );
 
-  const languageAlternateTag = container.querySelectorAll(
+  expect(Array.from(mobileAlternateTag).length).toBe(1);
+  expect(Array.from(mobileAlternateHref).length).toBe(1);
+  expect(Array.from(mobileAlternateMedia).length).toBe(1);
+
+  const languageAlternatesTags = container.querySelectorAll(
     'link[rel=""alternate""][hrefLang]',
   );
-  const languageAlternateHref = container.querySelectorAll(
-    `link[href=""${SEO.languageAlternate.href}""]`,
-  );
-  const languageAlternateHrefLang = container.querySelectorAll(
-    `link[hrefLang=""${SEO.languageAlternate.hrefLang}""]`,
+  expect(Array.from(languageAlternatesTags).length).toBe(
+    SEO.languageAlternates.length,
   );
 
-  expect(Array.from(mobileAlternateTag).length).toBe(1);
-  expect(Array.from(mobileAlternateHref).length).toBe(1);
-  expect(Array.from(mobileAlternateMedia).length).toBe(1);
+  SEO.languageAlternates.forEach((languageAlternate, idx) => {
+    const languageAlternateHref = container.querySelectorAll(
+      `link[href=""${SEO.languageAlternates[idx].href}""]`,
+    );
+    const languageAlternateHrefLang = container.querySelectorAll(
+      `link[hrefLang=""${SEO.languageAlternates[idx].hrefLang}""]`,
+    );
 
-  expect(Array.from(languageAlternateTag).length).toBe(1);
-  expect(Array.from(languageAlternateHref).length).toBe(1);
-  expect(Array.from(languageAlternateHrefLang).length).toBe(1);
+    expect(Array.from(languageAlternateHref).length).toBe(1);
+    expect(Array.from(languageAlternateHrefLang).length).toBe(1);
+  });
 
   expect(title).toBeDefined();
   expect(Array.from(index).length).toBe(2);
",0,
