pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1037,067a2893d50121af2ab2c78afb07111b1de6526a,067a2893d50121af2ab2c78afb07111b1de6526a,__tests__/components/__snapshots__/Collapsible-test.js.snap,__tests__/components/Collapsible-test.js,"#### What does this PR do?

Add test

#### Where should the reviewer start?

Test files

#### What testing has been done on this PR?

Collapsible component

#### How should this be manually tested?

No UI changes

#### Do the grommet docs need to be updated?

No

#### Should this PR be mentioned in the release notes?

No

#### Is this change backwards compatible or is it a breaking change?

No
","Collapsible: added tests.
","diff --git a/__tests__/components/Collapsible-test.js b/__tests__/components/Collapsible-test.js
new file mode 100644
index 0000000..0113378
--- /dev/null
+++ b/__tests__/components/Collapsible-test.js
@@ -0,0 +1,20 @@
+// (C) Copyright 2014-2016 Hewlett Packard Enterprise Development LP
+
+import React from 'react';
+import renderer from 'react/lib/ReactTestRenderer';
+
+import Collapsible from '../../src/js/components/Collapsible';
+
+// needed because this:
+// https://github.com/facebook/jest/issues/1353
+jest.mock('react-dom');
+
+describe('Collapsible', () => {
+  it('has correct default options', () => {
+    const component = renderer.create(
+      <Collapsible />
+    );
+    let tree = component.toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+});
",0,
1037,067a2893d50121af2ab2c78afb07111b1de6526a,067a2893d50121af2ab2c78afb07111b1de6526a,__tests__/components/__snapshots__/Collapsible-test.js.snap,__tests__/components/Collapsible-test.js,"#### What does this PR do?

Add test

#### Where should the reviewer start?

Test files

#### What testing has been done on this PR?

Collapsible component

#### How should this be manually tested?

No UI changes

#### Do the grommet docs need to be updated?

No

#### Should this PR be mentioned in the release notes?

No

#### Is this change backwards compatible or is it a breaking change?

No
","Collapsible: added tests.
","diff --git a/__tests__/components/Collapsible-test.js b/__tests__/components/Collapsible-test.js
new file mode 100644
index 0000000..0113378
--- /dev/null
+++ b/__tests__/components/Collapsible-test.js
@@ -0,0 +1,20 @@
+// (C) Copyright 2014-2016 Hewlett Packard Enterprise Development LP
+
+import React from 'react';
+import renderer from 'react/lib/ReactTestRenderer';
+
+import Collapsible from '../../src/js/components/Collapsible';
+
+// needed because this:
+// https://github.com/facebook/jest/issues/1353
+jest.mock('react-dom');
+
+describe('Collapsible', () => {
+  it('has correct default options', () => {
+    const component = renderer.create(
+      <Collapsible />
+    );
+    let tree = component.toJSON();
+    expect(tree).toMatchSnapshot();
+  });
+});
",0,
1185,fe3a7c663183e0af3eb567176ef4f8970d8a5a3d,fe3a7c663183e0af3eb567176ef4f8970d8a5a3d,__tests__/components/__snapshots__/Legend-test.js.snap,__tests__/components/Legend-test.js,"<!--- Provide a general summary of the PR in the Title above -->

#### What does this PR do?

Fix occasional floating point errors in Legend component.

#### Where should the reviewer start?

Look in Legend.js

#### What testing has been done on this PR?

Manual testing and an unit test included.

#### How should this be manually tested?

They can use this codepen as an example of what was broken before: http://codepen.io/coltonw/pen/PWaENd

#### Any background context you want to provide?

Fixes have been attempted on this problem in the past by using arithmetic to work around floating point errors, but it turns out this is extremely hard to actually do.  The ""real"" solution would probably be to use a real decimal library such as [this one](https://github.com/MikeMcl/bignumber.js/) but doing toFixed (which is what this change uses) will definitely work and requires no extra dependencies.

#### What are the relevant issues?

#1174 

#### Do the grommet docs need to be updated?

Nope.

#### Should this PR be mentioned in the release notes?

Up to you!

#### Is this change backwards compatible or is it a breaking change?

Backwards compatible.","Fix occasional floating point errors in Legend component.
","diff --git a/__tests__/components/Legend-test.js b/__tests__/components/Legend-test.js
index b709c6c..9192431 100644
--- a/__tests__/components/Legend-test.js
+++ b/__tests__/components/Legend-test.js
@@ -58,4 +58,23 @@ describe('Legend', () => {
     // should properly calculate total
     expect(component.getInstance()._seriesTotal()).toBe(125);
   });
+
+  it('has no floating point errors in the total', () => {
+    const component = renderer.create(
+      <Legend
+        units=""apples""
+        total
+        series={[
+          {value: 2.53, Label: ""a""},
+          {value: 2.01, Label: ""c""}
+        ]}
+        max=""10""
+      />);
+
+    let tree = component.toJSON();
+    expect(tree).toMatchSnapshot();
+
+    // should properly calculate total
+    expect(component.getInstance()._seriesTotal()).toBe(4.54);
+  });
 });
",0,
1185,fe3a7c663183e0af3eb567176ef4f8970d8a5a3d,fe3a7c663183e0af3eb567176ef4f8970d8a5a3d,__tests__/components/__snapshots__/Legend-test.js.snap,__tests__/components/Legend-test.js,"<!--- Provide a general summary of the PR in the Title above -->

#### What does this PR do?

Fix occasional floating point errors in Legend component.

#### Where should the reviewer start?

Look in Legend.js

#### What testing has been done on this PR?

Manual testing and an unit test included.

#### How should this be manually tested?

They can use this codepen as an example of what was broken before: http://codepen.io/coltonw/pen/PWaENd

#### Any background context you want to provide?

Fixes have been attempted on this problem in the past by using arithmetic to work around floating point errors, but it turns out this is extremely hard to actually do.  The ""real"" solution would probably be to use a real decimal library such as [this one](https://github.com/MikeMcl/bignumber.js/) but doing toFixed (which is what this change uses) will definitely work and requires no extra dependencies.

#### What are the relevant issues?

#1174 

#### Do the grommet docs need to be updated?

Nope.

#### Should this PR be mentioned in the release notes?

Up to you!

#### Is this change backwards compatible or is it a breaking change?

Backwards compatible.","Fix occasional floating point errors in Legend component.
","diff --git a/__tests__/components/Legend-test.js b/__tests__/components/Legend-test.js
index b709c6c..9192431 100644
--- a/__tests__/components/Legend-test.js
+++ b/__tests__/components/Legend-test.js
@@ -58,4 +58,23 @@ describe('Legend', () => {
     // should properly calculate total
     expect(component.getInstance()._seriesTotal()).toBe(125);
   });
+
+  it('has no floating point errors in the total', () => {
+    const component = renderer.create(
+      <Legend
+        units=""apples""
+        total
+        series={[
+          {value: 2.53, Label: ""a""},
+          {value: 2.01, Label: ""c""}
+        ]}
+        max=""10""
+      />);
+
+    let tree = component.toJSON();
+    expect(tree).toMatchSnapshot();
+
+    // should properly calculate total
+    expect(component.getInstance()._seriesTotal()).toBe(4.54);
+  });
 });
",0,
1296,e8072552ae3d00c585e364553bfc5e9e3aca87fe,e8072552ae3d00c585e364553bfc5e9e3aca87fe,__tests__/components/__snapshots__/TextInput-test.js.snap,__tests__/components/TextInput-test.js,"#### What does this PR do?

Moves the `autoComplete` property on `input` to before passed in props are set.

This way parent components can set `autoComplete=""on""` and override the default of `off`.  

Sometimes when users are setting an address or other personal information it's a good idea to allow the browser auto-complete to function.

#### Should this PR be mentioned in the release notes?

I wouldn't think so

#### Is this change backwards compatible or is it a breaking change?

Is backwards compatible","Allow overriding autoComplete property

Moves the autoComplete property before the other props are applied via spreading.

This allows enabling browser autoComplete where it's appropriate.

Signed-off-by: Nathan Stitt <nathan@stitt.org>
","diff --git a/__tests__/components/TextInput-test.js b/__tests__/components/TextInput-test.js
index e0e89a0..6182d04 100644
--- a/__tests__/components/TextInput-test.js
+++ b/__tests__/components/TextInput-test.js
@@ -17,4 +17,9 @@ describe('TextInput', () => {
     let tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
+  it('can set autocomplete', () => {
+    expect(
+      renderer.create(<TextInput autoComplete=""on"" />).toJSON()
+    ).toMatchSnapshot();
+  });
 });
",0,
1296,e8072552ae3d00c585e364553bfc5e9e3aca87fe,e8072552ae3d00c585e364553bfc5e9e3aca87fe,__tests__/components/__snapshots__/TextInput-test.js.snap,__tests__/components/TextInput-test.js,"#### What does this PR do?

Moves the `autoComplete` property on `input` to before passed in props are set.

This way parent components can set `autoComplete=""on""` and override the default of `off`.  

Sometimes when users are setting an address or other personal information it's a good idea to allow the browser auto-complete to function.

#### Should this PR be mentioned in the release notes?

I wouldn't think so

#### Is this change backwards compatible or is it a breaking change?

Is backwards compatible","Allow overriding autoComplete property

Moves the autoComplete property before the other props are applied via spreading.

This allows enabling browser autoComplete where it's appropriate.

Signed-off-by: Nathan Stitt <nathan@stitt.org>
","diff --git a/__tests__/components/TextInput-test.js b/__tests__/components/TextInput-test.js
index e0e89a0..6182d04 100644
--- a/__tests__/components/TextInput-test.js
+++ b/__tests__/components/TextInput-test.js
@@ -17,4 +17,9 @@ describe('TextInput', () => {
     let tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
+  it('can set autocomplete', () => {
+    expect(
+      renderer.create(<TextInput autoComplete=""on"" />).toJSON()
+    ).toMatchSnapshot();
+  });
 });
",0,
1331,1b47cd63a3bfe6f34535325d064e2f00108c6a85,1b47cd63a3bfe6f34535325d064e2f00108c6a85,__tests__/components/__snapshots__/Markdown-test.js.snap,__tests__/components/Markdown-test.js,Fixed the issue with box highlighting on hover,"fix: box highlighting
",,1,OID=OID
1331,1b47cd63a3bfe6f34535325d064e2f00108c6a85,1b47cd63a3bfe6f34535325d064e2f00108c6a85,__tests__/components/__snapshots__/Markdown-test.js.snap,__tests__/components/Markdown-test.js,Fixed the issue with box highlighting on hover,"fix: box highlighting
",,1,OID=OID
1335,0244f6d9c78b94d85136e3eda7890e4961a53d05,0244f6d9c78b94d85136e3eda7890e4961a53d05,__tests__/components/__snapshots__/Table-test.js.snap,__tests__/components/Table-test.js,"#### What does this PR do?
Adds a little more error reporting for data mismatching between table header cells and row cells. See linked issue for more information.

#### Where should the reviewer start?
Pretty small change in the PR.

#### What testing has been done on this PR?
Light manual testing, in use with another application.

#### How should this be manually tested?
Chrome developer breakpoints, using notes in reproduction steps.

#### Any background context you want to provide?
none

#### What are the relevant issues?
https://github.com/grommet/grommet/issues/1334

#### Screenshots (if appropriate)
none

#### Do the grommet docs need to be updated?
No.

#### Should this PR be mentioned in the release notes?
Probably not.

#### Is this change backwards compatible or is it a breaking change?
Backward compatible.","FIX_TABLE_HEADER_ROWS
","diff --git a/__tests__/components/Table-test.js b/__tests__/components/Table-test.js
index 94d29b2..d1b2845 100644
--- a/__tests__/components/Table-test.js
+++ b/__tests__/components/Table-test.js
@@ -4,6 +4,8 @@ import React from 'react';
 import renderer from 'react-test-renderer';
 
 import Table from '../../src/js/components/Table';
+import TableHeader from '../../src/js/components/Table';
+import TableRow from '../../src/js/components/Table';
 
 // needed because this:
 // https://github.com/facebook/jest/issues/1353
@@ -44,4 +46,26 @@ describe('Table', () => {
     let tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
+
+  it('has mismatched headers and body columns', () => {
+    // Test covers case with one headerCell, but two row cells. Console logs
+    // error message, but nothing to assert.
+    const component = renderer.create(
+      <Table>
+        <TableHeader labels={['one']} />
+        <tbody>
+        <tr>
+          <td>
+            one
+          </td>
+          <td>
+            two - one too many
+          </td>
+        </tr>
+        </tbody>
+      </Table>
+    );
+    let tree = component.toJSON();
+    expect(tree).toMatchSnapshot();
+  });
 });
",0,
1335,0244f6d9c78b94d85136e3eda7890e4961a53d05,0244f6d9c78b94d85136e3eda7890e4961a53d05,__tests__/components/__snapshots__/Table-test.js.snap,__tests__/components/Table-test.js,"#### What does this PR do?
Adds a little more error reporting for data mismatching between table header cells and row cells. See linked issue for more information.

#### Where should the reviewer start?
Pretty small change in the PR.

#### What testing has been done on this PR?
Light manual testing, in use with another application.

#### How should this be manually tested?
Chrome developer breakpoints, using notes in reproduction steps.

#### Any background context you want to provide?
none

#### What are the relevant issues?
https://github.com/grommet/grommet/issues/1334

#### Screenshots (if appropriate)
none

#### Do the grommet docs need to be updated?
No.

#### Should this PR be mentioned in the release notes?
Probably not.

#### Is this change backwards compatible or is it a breaking change?
Backward compatible.","FIX_TABLE_HEADER_ROWS
","diff --git a/__tests__/components/Table-test.js b/__tests__/components/Table-test.js
index 94d29b2..d1b2845 100644
--- a/__tests__/components/Table-test.js
+++ b/__tests__/components/Table-test.js
@@ -4,6 +4,8 @@ import React from 'react';
 import renderer from 'react-test-renderer';
 
 import Table from '../../src/js/components/Table';
+import TableHeader from '../../src/js/components/Table';
+import TableRow from '../../src/js/components/Table';
 
 // needed because this:
 // https://github.com/facebook/jest/issues/1353
@@ -44,4 +46,26 @@ describe('Table', () => {
     let tree = component.toJSON();
     expect(tree).toMatchSnapshot();
   });
+
+  it('has mismatched headers and body columns', () => {
+    // Test covers case with one headerCell, but two row cells. Console logs
+    // error message, but nothing to assert.
+    const component = renderer.create(
+      <Table>
+        <TableHeader labels={['one']} />
+        <tbody>
+        <tr>
+          <td>
+            one
+          </td>
+          <td>
+            two - one too many
+          </td>
+        </tr>
+        </tbody>
+      </Table>
+    );
+    let tree = component.toJSON();
+    expect(tree).toMatchSnapshot();
+  });
 });
",0,
