pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1127,189144e8512b19ee370665428c8f6399ef6304ae,189144e8512b19ee370665428c8f6399ef6304ae,src/DataTable/__tests__/__snapshots__/Pagination.test.tsx.snap,src/DataTable/__tests__/Pagination.test.tsx,"Fixed an issue were the noRowsPerPage configuration option wasn't being respected on smaller screens.

fixes #1080 ","Fixed an issue where noRowsPerPage option wasn't being respected on smaller screensizes
","diff --git a/src/DataTable/__tests__/Pagination.test.tsx b/src/DataTable/__tests__/Pagination.test.tsx
index 6fab578..7e4b851 100644
--- a/src/DataTable/__tests__/Pagination.test.tsx
+++ b/src/DataTable/__tests__/Pagination.test.tsx
@@ -210,3 +210,23 @@ describe('when clicking the Previous Page button', () => {
 		expect(onChangeRowsPerPageMock).toBeCalledWith(20, 2);
 	});
 });
+
+describe('when the screensize is small', () => {
+	test('paginationComponentOption noRowsPerPage should be respected', () => {
+		global.innerWidth = 500;
+		const { container } = renderWithTheme(
+			<Pagination
+				currentPage={1}
+				rowsPerPage={10}
+				rowCount={40}
+				onChangePage={jest.fn()}
+				onChangeRowsPerPage={jest.fn()}
+				paginationComponentOptions={{
+					noRowsPerPage: true,
+				}}
+			/>,
+		);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+});
",0,
1127,189144e8512b19ee370665428c8f6399ef6304ae,189144e8512b19ee370665428c8f6399ef6304ae,src/DataTable/__tests__/__snapshots__/Pagination.test.tsx.snap,src/DataTable/__tests__/Pagination.test.tsx,"Fixed an issue were the noRowsPerPage configuration option wasn't being respected on smaller screens.

fixes #1080 ","Fixed an issue where noRowsPerPage option wasn't being respected on smaller screensizes
","diff --git a/src/DataTable/__tests__/Pagination.test.tsx b/src/DataTable/__tests__/Pagination.test.tsx
index 6fab578..7e4b851 100644
--- a/src/DataTable/__tests__/Pagination.test.tsx
+++ b/src/DataTable/__tests__/Pagination.test.tsx
@@ -210,3 +210,23 @@ describe('when clicking the Previous Page button', () => {
 		expect(onChangeRowsPerPageMock).toBeCalledWith(20, 2);
 	});
 });
+
+describe('when the screensize is small', () => {
+	test('paginationComponentOption noRowsPerPage should be respected', () => {
+		global.innerWidth = 500;
+		const { container } = renderWithTheme(
+			<Pagination
+				currentPage={1}
+				rowsPerPage={10}
+				rowCount={40}
+				onChangePage={jest.fn()}
+				onChangeRowsPerPage={jest.fn()}
+				paginationComponentOptions={{
+					noRowsPerPage: true,
+				}}
+			/>,
+		);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+});
",0,
1273,0cbf382b6e5c726b8f7f6d8123b2c3af50388e5f,11070474f413bdfeb1f65b914cfd2022ae3b84b0,src/DataTable/__tests__/__snapshots__/DataTable.test.tsx.snap,src/DataTable/__tests__/DataTable.test.tsx,"### Why

Screen readers and accessibility tools do not inherently have context about the meaning or purpose of the table itself.

I opened a feature request for this https://github.com/jbetancur/react-data-table-component/issues/1272 and had some time to work on it.

### What

This PR adds an optional `ariaLabel` string property to the table component.  This property sets the `aria-label` attribute, providing context for screen readers.  If `ariaLabel` is not provided, the `aria-label` attribute will not be added.  

This change has no visual impact, just useful for accessibility.

","support table aria-label
","diff --git a/src/DataTable/__tests__/DataTable.test.tsx b/src/DataTable/__tests__/DataTable.test.tsx
index a386497..72d9192 100644
--- a/src/DataTable/__tests__/DataTable.test.tsx
+++ b/src/DataTable/__tests__/DataTable.test.tsx
@@ -2214,6 +2214,38 @@ describe('DataTable::dense', () => {
 	});
 });
 
+describe('DataTable::ariaLabel', () => {
+	test('should render correctly when ariaLabel', () => {
+		const mock = dataMock();
+		const { container } = render(<DataTable data={mock.data} columns={mock.columns} ariaLabel=""Test Table"" />);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+
+	test('should render correctly when not ariaLabel', () => {
+		const mock = dataMock();
+		const { container } = render(<DataTable data={mock.data} columns={mock.columns} />);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+
+	test('should render with aria-label when ariaLabel', () => {
+		const mock = dataMock();
+		const { getByRole } = render(<DataTable data={mock.data} columns={mock.columns} ariaLabel=""Test Table"" />);
+
+		const table = getByRole('table');
+		expect(table.getAttribute('aria-label')).toBe('Test Table');
+	});
+
+	test('should not render with aria-label when not ariaLabel', () => {
+		const mock = dataMock();
+		const { getByRole } = render(<DataTable data={mock.data} columns={mock.columns} />);
+
+		const table = getByRole('table');
+		expect(table.getAttribute('aria-label')).toBeNull();
+	});
+});
+
 describe('DataTable::Theming', () => {
 	test('should render correctly when a custom style is applied', () => {
 		const mock = dataMock();
",0,
1273,0cbf382b6e5c726b8f7f6d8123b2c3af50388e5f,11070474f413bdfeb1f65b914cfd2022ae3b84b0,src/DataTable/__tests__/__snapshots__/DataTable.test.tsx.snap,src/DataTable/__tests__/DataTable.test.tsx,"### Why

Screen readers and accessibility tools do not inherently have context about the meaning or purpose of the table itself.

I opened a feature request for this https://github.com/jbetancur/react-data-table-component/issues/1272 and had some time to work on it.

### What

This PR adds an optional `ariaLabel` string property to the table component.  This property sets the `aria-label` attribute, providing context for screen readers.  If `ariaLabel` is not provided, the `aria-label` attribute will not be added.  

This change has no visual impact, just useful for accessibility.

","support table aria-label
","diff --git a/src/DataTable/__tests__/DataTable.test.tsx b/src/DataTable/__tests__/DataTable.test.tsx
index a386497..72d9192 100644
--- a/src/DataTable/__tests__/DataTable.test.tsx
+++ b/src/DataTable/__tests__/DataTable.test.tsx
@@ -2214,6 +2214,38 @@ describe('DataTable::dense', () => {
 	});
 });
 
+describe('DataTable::ariaLabel', () => {
+	test('should render correctly when ariaLabel', () => {
+		const mock = dataMock();
+		const { container } = render(<DataTable data={mock.data} columns={mock.columns} ariaLabel=""Test Table"" />);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+
+	test('should render correctly when not ariaLabel', () => {
+		const mock = dataMock();
+		const { container } = render(<DataTable data={mock.data} columns={mock.columns} />);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+
+	test('should render with aria-label when ariaLabel', () => {
+		const mock = dataMock();
+		const { getByRole } = render(<DataTable data={mock.data} columns={mock.columns} ariaLabel=""Test Table"" />);
+
+		const table = getByRole('table');
+		expect(table.getAttribute('aria-label')).toBe('Test Table');
+	});
+
+	test('should not render with aria-label when not ariaLabel', () => {
+		const mock = dataMock();
+		const { getByRole } = render(<DataTable data={mock.data} columns={mock.columns} />);
+
+		const table = getByRole('table');
+		expect(table.getAttribute('aria-label')).toBeNull();
+	});
+});
+
 describe('DataTable::Theming', () => {
 	test('should render correctly when a custom style is applied', () => {
 		const mock = dataMock();
",0,
414,da2d58fbbb83f0049d96532eed841f278283dcc4,da2d58fbbb83f0049d96532eed841f278283dcc4,src/DataTable/__tests__/__snapshots__/DataTable.test.js.snap,src/DataTable/__tests__/DataTable.test.js,* Closes #326 ,"feature: highlight on selected
","diff --git a/src/DataTable/__tests__/DataTable.test.js b/src/DataTable/__tests__/DataTable.test.js
index 2a0f1de..e4bbf86 100644
--- a/src/DataTable/__tests__/DataTable.test.js
+++ b/src/DataTable/__tests__/DataTable.test.js
@@ -1089,6 +1089,22 @@ describe('DataTable::selectableRows', () => {
     expect(container.firstChild).toMatchSnapshot();
   });
 
+  test('should render correctly when selectableRowsHighlight is true and a row is selected', () => {
+    const mock = dataMock();
+    const { container } = render(
+      <DataTable
+        data={mock.data}
+        columns={mock.columns}
+        selectableRows
+        selectableRowsHighlight
+      />,
+    );
+
+    fireEvent.click(container.querySelector('input[name=""select-row-1""]'));
+
+    expect(container.firstChild).toMatchSnapshot();
+  });
+
   test('should not render a select all checkbox when selectableRowsNoSelectAll is true', () => {
     const mock = dataMock();
     const { container } = render(
",0,
414,da2d58fbbb83f0049d96532eed841f278283dcc4,da2d58fbbb83f0049d96532eed841f278283dcc4,src/DataTable/__tests__/__snapshots__/DataTable.test.js.snap,src/DataTable/__tests__/DataTable.test.js,* Closes #326 ,"feature: highlight on selected
","diff --git a/src/DataTable/__tests__/DataTable.test.js b/src/DataTable/__tests__/DataTable.test.js
index 2a0f1de..e4bbf86 100644
--- a/src/DataTable/__tests__/DataTable.test.js
+++ b/src/DataTable/__tests__/DataTable.test.js
@@ -1089,6 +1089,22 @@ describe('DataTable::selectableRows', () => {
     expect(container.firstChild).toMatchSnapshot();
   });
 
+  test('should render correctly when selectableRowsHighlight is true and a row is selected', () => {
+    const mock = dataMock();
+    const { container } = render(
+      <DataTable
+        data={mock.data}
+        columns={mock.columns}
+        selectableRows
+        selectableRowsHighlight
+      />,
+    );
+
+    fireEvent.click(container.querySelector('input[name=""select-row-1""]'));
+
+    expect(container.firstChild).toMatchSnapshot();
+  });
+
   test('should not render a select all checkbox when selectableRowsNoSelectAll is true', () => {
     const mock = dataMock();
     const { container } = render(
",0,
416,2e8cf784f85ed4360597fb21252666f0752a47ba,2e8cf784f85ed4360597fb21252666f0752a47ba,src/DataTable/__tests__/__snapshots__/DataTable.test.js.snap,src/DataTable/__tests__/DataTable.test.js,* Closes #394 ,"Allow conditionalRowStyles to be applied to Expander rows
","diff --git a/src/DataTable/__tests__/DataTable.test.js b/src/DataTable/__tests__/DataTable.test.js
index e4bbf86..afefbf8 100644
--- a/src/DataTable/__tests__/DataTable.test.js
+++ b/src/DataTable/__tests__/DataTable.test.js
@@ -2243,6 +2243,38 @@ describe('DataTable::conditionalRowStyles', () => {
   });
 });
 
+test('should render correctly when conditionalRowStyles is used with an expandableRows an expandableInheritConditionalStyles', () => {
+  const mock = dataMock();
+  mock.data[0].completed = true;
+  const conditionalRowStyles = [
+    {
+      when: row => row.completed,
+      style: {
+        backgroundColor: 'rgba(63, 195, 128, 0.9)',
+        color: 'white',
+        '&:hover': {
+          cursor: 'pointer',
+        },
+      },
+    },
+  ];
+
+  const { container, getByTestId } = render(
+    <DataTable
+      data={mock.data}
+      columns={mock.columns}
+      conditionalRowStyles={conditionalRowStyles}
+      expandableRows
+      expandableInheritConditionalStyles
+    />,
+  );
+
+  fireEvent.click(getByTestId('expander-button-1'));
+
+  expect(container.firstChild).toMatchSnapshot();
+});
+
+
 describe('DataTable::column.style', () => {
   test('should render correctly when a style is set on a column', () => {
     const mock = dataMock();
",0,
416,2e8cf784f85ed4360597fb21252666f0752a47ba,2e8cf784f85ed4360597fb21252666f0752a47ba,src/DataTable/__tests__/__snapshots__/DataTable.test.js.snap,src/DataTable/__tests__/DataTable.test.js,* Closes #394 ,"Allow conditionalRowStyles to be applied to Expander rows
","diff --git a/src/DataTable/__tests__/DataTable.test.js b/src/DataTable/__tests__/DataTable.test.js
index e4bbf86..afefbf8 100644
--- a/src/DataTable/__tests__/DataTable.test.js
+++ b/src/DataTable/__tests__/DataTable.test.js
@@ -2243,6 +2243,38 @@ describe('DataTable::conditionalRowStyles', () => {
   });
 });
 
+test('should render correctly when conditionalRowStyles is used with an expandableRows an expandableInheritConditionalStyles', () => {
+  const mock = dataMock();
+  mock.data[0].completed = true;
+  const conditionalRowStyles = [
+    {
+      when: row => row.completed,
+      style: {
+        backgroundColor: 'rgba(63, 195, 128, 0.9)',
+        color: 'white',
+        '&:hover': {
+          cursor: 'pointer',
+        },
+      },
+    },
+  ];
+
+  const { container, getByTestId } = render(
+    <DataTable
+      data={mock.data}
+      columns={mock.columns}
+      conditionalRowStyles={conditionalRowStyles}
+      expandableRows
+      expandableInheritConditionalStyles
+    />,
+  );
+
+  fireEvent.click(getByTestId('expander-button-1'));
+
+  expect(container.firstChild).toMatchSnapshot();
+});
+
+
 describe('DataTable::column.style', () => {
   test('should render correctly when a style is set on a column', () => {
     const mock = dataMock();
",0,
760,5d325d875f587ee2cb713acd0085e5f0fac97f07,5d325d875f587ee2cb713acd0085e5f0fac97f07,src/DataTable/__tests__/__snapshots__/DataTable.test.tsx.snap,src/DataTable/__tests__/DataTable.test.tsx,"- Implements #756 
- Fix initial row render","implements #756 | fixes row initial render
","diff --git a/src/DataTable/__tests__/DataTable.test.tsx b/src/DataTable/__tests__/DataTable.test.tsx
index 990301b..6d2d8f5 100644
--- a/src/DataTable/__tests__/DataTable.test.tsx
+++ b/src/DataTable/__tests__/DataTable.test.tsx
@@ -1853,6 +1853,13 @@ describe('DataTable::Header', () => {
 		expect(container.firstChild).toMatchSnapshot();
 	});
 
+	test('header should not display with no title', () => {
+		const mock = dataMock();
+		const { container } = render(<DataTable data={mock.data} columns={mock.columns} />);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+
 	test('should render header actions when they are provided', () => {
 		const mock = dataMock();
 		const { container } = render(
",0,
760,5d325d875f587ee2cb713acd0085e5f0fac97f07,5d325d875f587ee2cb713acd0085e5f0fac97f07,src/DataTable/__tests__/__snapshots__/DataTable.test.tsx.snap,src/DataTable/__tests__/DataTable.test.tsx,"- Implements #756 
- Fix initial row render","implements #756 | fixes row initial render
","diff --git a/src/DataTable/__tests__/DataTable.test.tsx b/src/DataTable/__tests__/DataTable.test.tsx
index 990301b..6d2d8f5 100644
--- a/src/DataTable/__tests__/DataTable.test.tsx
+++ b/src/DataTable/__tests__/DataTable.test.tsx
@@ -1853,6 +1853,13 @@ describe('DataTable::Header', () => {
 		expect(container.firstChild).toMatchSnapshot();
 	});
 
+	test('header should not display with no title', () => {
+		const mock = dataMock();
+		const { container } = render(<DataTable data={mock.data} columns={mock.columns} />);
+
+		expect(container.firstChild).toMatchSnapshot();
+	});
+
 	test('should render header actions when they are provided', () => {
 		const mock = dataMock();
 		const { container } = render(
",0,
