pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
11,dcf040266b7a4f88a0f38d6c3bc26c5004fff604,752d70169666e08da31cd85ad32ecec491de5494,__tests__/__snapshots__/toMatchDiffSnapshot.test.js.snap,__tests__/toMatchDiffSnapshot.test.js,See #10,"Implement `toMatchDiffSnapshot` jest matcher.
","diff --git a/__tests__/toMatchDiffSnapshot.test.js b/__tests__/toMatchDiffSnapshot.test.js
new file mode 100644
index 0000000..74c16dd
--- /dev/null
+++ b/__tests__/toMatchDiffSnapshot.test.js
@@ -0,0 +1,49 @@
+// @flow
+
+const snapshotDiff = require('../src/index');
+
+const a = `
+    some
+    some
+    some
+    some
+    some
+    some
+    some
+    not
+    very
+    long
+    script
+`;
+const b = `
+    some
+    some
+    some
+    some
+    some
+    some
+    some
+    not
+    so
+    very
+    long
+    script
+`;
+
+beforeAll(() => {
+  expect.extend({ toMatchDiffSnapshot: snapshotDiff.toMatchDiffSnapshot });
+});
+
+test('foo', () => {
+  expect(a).toMatchDiffSnapshot(b);
+});
+
+[
+  { expand: true },
+  { colors: true },
+  { contextLines: 0 },
+].forEach((options: any) => {
+  test(`proxies ""${Object.keys(options).join(', ')}"" option(s)`, () => {
+    expect(a).toMatchDiffSnapshot(b, options);
+  });
+});
",0,
11,dcf040266b7a4f88a0f38d6c3bc26c5004fff604,752d70169666e08da31cd85ad32ecec491de5494,__tests__/__snapshots__/toMatchDiffSnapshot.test.js.snap,__tests__/toMatchDiffSnapshot.test.js,See #10,"Implement `toMatchDiffSnapshot` jest matcher.
","diff --git a/__tests__/toMatchDiffSnapshot.test.js b/__tests__/toMatchDiffSnapshot.test.js
new file mode 100644
index 0000000..74c16dd
--- /dev/null
+++ b/__tests__/toMatchDiffSnapshot.test.js
@@ -0,0 +1,49 @@
+// @flow
+
+const snapshotDiff = require('../src/index');
+
+const a = `
+    some
+    some
+    some
+    some
+    some
+    some
+    some
+    not
+    very
+    long
+    script
+`;
+const b = `
+    some
+    some
+    some
+    some
+    some
+    some
+    some
+    not
+    so
+    very
+    long
+    script
+`;
+
+beforeAll(() => {
+  expect.extend({ toMatchDiffSnapshot: snapshotDiff.toMatchDiffSnapshot });
+});
+
+test('foo', () => {
+  expect(a).toMatchDiffSnapshot(b);
+});
+
+[
+  { expand: true },
+  { colors: true },
+  { contextLines: 0 },
+].forEach((options: any) => {
+  test(`proxies ""${Object.keys(options).join(', ')}"" option(s)`, () => {
+    expect(a).toMatchDiffSnapshot(b, options);
+  });
+});
",0,
12,ee88216e3637bb620362485234323d1691513e41,2fea8fc4e6dc1dabd4e4c23634ff5b60e84d25c3,__tests__/__snapshots__/getSnapshotDiffSerializer.test.js.snap,__tests__/getSnapshotDiffSerializer.test.js,See #10,"Breaking Change. Add custom diff serializer.
","diff --git a/__tests__/getSnapshotDiffSerializer.test.js b/__tests__/getSnapshotDiffSerializer.test.js
new file mode 100644
index 0000000..47abfd7
--- /dev/null
+++ b/__tests__/getSnapshotDiffSerializer.test.js
@@ -0,0 +1,24 @@
+// @flow
+
+const snapshotDiff = require('../src/index');
+
+expect.addSnapshotSerializer(snapshotDiff.getSnapshotDiffSerializer());
+
+test('serialize text diff output', () => {
+  expect(
+    snapshotDiff(
+      ['foo', 'bar', 'baz'].join('\n'),
+      ['foo', 'baz', 'quoz'].join('\n')
+    )
+  ).toMatchSnapshot();
+});
+
+test('serialize array diff output', () => {
+  expect(
+    snapshotDiff(['foo', 'bar', 'baz'], ['foo', 'baz', 'quoz'])
+  ).toMatchSnapshot();
+});
+
+test('serialize object diff output', () => {
+  expect(snapshotDiff({ foo: 'bar' }, { foo: 'baz' })).toMatchSnapshot();
+});
",0,
12,ee88216e3637bb620362485234323d1691513e41,2fea8fc4e6dc1dabd4e4c23634ff5b60e84d25c3,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,See #10,"Breaking Change. Add custom diff serializer.
",,0,
12,ee88216e3637bb620362485234323d1691513e41,2fea8fc4e6dc1dabd4e4c23634ff5b60e84d25c3,__tests__/__snapshots__/toMatchDiffSnapshot.test.js.snap,__tests__/toMatchDiffSnapshot.test.js,See #10,"Breaking Change. Add custom diff serializer.
",,0,
12,ee88216e3637bb620362485234323d1691513e41,2fea8fc4e6dc1dabd4e4c23634ff5b60e84d25c3,__tests__/__snapshots__/getSnapshotDiffSerializer.test.js.snap,__tests__/getSnapshotDiffSerializer.test.js,See #10,"Breaking Change. Add custom diff serializer.
","diff --git a/__tests__/getSnapshotDiffSerializer.test.js b/__tests__/getSnapshotDiffSerializer.test.js
new file mode 100644
index 0000000..47abfd7
--- /dev/null
+++ b/__tests__/getSnapshotDiffSerializer.test.js
@@ -0,0 +1,24 @@
+// @flow
+
+const snapshotDiff = require('../src/index');
+
+expect.addSnapshotSerializer(snapshotDiff.getSnapshotDiffSerializer());
+
+test('serialize text diff output', () => {
+  expect(
+    snapshotDiff(
+      ['foo', 'bar', 'baz'].join('\n'),
+      ['foo', 'baz', 'quoz'].join('\n')
+    )
+  ).toMatchSnapshot();
+});
+
+test('serialize array diff output', () => {
+  expect(
+    snapshotDiff(['foo', 'bar', 'baz'], ['foo', 'baz', 'quoz'])
+  ).toMatchSnapshot();
+});
+
+test('serialize object diff output', () => {
+  expect(snapshotDiff({ foo: 'bar' }, { foo: 'baz' })).toMatchSnapshot();
+});
",0,
12,ee88216e3637bb620362485234323d1691513e41,2fea8fc4e6dc1dabd4e4c23634ff5b60e84d25c3,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,See #10,"Breaking Change. Add custom diff serializer.
",,0,
12,ee88216e3637bb620362485234323d1691513e41,2fea8fc4e6dc1dabd4e4c23634ff5b60e84d25c3,__tests__/__snapshots__/toMatchDiffSnapshot.test.js.snap,__tests__/toMatchDiffSnapshot.test.js,See #10,"Breaking Change. Add custom diff serializer.
",,0,
122,b48b6998c4f9c8b4d8ff0c5842baaf4cc667216a,f025628992db1ccb7ccaf0e346eaea617bf2a381,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,"Use same serializers as jest-snapshot when serializing React components
rendered by react-test-renderer.

With the React serializer updated to use `prettyFormat`, this now
supports diffing React fragments when comparing a single element to
multiple elements returned. Adding test to confirm output.

Fixes #106
Fixes #111","Output jest mock function names in snapshot diff

Use same serializers as jest-snapshot when serializing react components
rendered by react-test-renderer.

Fixes #106
","diff --git a/__tests__/snapshotDiff.test.js b/__tests__/snapshotDiff.test.js
index 5ab0c04..9799903 100644
--- a/__tests__/snapshotDiff.test.js
+++ b/__tests__/snapshotDiff.test.js
@@ -87,7 +87,13 @@ class Component extends React.Component<Props> {
         <span />
         <span />
         <span />
-        <span>{this.props.test}</span>
+        <span
+          onBlur={() => {}}
+          onClick={jest.fn()}
+          onFocus={jest.fn().mockName('test-mock-name')}
+        >
+          {this.props.test}
+        </span>
         <span>{this.props.test}</span>
         <span />
         <span />
",0,
122,b48b6998c4f9c8b4d8ff0c5842baaf4cc667216a,f025628992db1ccb7ccaf0e346eaea617bf2a381,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,"Use same serializers as jest-snapshot when serializing React components
rendered by react-test-renderer.

With the React serializer updated to use `prettyFormat`, this now
supports diffing React fragments when comparing a single element to
multiple elements returned. Adding test to confirm output.

Fixes #106
Fixes #111","Output jest mock function names in snapshot diff

Use same serializers as jest-snapshot when serializing react components
rendered by react-test-renderer.

Fixes #106
","diff --git a/__tests__/snapshotDiff.test.js b/__tests__/snapshotDiff.test.js
index 5ab0c04..9799903 100644
--- a/__tests__/snapshotDiff.test.js
+++ b/__tests__/snapshotDiff.test.js
@@ -87,7 +87,13 @@ class Component extends React.Component<Props> {
         <span />
         <span />
         <span />
-        <span>{this.props.test}</span>
+        <span
+          onBlur={() => {}}
+          onClick={jest.fn()}
+          onFocus={jest.fn().mockName('test-mock-name')}
+        >
+          {this.props.test}
+        </span>
         <span>{this.props.test}</span>
         <span />
         <span />
",0,
128,e5979867ecc44c44ecae451abe5bfa6a9ef844a8,8bdf5510059806ff1d565fc560fa200d2c06f70c,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,"Also:
- dropped Node 6, 
- added engines requirement for >=10, since Jest dropped Node 8
- fixed Flow errors","chore(breaking): bump Jest to 26
",,0,
128,e5979867ecc44c44ecae451abe5bfa6a9ef844a8,8bdf5510059806ff1d565fc560fa200d2c06f70c,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,"Also:
- dropped Node 6, 
- added engines requirement for >=10, since Jest dropped Node 8
- fixed Flow errors","chore(breaking): bump Jest to 26
",,0,
173,f70d915dc1658f7367a6bafaa57cd4fd04bb3953,f70d915dc1658f7367a6bafaa57cd4fd04bb3953,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,"Updates to the latest jest-diff which now supports removing color codes
from ""no visual difference"" message. A test has been added to confirm
this and prevent regressions in the future.

This is a follow-on PR from PR #123.
There is a dependabot PR already up for this bump (PR #170) and other jest dependencies, but this PR includes a test for when there is no difference. These PRs should close automatically once this lands.

Fixes #129","Update jest-diff to remove colors from no diff message

Updates to the latest jest-diff which now supports removing color codes
from ""no visual difference"" message. A test has been added to confirm
this and prevent regressions in the future. All jest packages in use
have been updated as part of this commit.

Fixes #129
","diff --git a/__tests__/snapshotDiff.test.js b/__tests__/snapshotDiff.test.js
index 9e39cc9..2c9cc83 100644
--- a/__tests__/snapshotDiff.test.js
+++ b/__tests__/snapshotDiff.test.js
@@ -267,3 +267,7 @@ describe('failed optional deps', () => {
     ).toThrowErrorMatchingSnapshot();
   });
 });
+
+test('no difference', () => {
+  expect(snapshotDiff('a', 'a')).toMatchSnapshot();
+});
",0,
173,f70d915dc1658f7367a6bafaa57cd4fd04bb3953,f70d915dc1658f7367a6bafaa57cd4fd04bb3953,__tests__/__snapshots__/snapshotDiff.test.js.snap,__tests__/snapshotDiff.test.js,"Updates to the latest jest-diff which now supports removing color codes
from ""no visual difference"" message. A test has been added to confirm
this and prevent regressions in the future.

This is a follow-on PR from PR #123.
There is a dependabot PR already up for this bump (PR #170) and other jest dependencies, but this PR includes a test for when there is no difference. These PRs should close automatically once this lands.

Fixes #129","Update jest-diff to remove colors from no diff message

Updates to the latest jest-diff which now supports removing color codes
from ""no visual difference"" message. A test has been added to confirm
this and prevent regressions in the future. All jest packages in use
have been updated as part of this commit.

Fixes #129
","diff --git a/__tests__/snapshotDiff.test.js b/__tests__/snapshotDiff.test.js
index 9e39cc9..2c9cc83 100644
--- a/__tests__/snapshotDiff.test.js
+++ b/__tests__/snapshotDiff.test.js
@@ -267,3 +267,7 @@ describe('failed optional deps', () => {
     ).toThrowErrorMatchingSnapshot();
   });
 });
+
+test('no difference', () => {
+  expect(snapshotDiff('a', 'a')).toMatchSnapshot();
+});
",0,
21,2bd28e71211ce848f8cd9d295e9758fc7a758ccf,2bd28e71211ce848f8cd9d295e9758fc7a758ccf,__tests__/__snapshots__/getSnapshotDiffSerializer.test.js.snap,__tests__/getSnapshotDiffSerializer.test.js,(mostly to not rely on beta releases),"fix(package): update jest dependencies

Breaking change: indentation of diff has changed
",,0,
