pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,0adfee5f4a7fa872d153f8cddc860ecbbef40d8e,test/__snapshots__/testStateMachine.spec.js.snap,test/testStateMachine.spec.js,,"why not both?
","diff --git a/test/testStateMachine.spec.js b/test/testStateMachine.spec.js
index c883aee..6891f27 100644
--- a/test/testStateMachine.spec.js
+++ b/test/testStateMachine.spec.js
@@ -1,5 +1,5 @@
 import React from 'react'
-import { Action, testStateMachine } from '../src'
+import { Action, State, testStateMachine } from '../src'
 
 const secondMachine = {
   initial: 'a',
@@ -37,18 +37,30 @@ const firstMachine = {
   },
 }
 
-const App = () => (
-  <div>
-    <Action initial hide=""onEnterB"">
-      a
-    </Action>
-    <Action show=""onEnterBA"" hide=""onEnterBB"">
-      b.a
-    </Action>
-    <Action show=""onEnterBB"">b.b</Action>
-  </div>
-)
+test('action', () => {
+  const App = () => (
+    <div>
+      <Action initial hide=""onEnterB"">
+        a
+      </Action>
+      <Action show=""onEnterBA"" hide=""onEnterBB"">
+        b.a
+      </Action>
+      <Action show=""onEnterBB"">b.b</Action>
+    </div>
+  )
+
+  testStateMachine({ statechart: firstMachine }, App)
+})
+
+test('state', () => {
+  const App = () => (
+    <div>
+      <State value=""a"">a</State>
+      <State value=""b.a"">b.a</State>
+      <State value=""b.b"">b.b</State>
+    </div>
+  )
 
-test('it works', () => {
   testStateMachine({ statechart: firstMachine }, App)
 })
",0,
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,d3f79a72469fbaf3cfda6d6bf7c8a9a68129108f,test/__snapshots__/testStateChart.spec.js.snap,test/testStateChart.spec.js,,"tests
","diff --git a/test/testStateChart.spec.js b/test/testStateChart.spec.js
new file mode 100644
index 0000000..fac6077
--- /dev/null
+++ b/test/testStateChart.spec.js
@@ -0,0 +1,66 @@
+import React from 'react'
+import { Action, State, testStateChart } from '../src'
+
+const secondMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        SECOND_NEXT: 'b',
+      },
+      onEntry: 'onEnterBA',
+    },
+    b: {
+      on: {
+        SECOND_NEXT: 'a',
+      },
+      onEntry: 'onEnterBB',
+    },
+  },
+}
+
+const firstMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        FIRST_NEXT: 'b',
+      },
+    },
+    b: {
+      on: {
+        FIRST_NEXT: 'a',
+      },
+      onEntry: 'onEnterB',
+      ...secondMachine,
+    },
+  },
+}
+
+test('action', () => {
+  const App = () => (
+    <div>
+      <Action initial hide=""onEnterB"">
+        a
+      </Action>
+      <Action show=""onEnterBA"" hide=""onEnterBB"">
+        b.a
+      </Action>
+      <Action show=""onEnterBB"">b.b</Action>
+    </div>
+  )
+
+  testStateChart({ statechart: firstMachine }, App)
+})
+
+test('state', () => {
+  const App = () => (
+    <div>
+      <State value=""a"">a</State>
+      <State value=""b.a"">b.a</State>
+      <State value=""b.b"">b.b</State>
+    </div>
+  )
+
+  testStateChart({ statechart: firstMachine }, App)
+})
",1,None=None
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,7d1421fda8f500a2fc0ee32836427a7fefc3e995,test/__snapshots__/testStatechart.spec.js.snap,test/testStatechart.spec.js,,"rename stateChart to statechart
","diff --git a/test/testStatechart.spec.js b/test/testStatechart.spec.js
new file mode 100644
index 0000000..901fdbe
--- /dev/null
+++ b/test/testStatechart.spec.js
@@ -0,0 +1,66 @@
+import React from 'react'
+import { Action, State, testStatechart } from '../src'
+
+const secondMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        SECOND_NEXT: 'b',
+      },
+      onEntry: 'onEnterBA',
+    },
+    b: {
+      on: {
+        SECOND_NEXT: 'a',
+      },
+      onEntry: 'onEnterBB',
+    },
+  },
+}
+
+const firstMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        FIRST_NEXT: 'b',
+      },
+    },
+    b: {
+      on: {
+        FIRST_NEXT: 'a',
+      },
+      onEntry: 'onEnterB',
+      ...secondMachine,
+    },
+  },
+}
+
+test('action', () => {
+  const App = () => (
+    <div>
+      <Action initial hide=""onEnterB"">
+        a
+      </Action>
+      <Action show=""onEnterBA"" hide=""onEnterBB"">
+        b.a
+      </Action>
+      <Action show=""onEnterBB"">b.b</Action>
+    </div>
+  )
+
+  testStatechart({ statechart: firstMachine }, App)
+})
+
+test('state', () => {
+  const App = () => (
+    <div>
+      <State value=""a"">a</State>
+      <State value=""b.a"">b.a</State>
+      <State value=""b.b"">b.b</State>
+    </div>
+  )
+
+  testStatechart({ statechart: firstMachine }, App)
+})
",0,
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,b2b289609e5cff2a43dff4aedd2c4dd1573f0833,playground/__snapshots__/App.spec.js.snap,playground/App.spec.js,,"update playgroud apps
",,0,
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,0adfee5f4a7fa872d153f8cddc860ecbbef40d8e,test/__snapshots__/testStateMachine.spec.js.snap,test/testStateMachine.spec.js,,"why not both?
","diff --git a/test/testStateMachine.spec.js b/test/testStateMachine.spec.js
index c883aee..6891f27 100644
--- a/test/testStateMachine.spec.js
+++ b/test/testStateMachine.spec.js
@@ -1,5 +1,5 @@
 import React from 'react'
-import { Action, testStateMachine } from '../src'
+import { Action, State, testStateMachine } from '../src'
 
 const secondMachine = {
   initial: 'a',
@@ -37,18 +37,30 @@ const firstMachine = {
   },
 }
 
-const App = () => (
-  <div>
-    <Action initial hide=""onEnterB"">
-      a
-    </Action>
-    <Action show=""onEnterBA"" hide=""onEnterBB"">
-      b.a
-    </Action>
-    <Action show=""onEnterBB"">b.b</Action>
-  </div>
-)
+test('action', () => {
+  const App = () => (
+    <div>
+      <Action initial hide=""onEnterB"">
+        a
+      </Action>
+      <Action show=""onEnterBA"" hide=""onEnterBB"">
+        b.a
+      </Action>
+      <Action show=""onEnterBB"">b.b</Action>
+    </div>
+  )
+
+  testStateMachine({ statechart: firstMachine }, App)
+})
+
+test('state', () => {
+  const App = () => (
+    <div>
+      <State value=""a"">a</State>
+      <State value=""b.a"">b.a</State>
+      <State value=""b.b"">b.b</State>
+    </div>
+  )
 
-test('it works', () => {
   testStateMachine({ statechart: firstMachine }, App)
 })
",0,
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,d3f79a72469fbaf3cfda6d6bf7c8a9a68129108f,test/__snapshots__/testStateChart.spec.js.snap,test/testStateChart.spec.js,,"tests
","diff --git a/test/testStateChart.spec.js b/test/testStateChart.spec.js
new file mode 100644
index 0000000..fac6077
--- /dev/null
+++ b/test/testStateChart.spec.js
@@ -0,0 +1,66 @@
+import React from 'react'
+import { Action, State, testStateChart } from '../src'
+
+const secondMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        SECOND_NEXT: 'b',
+      },
+      onEntry: 'onEnterBA',
+    },
+    b: {
+      on: {
+        SECOND_NEXT: 'a',
+      },
+      onEntry: 'onEnterBB',
+    },
+  },
+}
+
+const firstMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        FIRST_NEXT: 'b',
+      },
+    },
+    b: {
+      on: {
+        FIRST_NEXT: 'a',
+      },
+      onEntry: 'onEnterB',
+      ...secondMachine,
+    },
+  },
+}
+
+test('action', () => {
+  const App = () => (
+    <div>
+      <Action initial hide=""onEnterB"">
+        a
+      </Action>
+      <Action show=""onEnterBA"" hide=""onEnterBB"">
+        b.a
+      </Action>
+      <Action show=""onEnterBB"">b.b</Action>
+    </div>
+  )
+
+  testStateChart({ statechart: firstMachine }, App)
+})
+
+test('state', () => {
+  const App = () => (
+    <div>
+      <State value=""a"">a</State>
+      <State value=""b.a"">b.a</State>
+      <State value=""b.b"">b.b</State>
+    </div>
+  )
+
+  testStateChart({ statechart: firstMachine }, App)
+})
",1,None=None
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,7d1421fda8f500a2fc0ee32836427a7fefc3e995,test/__snapshots__/testStatechart.spec.js.snap,test/testStatechart.spec.js,,"rename stateChart to statechart
","diff --git a/test/testStatechart.spec.js b/test/testStatechart.spec.js
new file mode 100644
index 0000000..901fdbe
--- /dev/null
+++ b/test/testStatechart.spec.js
@@ -0,0 +1,66 @@
+import React from 'react'
+import { Action, State, testStatechart } from '../src'
+
+const secondMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        SECOND_NEXT: 'b',
+      },
+      onEntry: 'onEnterBA',
+    },
+    b: {
+      on: {
+        SECOND_NEXT: 'a',
+      },
+      onEntry: 'onEnterBB',
+    },
+  },
+}
+
+const firstMachine = {
+  initial: 'a',
+  states: {
+    a: {
+      on: {
+        FIRST_NEXT: 'b',
+      },
+    },
+    b: {
+      on: {
+        FIRST_NEXT: 'a',
+      },
+      onEntry: 'onEnterB',
+      ...secondMachine,
+    },
+  },
+}
+
+test('action', () => {
+  const App = () => (
+    <div>
+      <Action initial hide=""onEnterB"">
+        a
+      </Action>
+      <Action show=""onEnterBA"" hide=""onEnterBB"">
+        b.a
+      </Action>
+      <Action show=""onEnterBB"">b.b</Action>
+    </div>
+  )
+
+  testStatechart({ statechart: firstMachine }, App)
+})
+
+test('state', () => {
+  const App = () => (
+    <div>
+      <State value=""a"">a</State>
+      <State value=""b.a"">b.a</State>
+      <State value=""b.b"">b.b</State>
+    </div>
+  )
+
+  testStatechart({ statechart: firstMachine }, App)
+})
",0,
12,15c2c3550386cd6d045ec32df22b053cdfcf389b,b2b289609e5cff2a43dff4aedd2c4dd1573f0833,playground/__snapshots__/App.spec.js.snap,playground/App.spec.js,,"update playgroud apps
",,0,
18,1f4ef5abd368ddba5eba10ace6ea5f5d78e9e2b6,479753f8087269717e30cf4b11648a068399898e,playground/__snapshots__/App.spec.js.snap,playground/App.spec.js,close #8,"upgrade dependencies
",,0,
18,1f4ef5abd368ddba5eba10ace6ea5f5d78e9e2b6,479753f8087269717e30cf4b11648a068399898e,test/__snapshots__/testStatechart.spec.js.snap,test/testStatechart.spec.js,close #8,"upgrade dependencies
",,0,
