pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1038,557ddf3e5f1b8909266e128f2f25576c556f2078,2c58599c23f874feabdbaf1c2d4cfcc699818d59,test/__snapshots__/validateConfig.spec.js.snap,test/validateConfig.spec.js,"BREAKING CHANGE: _lint-staged_ is now a pure ESM module, and thus
requires Node.js version `^12.20.0 || ^14.13.1 || >=16.0.0`.

To update your Node.js integration, please use:

```js
// const lintStaged = require('lint-staged')
import lintStaged from 'lint-staged'
```","fix: replace `stringify-object` with `object-inspect`
",,0,
1038,557ddf3e5f1b8909266e128f2f25576c556f2078,2c58599c23f874feabdbaf1c2d4cfcc699818d59,test/__snapshots__/validateConfig.spec.js.snap,test/validateConfig.spec.js,"BREAKING CHANGE: _lint-staged_ is now a pure ESM module, and thus
requires Node.js version `^12.20.0 || ^14.13.1 || >=16.0.0`.

To update your Node.js integration, please use:

```js
// const lintStaged = require('lint-staged')
import lintStaged from 'lint-staged'
```","fix: replace `stringify-object` with `object-inspect`
",,0,
1080,cf923b43175b891b7b312592c2c0eb36e7f3d8bd,aba6cd094f5482533335d88351fe5fe317aa0a85,test/__snapshots__/validateConfig.spec.js.snap,test/validateConfig.spec.js,"This Merge Request succeeds @chengcyber's PR https://github.com/okonet/lint-staged/pull/1077 for introducing `--sparse-config` by making it the default behavior that _lint-staged_ supports multiple configuration files by discovering them for each staged file (or more specifically, the directory of the staged file).

For each staged file, the closest discovered config file will be used.

The [README](https://github.com/okonet/lint-staged/blob/20c0ee619bb838d1ad116c27c2bdb3a545319dd3/README.md#how-to-use-lint-staged-in-a-multi-package-monorepo) has been updated with:

> #### How to use lint-staged in a multi-package monorepo?
>
>Install _lint-staged_ on the monorepo root level, and add separate configuration files in each package. When running, _lint-staged_ will always use the configuration closest to a staged file, so having separate configuration files makes sure linters do not ""leak"" into other packages.
>For example, in a monorepo with `packages/frontend/.lintstagedrc.json` and `packages/backend/.lintstagedrc.json`, a staged file inside `packages/frontend/` will only match that configuration, and not the one in `packages/backend/`.
>
> **Note**: _lint-staged_ discovers the closest configuration to each staged file, even if that configuration doesn't include any matching globs. Given these example configurations:
> ```js
> // ./.lintstagedrc.json
> { ""*.md"": ""prettier --write"" }
> ```
> ```js
> // ./packages/frontend/.lintstagedrc.json
> { ""*.js"": ""eslint --fix"" }
> ```
 >When committing `./packages/frontend/README.md`, it **will not run** _prettier_, because the configuration in the `frontend/` directory is closer to the file and doesn't include it. You should treat all _lint-staged_ configuration files as isolated and separated from each other. You can always use JS files to ""extend"" configurations, for example:
> ```js
> import baseConfig from '../.lintstagedrc.js'
> export default {
>   ...baseConfig,
>   '*.js': 'eslint --fix',
> }
> ```

----

It also updates the ""UI"" of lint-staged a bit as seen in the updated [README](https://github.com/okonet/lint-staged/blob/20c0ee619bb838d1ad116c27c2bdb3a545319dd3/README.md):

```
$ git commit

✔ Preparing lint-staged...
❯ Running tasks for staged files...
  ❯ packages/frontend/.lintstagedrc.json — 1 file
    ↓ *.js — no files [SKIPPED]
    ❯ *.{json,md} — 1 file
      ⠹ prettier --write
  ↓ packages/backend/.lintstagedrc.json — 2 files
    ❯ *.js — 2 files
      ⠼ eslint --fix
    ↓ *.{json,md} — no files [SKIPPED]
◼ Applying modifications from tasks...
◼ Cleaning up temporary files...
```
","feat: support multiple configuration files
","diff --git a/test/validateConfig.spec.js b/test/validateConfig.spec.js
index b828df6..970bd5c 100644
--- a/test/validateConfig.spec.js
+++ b/test/validateConfig.spec.js
@@ -2,6 +2,8 @@ import makeConsoleMock from 'consolemock'
 
 import { validateConfig } from '../lib/validateConfig'
 
+const configPath = '.lintstagedrc.json'
+
 describe('validateConfig', () => {
   let logger
 
@@ -12,7 +14,7 @@ describe('validateConfig', () => {
   it('should throw and should print validation errors for invalid config 1', () => {
     const invalidConfig = 'test'
 
-    expect(() => validateConfig(invalidConfig, logger)).toThrowErrorMatchingSnapshot()
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
 
   it('should throw and should print validation errors for invalid config', () => {
@@ -20,13 +22,17 @@ describe('validateConfig', () => {
       foo: false,
     }
 
-    expect(() => validateConfig(invalidConfig, logger)).toThrowErrorMatchingSnapshot()
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should throw for empty config', () => {
+    expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
 
   it('should wrap function config into object', () => {
     const functionConfig = (stagedFiles) => [`eslint --fix ${stagedFiles}', 'git add`]
 
-    expect(validateConfig(functionConfig, logger)).toEqual({
+    expect(validateConfig(functionConfig, configPath, logger)).toEqual({
       '*': functionConfig,
     })
     expect(logger.printHistory()).toEqual('')
@@ -37,7 +43,7 @@ describe('validateConfig', () => {
       '*.js': ['eslint --fix', 'git add'],
     }
 
-    expect(() => validateConfig(validSimpleConfig, logger)).not.toThrow()
+    expect(() => validateConfig(validSimpleConfig, configPath, logger)).not.toThrow()
     expect(logger.printHistory()).toEqual('')
   })
 
@@ -50,7 +56,7 @@ describe('validateConfig', () => {
       '*.css': [(filenames) => filenames.map((filename) => `eslint --fix ${filename}`)],
     }
 
-    expect(() => validateConfig(functionTask, logger)).not.toThrow()
+    expect(() => validateConfig(functionTask, configPath, logger)).not.toThrow()
     expect(logger.printHistory()).toEqual('')
   })
 
@@ -68,7 +74,7 @@ describe('validateConfig', () => {
       subTaskConcurrency: 10,
     }
 
-    expect(() => validateConfig(advancedConfig, logger)).toThrowErrorMatchingSnapshot()
+    expect(() => validateConfig(advancedConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
     expect(logger.printHistory()).toMatchSnapshot()
   })
 
@@ -77,7 +83,7 @@ describe('validateConfig', () => {
       concurrent: 'my command',
     }
 
-    expect(() => validateConfig(stillValidConfig, logger)).not.toThrow()
+    expect(() => validateConfig(stillValidConfig, configPath, logger)).not.toThrow()
     expect(logger.printHistory()).toEqual('')
   })
 })
",0,
1080,cf923b43175b891b7b312592c2c0eb36e7f3d8bd,aba6cd094f5482533335d88351fe5fe317aa0a85,test/__snapshots__/validateConfig.spec.js.snap,test/validateConfig.spec.js,"This Merge Request succeeds @chengcyber's PR https://github.com/okonet/lint-staged/pull/1077 for introducing `--sparse-config` by making it the default behavior that _lint-staged_ supports multiple configuration files by discovering them for each staged file (or more specifically, the directory of the staged file).

For each staged file, the closest discovered config file will be used.

The [README](https://github.com/okonet/lint-staged/blob/20c0ee619bb838d1ad116c27c2bdb3a545319dd3/README.md#how-to-use-lint-staged-in-a-multi-package-monorepo) has been updated with:

> #### How to use lint-staged in a multi-package monorepo?
>
>Install _lint-staged_ on the monorepo root level, and add separate configuration files in each package. When running, _lint-staged_ will always use the configuration closest to a staged file, so having separate configuration files makes sure linters do not ""leak"" into other packages.
>For example, in a monorepo with `packages/frontend/.lintstagedrc.json` and `packages/backend/.lintstagedrc.json`, a staged file inside `packages/frontend/` will only match that configuration, and not the one in `packages/backend/`.
>
> **Note**: _lint-staged_ discovers the closest configuration to each staged file, even if that configuration doesn't include any matching globs. Given these example configurations:
> ```js
> // ./.lintstagedrc.json
> { ""*.md"": ""prettier --write"" }
> ```
> ```js
> // ./packages/frontend/.lintstagedrc.json
> { ""*.js"": ""eslint --fix"" }
> ```
 >When committing `./packages/frontend/README.md`, it **will not run** _prettier_, because the configuration in the `frontend/` directory is closer to the file and doesn't include it. You should treat all _lint-staged_ configuration files as isolated and separated from each other. You can always use JS files to ""extend"" configurations, for example:
> ```js
> import baseConfig from '../.lintstagedrc.js'
> export default {
>   ...baseConfig,
>   '*.js': 'eslint --fix',
> }
> ```

----

It also updates the ""UI"" of lint-staged a bit as seen in the updated [README](https://github.com/okonet/lint-staged/blob/20c0ee619bb838d1ad116c27c2bdb3a545319dd3/README.md):

```
$ git commit

✔ Preparing lint-staged...
❯ Running tasks for staged files...
  ❯ packages/frontend/.lintstagedrc.json — 1 file
    ↓ *.js — no files [SKIPPED]
    ❯ *.{json,md} — 1 file
      ⠹ prettier --write
  ↓ packages/backend/.lintstagedrc.json — 2 files
    ❯ *.js — 2 files
      ⠼ eslint --fix
    ↓ *.{json,md} — no files [SKIPPED]
◼ Applying modifications from tasks...
◼ Cleaning up temporary files...
```
","feat: support multiple configuration files
","diff --git a/test/validateConfig.spec.js b/test/validateConfig.spec.js
index b828df6..970bd5c 100644
--- a/test/validateConfig.spec.js
+++ b/test/validateConfig.spec.js
@@ -2,6 +2,8 @@ import makeConsoleMock from 'consolemock'
 
 import { validateConfig } from '../lib/validateConfig'
 
+const configPath = '.lintstagedrc.json'
+
 describe('validateConfig', () => {
   let logger
 
@@ -12,7 +14,7 @@ describe('validateConfig', () => {
   it('should throw and should print validation errors for invalid config 1', () => {
     const invalidConfig = 'test'
 
-    expect(() => validateConfig(invalidConfig, logger)).toThrowErrorMatchingSnapshot()
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
 
   it('should throw and should print validation errors for invalid config', () => {
@@ -20,13 +22,17 @@ describe('validateConfig', () => {
       foo: false,
     }
 
-    expect(() => validateConfig(invalidConfig, logger)).toThrowErrorMatchingSnapshot()
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should throw for empty config', () => {
+    expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
 
   it('should wrap function config into object', () => {
     const functionConfig = (stagedFiles) => [`eslint --fix ${stagedFiles}', 'git add`]
 
-    expect(validateConfig(functionConfig, logger)).toEqual({
+    expect(validateConfig(functionConfig, configPath, logger)).toEqual({
       '*': functionConfig,
     })
     expect(logger.printHistory()).toEqual('')
@@ -37,7 +43,7 @@ describe('validateConfig', () => {
       '*.js': ['eslint --fix', 'git add'],
     }
 
-    expect(() => validateConfig(validSimpleConfig, logger)).not.toThrow()
+    expect(() => validateConfig(validSimpleConfig, configPath, logger)).not.toThrow()
     expect(logger.printHistory()).toEqual('')
   })
 
@@ -50,7 +56,7 @@ describe('validateConfig', () => {
       '*.css': [(filenames) => filenames.map((filename) => `eslint --fix ${filename}`)],
     }
 
-    expect(() => validateConfig(functionTask, logger)).not.toThrow()
+    expect(() => validateConfig(functionTask, configPath, logger)).not.toThrow()
     expect(logger.printHistory()).toEqual('')
   })
 
@@ -68,7 +74,7 @@ describe('validateConfig', () => {
       subTaskConcurrency: 10,
     }
 
-    expect(() => validateConfig(advancedConfig, logger)).toThrowErrorMatchingSnapshot()
+    expect(() => validateConfig(advancedConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
     expect(logger.printHistory()).toMatchSnapshot()
   })
 
@@ -77,7 +83,7 @@ describe('validateConfig', () => {
       concurrent: 'my command',
     }
 
-    expect(() => validateConfig(stillValidConfig, logger)).not.toThrow()
+    expect(() => validateConfig(stillValidConfig, configPath, logger)).not.toThrow()
     expect(logger.printHistory()).toEqual('')
   })
 })
",0,
1161,b634922003db4e6b68ff4ad25ba251e885fefcbd,b634922003db4e6b68ff4ad25ba251e885fefcbd,test/__snapshots__/validateConfig.spec.js.snap,test/validateConfig.spec.js,"This PR splits the current test directory structure into separate `test/unit/` `test/integration/`, and splits the previously large `test/integration.spec.js` into multiple files.","test: split integration tests into separate files and improve isolation
","diff --git a/test/validateConfig.spec.js b/test/validateConfig.spec.js
deleted file mode 100644
index 970bd5c..0000000
--- a/test/validateConfig.spec.js
+++ /dev/null
@@ -1,89 +0,0 @@
-import makeConsoleMock from 'consolemock'
-
-import { validateConfig } from '../lib/validateConfig'
-
-const configPath = '.lintstagedrc.json'
-
-describe('validateConfig', () => {
-  let logger
-
-  beforeEach(() => {
-    logger = makeConsoleMock()
-  })
-
-  it('should throw and should print validation errors for invalid config 1', () => {
-    const invalidConfig = 'test'
-
-    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
-  })
-
-  it('should throw and should print validation errors for invalid config', () => {
-    const invalidConfig = {
-      foo: false,
-    }
-
-    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
-  })
-
-  it('should throw for empty config', () => {
-    expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
-  })
-
-  it('should wrap function config into object', () => {
-    const functionConfig = (stagedFiles) => [`eslint --fix ${stagedFiles}', 'git add`]
-
-    expect(validateConfig(functionConfig, configPath, logger)).toEqual({
-      '*': functionConfig,
-    })
-    expect(logger.printHistory()).toEqual('')
-  })
-
-  it('should not throw and should print nothing for valid config', () => {
-    const validSimpleConfig = {
-      '*.js': ['eslint --fix', 'git add'],
-    }
-
-    expect(() => validateConfig(validSimpleConfig, configPath, logger)).not.toThrow()
-    expect(logger.printHistory()).toEqual('')
-  })
-
-  it('should not throw and should print nothing for function task', () => {
-    const functionTask = {
-      '*.js': (filenames) => {
-        const files = filenames.join(' ')
-        return `eslint --fix ${files} && git add ${files}`
-      },
-      '*.css': [(filenames) => filenames.map((filename) => `eslint --fix ${filename}`)],
-    }
-
-    expect(() => validateConfig(functionTask, configPath, logger)).not.toThrow()
-    expect(logger.printHistory()).toEqual('')
-  })
-
-  it('should throw when detecting deprecated advanced configuration', () => {
-    const advancedConfig = {
-      chunkSize: 10,
-      concurrent: false,
-      globOptions: { matchBase: false },
-      ignore: ['test.js'],
-      linters: {
-        '*.js': ['eslint'],
-      },
-      relative: true,
-      renderer: 'silent',
-      subTaskConcurrency: 10,
-    }
-
-    expect(() => validateConfig(advancedConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
-    expect(logger.printHistory()).toMatchSnapshot()
-  })
-
-  it('should not throw when config contains deprecated key but with valid task', () => {
-    const stillValidConfig = {
-      concurrent: 'my command',
-    }
-
-    expect(() => validateConfig(stillValidConfig, configPath, logger)).not.toThrow()
-    expect(logger.printHistory()).toEqual('')
-  })
-})
",0,
1161,b634922003db4e6b68ff4ad25ba251e885fefcbd,b634922003db4e6b68ff4ad25ba251e885fefcbd,test/unit/__snapshots__/validateConfig.spec.js.snap,test/unit/validateConfig.spec.js,"This PR splits the current test directory structure into separate `test/unit/` `test/integration/`, and splits the previously large `test/integration.spec.js` into multiple files.","test: split integration tests into separate files and improve isolation
","diff --git a/test/unit/validateConfig.spec.js b/test/unit/validateConfig.spec.js
new file mode 100644
index 0000000..6d10cdc
--- /dev/null
+++ b/test/unit/validateConfig.spec.js
@@ -0,0 +1,89 @@
+import makeConsoleMock from 'consolemock'
+
+import { validateConfig } from '../../lib/validateConfig.js'
+
+const configPath = '.lintstagedrc.json'
+
+describe('validateConfig', () => {
+  let logger
+
+  beforeEach(() => {
+    logger = makeConsoleMock()
+  })
+
+  it('should throw and should print validation errors for invalid config 1', () => {
+    const invalidConfig = 'test'
+
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should throw and should print validation errors for invalid config', () => {
+    const invalidConfig = {
+      foo: false,
+    }
+
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should throw for empty config', () => {
+    expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should wrap function config into object', () => {
+    const functionConfig = (stagedFiles) => [`eslint --fix ${stagedFiles}', 'git add`]
+
+    expect(validateConfig(functionConfig, configPath, logger)).toEqual({
+      '*': functionConfig,
+    })
+    expect(logger.printHistory()).toEqual('')
+  })
+
+  it('should not throw and should print nothing for valid config', () => {
+    const validSimpleConfig = {
+      '*.js': ['eslint --fix', 'git add'],
+    }
+
+    expect(() => validateConfig(validSimpleConfig, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+
+  it('should not throw and should print nothing for function task', () => {
+    const functionTask = {
+      '*.js': (filenames) => {
+        const files = filenames.join(' ')
+        return `eslint --fix ${files} && git add ${files}`
+      },
+      '*.css': [(filenames) => filenames.map((filename) => `eslint --fix ${filename}`)],
+    }
+
+    expect(() => validateConfig(functionTask, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+
+  it('should throw when detecting deprecated advanced configuration', () => {
+    const advancedConfig = {
+      chunkSize: 10,
+      concurrent: false,
+      globOptions: { matchBase: false },
+      ignore: ['test.js'],
+      linters: {
+        '*.js': ['eslint'],
+      },
+      relative: true,
+      renderer: 'silent',
+      subTaskConcurrency: 10,
+    }
+
+    expect(() => validateConfig(advancedConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+    expect(logger.printHistory()).toMatchSnapshot()
+  })
+
+  it('should not throw when config contains deprecated key but with valid task', () => {
+    const stillValidConfig = {
+      concurrent: 'my command',
+    }
+
+    expect(() => validateConfig(stillValidConfig, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+})
",0,
1161,b634922003db4e6b68ff4ad25ba251e885fefcbd,b634922003db4e6b68ff4ad25ba251e885fefcbd,test/__snapshots__/validateConfig.spec.js.snap,test/validateConfig.spec.js,"This PR splits the current test directory structure into separate `test/unit/` `test/integration/`, and splits the previously large `test/integration.spec.js` into multiple files.","test: split integration tests into separate files and improve isolation
","diff --git a/test/validateConfig.spec.js b/test/validateConfig.spec.js
deleted file mode 100644
index 970bd5c..0000000
--- a/test/validateConfig.spec.js
+++ /dev/null
@@ -1,89 +0,0 @@
-import makeConsoleMock from 'consolemock'
-
-import { validateConfig } from '../lib/validateConfig'
-
-const configPath = '.lintstagedrc.json'
-
-describe('validateConfig', () => {
-  let logger
-
-  beforeEach(() => {
-    logger = makeConsoleMock()
-  })
-
-  it('should throw and should print validation errors for invalid config 1', () => {
-    const invalidConfig = 'test'
-
-    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
-  })
-
-  it('should throw and should print validation errors for invalid config', () => {
-    const invalidConfig = {
-      foo: false,
-    }
-
-    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
-  })
-
-  it('should throw for empty config', () => {
-    expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
-  })
-
-  it('should wrap function config into object', () => {
-    const functionConfig = (stagedFiles) => [`eslint --fix ${stagedFiles}', 'git add`]
-
-    expect(validateConfig(functionConfig, configPath, logger)).toEqual({
-      '*': functionConfig,
-    })
-    expect(logger.printHistory()).toEqual('')
-  })
-
-  it('should not throw and should print nothing for valid config', () => {
-    const validSimpleConfig = {
-      '*.js': ['eslint --fix', 'git add'],
-    }
-
-    expect(() => validateConfig(validSimpleConfig, configPath, logger)).not.toThrow()
-    expect(logger.printHistory()).toEqual('')
-  })
-
-  it('should not throw and should print nothing for function task', () => {
-    const functionTask = {
-      '*.js': (filenames) => {
-        const files = filenames.join(' ')
-        return `eslint --fix ${files} && git add ${files}`
-      },
-      '*.css': [(filenames) => filenames.map((filename) => `eslint --fix ${filename}`)],
-    }
-
-    expect(() => validateConfig(functionTask, configPath, logger)).not.toThrow()
-    expect(logger.printHistory()).toEqual('')
-  })
-
-  it('should throw when detecting deprecated advanced configuration', () => {
-    const advancedConfig = {
-      chunkSize: 10,
-      concurrent: false,
-      globOptions: { matchBase: false },
-      ignore: ['test.js'],
-      linters: {
-        '*.js': ['eslint'],
-      },
-      relative: true,
-      renderer: 'silent',
-      subTaskConcurrency: 10,
-    }
-
-    expect(() => validateConfig(advancedConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
-    expect(logger.printHistory()).toMatchSnapshot()
-  })
-
-  it('should not throw when config contains deprecated key but with valid task', () => {
-    const stillValidConfig = {
-      concurrent: 'my command',
-    }
-
-    expect(() => validateConfig(stillValidConfig, configPath, logger)).not.toThrow()
-    expect(logger.printHistory()).toEqual('')
-  })
-})
",0,
1161,b634922003db4e6b68ff4ad25ba251e885fefcbd,b634922003db4e6b68ff4ad25ba251e885fefcbd,test/unit/__snapshots__/validateConfig.spec.js.snap,test/unit/validateConfig.spec.js,"This PR splits the current test directory structure into separate `test/unit/` `test/integration/`, and splits the previously large `test/integration.spec.js` into multiple files.","test: split integration tests into separate files and improve isolation
","diff --git a/test/unit/validateConfig.spec.js b/test/unit/validateConfig.spec.js
new file mode 100644
index 0000000..6d10cdc
--- /dev/null
+++ b/test/unit/validateConfig.spec.js
@@ -0,0 +1,89 @@
+import makeConsoleMock from 'consolemock'
+
+import { validateConfig } from '../../lib/validateConfig.js'
+
+const configPath = '.lintstagedrc.json'
+
+describe('validateConfig', () => {
+  let logger
+
+  beforeEach(() => {
+    logger = makeConsoleMock()
+  })
+
+  it('should throw and should print validation errors for invalid config 1', () => {
+    const invalidConfig = 'test'
+
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should throw and should print validation errors for invalid config', () => {
+    const invalidConfig = {
+      foo: false,
+    }
+
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should throw for empty config', () => {
+    expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should wrap function config into object', () => {
+    const functionConfig = (stagedFiles) => [`eslint --fix ${stagedFiles}', 'git add`]
+
+    expect(validateConfig(functionConfig, configPath, logger)).toEqual({
+      '*': functionConfig,
+    })
+    expect(logger.printHistory()).toEqual('')
+  })
+
+  it('should not throw and should print nothing for valid config', () => {
+    const validSimpleConfig = {
+      '*.js': ['eslint --fix', 'git add'],
+    }
+
+    expect(() => validateConfig(validSimpleConfig, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+
+  it('should not throw and should print nothing for function task', () => {
+    const functionTask = {
+      '*.js': (filenames) => {
+        const files = filenames.join(' ')
+        return `eslint --fix ${files} && git add ${files}`
+      },
+      '*.css': [(filenames) => filenames.map((filename) => `eslint --fix ${filename}`)],
+    }
+
+    expect(() => validateConfig(functionTask, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+
+  it('should throw when detecting deprecated advanced configuration', () => {
+    const advancedConfig = {
+      chunkSize: 10,
+      concurrent: false,
+      globOptions: { matchBase: false },
+      ignore: ['test.js'],
+      linters: {
+        '*.js': ['eslint'],
+      },
+      relative: true,
+      renderer: 'silent',
+      subTaskConcurrency: 10,
+    }
+
+    expect(() => validateConfig(advancedConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+    expect(logger.printHistory()).toMatchSnapshot()
+  })
+
+  it('should not throw when config contains deprecated key but with valid task', () => {
+    const stillValidConfig = {
+      concurrent: 'my command',
+    }
+
+    expect(() => validateConfig(stillValidConfig, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+})
",0,
1401,090ea2e962cc2e196d4cfa8a571ccf19bdcae809,d0d7a371a5b460ec5a89106ff660db8cd4e5013a,test/unit/__snapshots__/validateConfig.spec.js.snap,test/unit/validateConfig.spec.js,"Fixture for https://github.com/lint-staged/lint-staged/issues/1398

**By proposed changes user will get the opportunity to control/handle the execution of custom task, As you can see in following example `.lintstagedrc.js`.** 

```
async function doFoo(files) {
  const { execa } = await import(""execa"");
  const result = await execa(""eslint"", [...files],
  {
    preferLocal: true,
    reject: false,
    shell: false,
    stdin: 'ignore'
  });
  if (result.failed || result.killed || result.signal != null) {
    throw result
  }
}

module.exports = {
  ""**/*.{js,jsx}"": {
      title: ""Running a custom task"",
      task: async (filenames) =>  {
        console.time()
        await doFoo(filenames)
        console.timeEnd()
      }
  },
};
```

**Following will be the output in case of no-console eslint error**

![image](https://github.com/lint-staged/lint-staged/assets/11659536/7e41fa40-1bf8-4f90-9064-41ce4bee3b55)

","feat: added support for custom configuration
","diff --git a/test/unit/validateConfig.spec.js b/test/unit/validateConfig.spec.js
index 49178aa..1ec6d46 100644
--- a/test/unit/validateConfig.spec.js
+++ b/test/unit/validateConfig.spec.js
@@ -25,6 +25,30 @@ describe('validateConfig', () => {
     expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
 
+  it('should throw and should print validation errors for invalid object config', () => {
+    const invalidConfig = {
+      '*.js': {
+        title: 'Running a custom task',
+      },
+    }
+
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should not throw and should print nothing for valid object config', () => {
+    const validObjectConfig = {
+      '*.js': {
+        title: 'Running a custom task',
+        task: async (files) => {
+          console.log(files)
+        },
+      },
+    }
+
+    expect(() => validateConfig(validObjectConfig, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+
   it('should throw for empty config', () => {
     expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
",0,
1401,090ea2e962cc2e196d4cfa8a571ccf19bdcae809,d0d7a371a5b460ec5a89106ff660db8cd4e5013a,test/unit/__snapshots__/validateConfig.spec.js.snap,test/unit/validateConfig.spec.js,"Fixture for https://github.com/lint-staged/lint-staged/issues/1398

**By proposed changes user will get the opportunity to control/handle the execution of custom task, As you can see in following example `.lintstagedrc.js`.** 

```
async function doFoo(files) {
  const { execa } = await import(""execa"");
  const result = await execa(""eslint"", [...files],
  {
    preferLocal: true,
    reject: false,
    shell: false,
    stdin: 'ignore'
  });
  if (result.failed || result.killed || result.signal != null) {
    throw result
  }
}

module.exports = {
  ""**/*.{js,jsx}"": {
      title: ""Running a custom task"",
      task: async (filenames) =>  {
        console.time()
        await doFoo(filenames)
        console.timeEnd()
      }
  },
};
```

**Following will be the output in case of no-console eslint error**

![image](https://github.com/lint-staged/lint-staged/assets/11659536/7e41fa40-1bf8-4f90-9064-41ce4bee3b55)

","feat: added support for custom configuration
","diff --git a/test/unit/validateConfig.spec.js b/test/unit/validateConfig.spec.js
index 49178aa..1ec6d46 100644
--- a/test/unit/validateConfig.spec.js
+++ b/test/unit/validateConfig.spec.js
@@ -25,6 +25,30 @@ describe('validateConfig', () => {
     expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
 
+  it('should throw and should print validation errors for invalid object config', () => {
+    const invalidConfig = {
+      '*.js': {
+        title: 'Running a custom task',
+      },
+    }
+
+    expect(() => validateConfig(invalidConfig, configPath, logger)).toThrowErrorMatchingSnapshot()
+  })
+
+  it('should not throw and should print nothing for valid object config', () => {
+    const validObjectConfig = {
+      '*.js': {
+        title: 'Running a custom task',
+        task: async (files) => {
+          console.log(files)
+        },
+      },
+    }
+
+    expect(() => validateConfig(validObjectConfig, configPath, logger)).not.toThrow()
+    expect(logger.printHistory()).toEqual('')
+  })
+
   it('should throw for empty config', () => {
     expect(() => validateConfig({}, configPath, logger)).toThrowErrorMatchingSnapshot()
   })
",0,
