pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
251,ead99956c55aab932c79fc4cccec29de4458c51d,ead99956c55aab932c79fc4cccec29de4458c51d,tests/__snapshots__/Calendar.spec.jsx.snap,tests/Calendar.spec.jsx,ref: https://github.com/ant-design/ant-design/issues/5691,"feat: make TimePicker[defaultValue] work in Calendar
","diff --git a/tests/Calendar.spec.jsx b/tests/Calendar.spec.jsx
index 7c8a53d..3907d19 100644
--- a/tests/Calendar.spec.jsx
+++ b/tests/Calendar.spec.jsx
@@ -4,9 +4,10 @@ import ReactDOM from 'react-dom';
 import TestUtils from 'react-dom/test-utils';
 import keyCode from 'rc-util/lib/KeyCode';
 import moment from 'moment';
-import { render } from 'enzyme';
+import { mount, render } from 'enzyme';
 import { renderToJson } from 'enzyme-to-json';
 import async from 'async';
+import TimePickerPanel from 'rc-time-picker/lib/Panel';
 import Calendar from '../index';
 import zhCN from '../src/locale/zh_CN';
 import enUS from '../src/locale/en_US';
@@ -25,24 +26,51 @@ describe('Calendar', () => {
   });
 
   describe('render', () => {
-    describe('render', () => {
-      it('render correctly', () => {
-        const zhWrapper = render(
-          <Calendar locale={zhCN} defaultValue={moment('2017-03-29').locale('zh-cn')} />
-        );
-        expect(renderToJson(zhWrapper)).toMatchSnapshot();
-
-        const enWrapper = render(
-          <Calendar locale={enUS} defaultValue={moment('2017-03-29').locale('en')} />
-        );
-        expect(renderToJson(enWrapper)).toMatchSnapshot();
-      });
+    it('render correctly', () => {
+      const zhWrapper = render(
+        <Calendar locale={zhCN} defaultValue={moment('2017-03-29').locale('zh-cn')} />
+      );
+      expect(renderToJson(zhWrapper)).toMatchSnapshot();
+
+      const enWrapper = render(
+        <Calendar locale={enUS} defaultValue={moment('2017-03-29').locale('en')} />
+      );
+      expect(renderToJson(enWrapper)).toMatchSnapshot();
+    });
 
-      it('render showToday false', () => {
-        calendar = ReactDOM.render(<Calendar showToday={false}/>, container);
-        expect(TestUtils.scryRenderedDOMComponentsWithClass(calendar,
-          'rc-calendar-today-btn').length).toBe(0);
-      });
+    it('render showToday false correctly', () => {
+      const wrapper = mount(<Calendar showToday={false}/>, container);
+      expect(wrapper.find('.rc-calendar-today-btn').length).toBe(0);
+    });
+  });
+
+  describe('timePicker', () => {
+    it('set defaultOpenValue if timePicker.props.defaultValue is set', () => {
+      const timePicker = <TimePickerPanel defaultValue={moment('00:00:00', 'HH:mm:ss')} />;
+      const wrapper = mount(<Calendar timePicker={timePicker} />);
+      wrapper.find('.rc-calendar-time-picker-btn').simulate('click');
+      const selectedValues = wrapper.find('.rc-time-picker-panel-select-option-selected');
+      for (let i = 0; i < selectedValues.length; i += 1) {
+        expect(selectedValues.get(i).innerHTML).toBe('00');
+      }
+    });
+
+    it('use timePicker\'s time', () => {
+      const timePicker = <TimePickerPanel defaultValue={moment('00:00:00', 'HH:mm:ss')} />;
+      const wrapper = mount(<Calendar timePicker={timePicker} />);
+
+      wrapper.find('.rc-calendar-today').simulate('click');
+      // use timePicker's defaultValue if users haven't select a time
+      expect(wrapper.find('.rc-calendar-input').get(0).value).toBe('3/29/2017 00:00:00');
+
+      wrapper.find('.rc-calendar-time-picker-btn').simulate('click');
+      wrapper.find('.rc-time-picker-panel-select ul').at(0).find('li').at(6).simulate('click');
+      // update time to timePicker's time
+      expect(wrapper.find('.rc-calendar-input').get(0).value).toBe('3/29/2017 06:00:00');
+
+      wrapper.find('.rc-calendar-cell').at(10).simulate('click');
+      // still use timePicker's time
+      expect(wrapper.find('.rc-calendar-input').get(0).value).toBe('3/8/2017 06:00:00');
     });
   });
 
",0,
251,ead99956c55aab932c79fc4cccec29de4458c51d,ead99956c55aab932c79fc4cccec29de4458c51d,tests/__snapshots__/Calendar.spec.jsx.snap,tests/Calendar.spec.jsx,ref: https://github.com/ant-design/ant-design/issues/5691,"feat: make TimePicker[defaultValue] work in Calendar
","diff --git a/tests/Calendar.spec.jsx b/tests/Calendar.spec.jsx
index 7c8a53d..3907d19 100644
--- a/tests/Calendar.spec.jsx
+++ b/tests/Calendar.spec.jsx
@@ -4,9 +4,10 @@ import ReactDOM from 'react-dom';
 import TestUtils from 'react-dom/test-utils';
 import keyCode from 'rc-util/lib/KeyCode';
 import moment from 'moment';
-import { render } from 'enzyme';
+import { mount, render } from 'enzyme';
 import { renderToJson } from 'enzyme-to-json';
 import async from 'async';
+import TimePickerPanel from 'rc-time-picker/lib/Panel';
 import Calendar from '../index';
 import zhCN from '../src/locale/zh_CN';
 import enUS from '../src/locale/en_US';
@@ -25,24 +26,51 @@ describe('Calendar', () => {
   });
 
   describe('render', () => {
-    describe('render', () => {
-      it('render correctly', () => {
-        const zhWrapper = render(
-          <Calendar locale={zhCN} defaultValue={moment('2017-03-29').locale('zh-cn')} />
-        );
-        expect(renderToJson(zhWrapper)).toMatchSnapshot();
-
-        const enWrapper = render(
-          <Calendar locale={enUS} defaultValue={moment('2017-03-29').locale('en')} />
-        );
-        expect(renderToJson(enWrapper)).toMatchSnapshot();
-      });
+    it('render correctly', () => {
+      const zhWrapper = render(
+        <Calendar locale={zhCN} defaultValue={moment('2017-03-29').locale('zh-cn')} />
+      );
+      expect(renderToJson(zhWrapper)).toMatchSnapshot();
+
+      const enWrapper = render(
+        <Calendar locale={enUS} defaultValue={moment('2017-03-29').locale('en')} />
+      );
+      expect(renderToJson(enWrapper)).toMatchSnapshot();
+    });
 
-      it('render showToday false', () => {
-        calendar = ReactDOM.render(<Calendar showToday={false}/>, container);
-        expect(TestUtils.scryRenderedDOMComponentsWithClass(calendar,
-          'rc-calendar-today-btn').length).toBe(0);
-      });
+    it('render showToday false correctly', () => {
+      const wrapper = mount(<Calendar showToday={false}/>, container);
+      expect(wrapper.find('.rc-calendar-today-btn').length).toBe(0);
+    });
+  });
+
+  describe('timePicker', () => {
+    it('set defaultOpenValue if timePicker.props.defaultValue is set', () => {
+      const timePicker = <TimePickerPanel defaultValue={moment('00:00:00', 'HH:mm:ss')} />;
+      const wrapper = mount(<Calendar timePicker={timePicker} />);
+      wrapper.find('.rc-calendar-time-picker-btn').simulate('click');
+      const selectedValues = wrapper.find('.rc-time-picker-panel-select-option-selected');
+      for (let i = 0; i < selectedValues.length; i += 1) {
+        expect(selectedValues.get(i).innerHTML).toBe('00');
+      }
+    });
+
+    it('use timePicker\'s time', () => {
+      const timePicker = <TimePickerPanel defaultValue={moment('00:00:00', 'HH:mm:ss')} />;
+      const wrapper = mount(<Calendar timePicker={timePicker} />);
+
+      wrapper.find('.rc-calendar-today').simulate('click');
+      // use timePicker's defaultValue if users haven't select a time
+      expect(wrapper.find('.rc-calendar-input').get(0).value).toBe('3/29/2017 00:00:00');
+
+      wrapper.find('.rc-calendar-time-picker-btn').simulate('click');
+      wrapper.find('.rc-time-picker-panel-select ul').at(0).find('li').at(6).simulate('click');
+      // update time to timePicker's time
+      expect(wrapper.find('.rc-calendar-input').get(0).value).toBe('3/29/2017 06:00:00');
+
+      wrapper.find('.rc-calendar-cell').at(10).simulate('click');
+      // still use timePicker's time
+      expect(wrapper.find('.rc-calendar-input').get(0).value).toBe('3/8/2017 06:00:00');
     });
   });
 
",0,
284,bf8c6113124b78ff30d364eb6f70122359d0455a,0d2048c89cb5475de81a07d1f177ec17f440ebf6,tests/__snapshots__/Calendar.spec.jsx.snap,tests/Calendar.spec.jsx,Ref: https://github.com/ant-design/ant-design/issues/5190,"test: add test cases and fix some bugs
","diff --git a/tests/Calendar.spec.jsx b/tests/Calendar.spec.jsx
index a3c370e..c85582a 100644
--- a/tests/Calendar.spec.jsx
+++ b/tests/Calendar.spec.jsx
@@ -86,6 +86,59 @@ describe('Calendar', () => {
     });
   });
 
+  describe('controlled panels', () => {
+    it('render controlled panels correctly', () => {
+      const MonthPicker = mount(<Calendar mode=""month"" />);
+      expect(renderToJson(MonthPicker.render())).toMatchSnapshot();
+      MonthPicker.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      expect(MonthPicker.find('.rc-calendar-year-panel').length).toBe(0);
+      expect(MonthPicker.find('.rc-calendar-month-panel').length).toBe(1);
+
+      const YearPicker = mount(<Calendar mode=""year"" />);
+      expect(renderToJson(YearPicker.render())).toMatchSnapshot();
+      YearPicker.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      expect(YearPicker.find('.rc-calendar-decade-panel').length).toBe(0);
+      expect(YearPicker.find('.rc-calendar-year-panel').length).toBe(1);
+    });
+
+    it('support controlled mode', () => {
+      class ControlledCalendar extends React.Component {
+        state = { mode: 'date' };
+
+        handlePanelChange = (mode) => {
+          this.setState({ mode });
+        }
+
+        render() {
+          return <Calendar mode={this.state.mode} onPanelChange={this.handlePanelChange} />;
+        }
+      }
+      const wrapper = mount(<ControlledCalendar />);
+
+      wrapper.find('.rc-calendar-month-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-month-panel-year-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-year-panel-decade-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-month-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(0);
+
+      wrapper.find('.rc-calendar-year-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-year-panel-decade-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+    });
+  });
+
   describe('after render', () => {
     beforeEach((done) => {
       ReactDOM.render(<Calendar showToday showWeekNumber/>, container, function ok() {
",0,
284,bf8c6113124b78ff30d364eb6f70122359d0455a,0d2048c89cb5475de81a07d1f177ec17f440ebf6,tests/__snapshots__/RangeCalendar.spec.jsx.snap,tests/RangeCalendar.spec.jsx,Ref: https://github.com/ant-design/ant-design/issues/5190,"test: add test cases and fix some bugs
","diff --git a/tests/RangeCalendar.spec.jsx b/tests/RangeCalendar.spec.jsx
index ea9fc83..6294f54 100644
--- a/tests/RangeCalendar.spec.jsx
+++ b/tests/RangeCalendar.spec.jsx
@@ -257,4 +257,69 @@ describe('RangeCalendar', () => {
       expect(wrapper.find('.rc-calendar-input').get(1).value).toBe('3/18/2017 23:59:59');
     });
   });
+
+  describe('controlled panels', () => {
+    it('render controlled panels correctly', () => {
+      const RangeMonthPicker = mount(<RangeCalendar mode={['month', 'month']} />);
+      expect(renderToJson(RangeMonthPicker.render())).toMatchSnapshot();
+      RangeMonthPicker.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      RangeMonthPicker.find('.rc-calendar-month-panel-year-select').at(1).simulate('click');
+      expect(RangeMonthPicker.find('.rc-calendar-year-panel').length).toBe(0);
+      expect(RangeMonthPicker.find('.rc-calendar-month-panel').length).toBe(2);
+
+      const RangeYearPicker = mount(<RangeCalendar mode={['year', 'year']} />);
+      expect(renderToJson(RangeYearPicker.render())).toMatchSnapshot();
+      RangeYearPicker.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      RangeYearPicker.find('.rc-calendar-year-panel-decade-select').at(1).simulate('click');
+      expect(RangeYearPicker.find('.rc-calendar-decade-panel').length).toBe(0);
+      expect(RangeYearPicker.find('.rc-calendar-year-panel').length).toBe(2);
+    });
+
+    it('support controlled mode', () => {
+      class ControlledRangeCalendar extends React.Component {
+        state = { mode: ['date', 'date'] };
+
+        handlePanelChange = (mode) => {
+          this.setState({ mode });
+        }
+
+        render() {
+          return <RangeCalendar mode={this.state.mode} onPanelChange={this.handlePanelChange} />;
+        }
+      }
+      const wrapper = mount(<ControlledRangeCalendar />);
+
+      wrapper.find('.rc-calendar-month-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-month-select').at(1).simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-month-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-month-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(0);
+
+      wrapper.find('.rc-calendar-year-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-select').at(1).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+    });
+  });
 });
",0,
284,bf8c6113124b78ff30d364eb6f70122359d0455a,0d2048c89cb5475de81a07d1f177ec17f440ebf6,tests/__snapshots__/Calendar.spec.jsx.snap,tests/Calendar.spec.jsx,Ref: https://github.com/ant-design/ant-design/issues/5190,"test: add test cases and fix some bugs
","diff --git a/tests/Calendar.spec.jsx b/tests/Calendar.spec.jsx
index a3c370e..c85582a 100644
--- a/tests/Calendar.spec.jsx
+++ b/tests/Calendar.spec.jsx
@@ -86,6 +86,59 @@ describe('Calendar', () => {
     });
   });
 
+  describe('controlled panels', () => {
+    it('render controlled panels correctly', () => {
+      const MonthPicker = mount(<Calendar mode=""month"" />);
+      expect(renderToJson(MonthPicker.render())).toMatchSnapshot();
+      MonthPicker.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      expect(MonthPicker.find('.rc-calendar-year-panel').length).toBe(0);
+      expect(MonthPicker.find('.rc-calendar-month-panel').length).toBe(1);
+
+      const YearPicker = mount(<Calendar mode=""year"" />);
+      expect(renderToJson(YearPicker.render())).toMatchSnapshot();
+      YearPicker.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      expect(YearPicker.find('.rc-calendar-decade-panel').length).toBe(0);
+      expect(YearPicker.find('.rc-calendar-year-panel').length).toBe(1);
+    });
+
+    it('support controlled mode', () => {
+      class ControlledCalendar extends React.Component {
+        state = { mode: 'date' };
+
+        handlePanelChange = (mode) => {
+          this.setState({ mode });
+        }
+
+        render() {
+          return <Calendar mode={this.state.mode} onPanelChange={this.handlePanelChange} />;
+        }
+      }
+      const wrapper = mount(<ControlledCalendar />);
+
+      wrapper.find('.rc-calendar-month-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-month-panel-year-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-year-panel-decade-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-month-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(0);
+
+      wrapper.find('.rc-calendar-year-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-year-panel-decade-select').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(1);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+    });
+  });
+
   describe('after render', () => {
     beforeEach((done) => {
       ReactDOM.render(<Calendar showToday showWeekNumber/>, container, function ok() {
",0,
284,bf8c6113124b78ff30d364eb6f70122359d0455a,0d2048c89cb5475de81a07d1f177ec17f440ebf6,tests/__snapshots__/RangeCalendar.spec.jsx.snap,tests/RangeCalendar.spec.jsx,Ref: https://github.com/ant-design/ant-design/issues/5190,"test: add test cases and fix some bugs
","diff --git a/tests/RangeCalendar.spec.jsx b/tests/RangeCalendar.spec.jsx
index ea9fc83..6294f54 100644
--- a/tests/RangeCalendar.spec.jsx
+++ b/tests/RangeCalendar.spec.jsx
@@ -257,4 +257,69 @@ describe('RangeCalendar', () => {
       expect(wrapper.find('.rc-calendar-input').get(1).value).toBe('3/18/2017 23:59:59');
     });
   });
+
+  describe('controlled panels', () => {
+    it('render controlled panels correctly', () => {
+      const RangeMonthPicker = mount(<RangeCalendar mode={['month', 'month']} />);
+      expect(renderToJson(RangeMonthPicker.render())).toMatchSnapshot();
+      RangeMonthPicker.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      RangeMonthPicker.find('.rc-calendar-month-panel-year-select').at(1).simulate('click');
+      expect(RangeMonthPicker.find('.rc-calendar-year-panel').length).toBe(0);
+      expect(RangeMonthPicker.find('.rc-calendar-month-panel').length).toBe(2);
+
+      const RangeYearPicker = mount(<RangeCalendar mode={['year', 'year']} />);
+      expect(renderToJson(RangeYearPicker.render())).toMatchSnapshot();
+      RangeYearPicker.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      RangeYearPicker.find('.rc-calendar-year-panel-decade-select').at(1).simulate('click');
+      expect(RangeYearPicker.find('.rc-calendar-decade-panel').length).toBe(0);
+      expect(RangeYearPicker.find('.rc-calendar-year-panel').length).toBe(2);
+    });
+
+    it('support controlled mode', () => {
+      class ControlledRangeCalendar extends React.Component {
+        state = { mode: ['date', 'date'] };
+
+        handlePanelChange = (mode) => {
+          this.setState({ mode });
+        }
+
+        render() {
+          return <RangeCalendar mode={this.state.mode} onPanelChange={this.handlePanelChange} />;
+        }
+      }
+      const wrapper = mount(<ControlledRangeCalendar />);
+
+      wrapper.find('.rc-calendar-month-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-month-select').at(1).simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-month-panel-year-select').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-month-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-month-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-month-panel').length).toBe(0);
+
+      wrapper.find('.rc-calendar-year-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-select').at(1).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-decade-select').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(2);
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-decade-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-decade-panel').length).toBe(0);
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      wrapper.find('.rc-calendar-year-panel-selected-cell').at(0).simulate('click');
+      expect(wrapper.find('.rc-calendar-year-panel').length).toBe(0);
+    });
+  });
 });
",0,
329,7f3602fdafb2f8dbea703531858f2173b2a296f7,7f3602fdafb2f8dbea703531858f2173b2a296f7,tests/__snapshots__/RangeCalendar.spec.jsx.snap,tests/RangeCalendar.spec.jsx,This allows hiding date input in calendar panels of RangeCalendar component too,"feat: add showDateInput propert to RangeCalendar (with default of true)
","diff --git a/tests/RangeCalendar.spec.jsx b/tests/RangeCalendar.spec.jsx
index 5c9ba5d..f9eed46 100644
--- a/tests/RangeCalendar.spec.jsx
+++ b/tests/RangeCalendar.spec.jsx
@@ -412,4 +412,9 @@ describe('RangeCalendar', () => {
       expect(updatedValue[0].add(1, 'month').isSame(updatedValue[1], 'month')).toBe(true);
     });
   });
+
+  it('can hide date inputs with showDateInput={false}', () => {
+    const wrapper = render(<RangeCalendar showDateInput={false} />);
+    expect(wrapper).toMatchSnapshot();
+  });
 });
",0,
329,7f3602fdafb2f8dbea703531858f2173b2a296f7,7f3602fdafb2f8dbea703531858f2173b2a296f7,tests/__snapshots__/RangeCalendar.spec.jsx.snap,tests/RangeCalendar.spec.jsx,This allows hiding date input in calendar panels of RangeCalendar component too,"feat: add showDateInput propert to RangeCalendar (with default of true)
","diff --git a/tests/RangeCalendar.spec.jsx b/tests/RangeCalendar.spec.jsx
index 5c9ba5d..f9eed46 100644
--- a/tests/RangeCalendar.spec.jsx
+++ b/tests/RangeCalendar.spec.jsx
@@ -412,4 +412,9 @@ describe('RangeCalendar', () => {
       expect(updatedValue[0].add(1, 'month').isSame(updatedValue[1], 'month')).toBe(true);
     });
   });
+
+  it('can hide date inputs with showDateInput={false}', () => {
+    const wrapper = render(<RangeCalendar showDateInput={false} />);
+    expect(wrapper).toMatchSnapshot();
+  });
 });
",0,
361,447684b694573018212e673c92929d197b8dc84a,261f40d8ebfd61cafb74bea3a9d20c7f77784680,tests/__snapshots__/locale.spec.js.snap,tests/locale.spec.js,"Please add slovenian locale in this PR.

Thanks","added slovenian (sl_SI) locale
","diff --git a/tests/locale.spec.js b/tests/locale.spec.js
index d3a1333..1c62567 100644
--- a/tests/locale.spec.js
+++ b/tests/locale.spec.js
@@ -33,6 +33,7 @@ const locales = {
   ru_RU: require('../src/locale/ru_RU'),
   sk_SK: require('../src/locale/sk_SK'),
   sr_RS: require('../src/locale/sr_RS'),
+  sl_SI: require('../src/locale/sl_SI'),
   sv_SE: require('../src/locale/sv_SE'),
   th_TH: require('../src/locale/th_TH'),
   tr_TR: require('../src/locale/tr_TR'),
",0,
361,447684b694573018212e673c92929d197b8dc84a,261f40d8ebfd61cafb74bea3a9d20c7f77784680,tests/__snapshots__/locale.spec.js.snap,tests/locale.spec.js,"Please add slovenian locale in this PR.

Thanks","added slovenian (sl_SI) locale
","diff --git a/tests/locale.spec.js b/tests/locale.spec.js
index d3a1333..1c62567 100644
--- a/tests/locale.spec.js
+++ b/tests/locale.spec.js
@@ -33,6 +33,7 @@ const locales = {
   ru_RU: require('../src/locale/ru_RU'),
   sk_SK: require('../src/locale/sk_SK'),
   sr_RS: require('../src/locale/sr_RS'),
+  sl_SI: require('../src/locale/sl_SI'),
   sv_SE: require('../src/locale/sv_SE'),
   th_TH: require('../src/locale/th_TH'),
   tr_TR: require('../src/locale/tr_TR'),
",0,
