pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
13,1fb6237bc04897ffa7012071e3f9d5d96c87059c,23bb1a447a85f50d40f1d807f000840bda25a4a3,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): add autoplay
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index 170848a..a176f9b 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -186,6 +186,19 @@ describe('Carousel', () => {
     });
   });
 
+  it('should begin autoplaying when option specified', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, autoplay: true } }, [h(Slide), h(Slide)]),
+    });
+
+    const carouselInstance = vm.$children[0];
+    expect(carouselInstance.autoplayInterval).toBeDefined();
+    carouselInstance.pauseAutoplay();
+    expect(carouselInstance.autoplayInterval).toBe(undefined);
+    return utils.expectToMatchSnapshot(vm);
+  });
+
   // it('should apply dirty checking when carousel is initialized in a hidden state', () => {
   //   const vm = new Vue({
   //     el: document.createElement('div'),
",0,
13,1fb6237bc04897ffa7012071e3f9d5d96c87059c,23bb1a447a85f50d40f1d807f000840bda25a4a3,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): add autoplay
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index 170848a..a176f9b 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -186,6 +186,19 @@ describe('Carousel', () => {
     });
   });
 
+  it('should begin autoplaying when option specified', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, autoplay: true } }, [h(Slide), h(Slide)]),
+    });
+
+    const carouselInstance = vm.$children[0];
+    expect(carouselInstance.autoplayInterval).toBeDefined();
+    carouselInstance.pauseAutoplay();
+    expect(carouselInstance.autoplayInterval).toBe(undefined);
+    return utils.expectToMatchSnapshot(vm);
+  });
+
   // it('should apply dirty checking when carousel is initialized in a hidden state', () => {
   //   const vm = new Vue({
   //     el: document.createElement('div'),
",0,
16,9f1826494736af5063df88eaf2875c3899e0eca2,9f1826494736af5063df88eaf2875c3899e0eca2,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): rebuild with mutation observer
",,0,
16,9f1826494736af5063df88eaf2875c3899e0eca2,9f1826494736af5063df88eaf2875c3899e0eca2,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): rebuild with mutation observer
",,0,
161,b855a9838a276cfccdc573806f1d37f6b2d0445b,8c568fcfd9e590815ed7844b6356ffb9519de2c3,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,"Set scrollPerPage default to true. 
When false, all system move by slides and not by pages. From navigation to pagination including navigateTo.
","Fix scrollPerPage
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index dd14021..7d85035 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -140,7 +140,7 @@ describe('Carousel', () => {
     return utils.expectToMatchSnapshot(vm);
   });
 
-  it('should decrease current slide number by 1 when advance page backward is called', () => {
+  it('should decrease current page number by 1 when advance page backward is called', () => {
     const vm = new Vue({
       el: document.createElement('div'),
       render: (h) => h(Carousel, { props: { perPage: 1 } }, [h(Slide), h(Slide)]),
@@ -157,7 +157,7 @@ describe('Carousel', () => {
     });
   });
 
-  it('should increase current slide number by 1 when advance page is called', () => {
+  it('should increase current page number by 1 when advance page is called', () => {
     const vm = new Vue({
       el: document.createElement('div'),
       render: (h) => h(Carousel, { props: { perPage: 1 } }, [h(Slide), h(Slide)]),
@@ -173,7 +173,7 @@ describe('Carousel', () => {
     });
   });
 
-  it('should increase current slide number by 1 when advance page is called with a non ""backward"" argument', () => {
+  it('should increase current page number by 1 when advance page is called with a non ""backward"" argument', () => {
     const vm = new Vue({
       el: document.createElement('div'),
       render: (h) => h(Carousel, { props: { perPage: 1 } }, [h(Slide), h(Slide)]),
@@ -188,7 +188,22 @@ describe('Carousel', () => {
       return utils.expectToMatchSnapshot(vm);
     });
   });
+  it('should decrease current slide number by 1 when advance slide backward is called', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, scrollPerPage: false } }, [h(Slide), h(Slide)]),
+    });
 
+    const carouselInstance = vm.$children[0];
+
+    return carouselInstance.$nextTick().then(() => {
+      carouselInstance.goToPage(2);
+      carouselInstance.advancePage('backward');
+      expect(carouselInstance.currentPage).toBe(1);
+
+      return utils.expectToMatchSnapshot(vm);
+    });
+  });
   it('should loop back to the start when loop is true and advance page non ""backward"" is called from the last page', () => {
     const vm = new Vue({
       el: document.createElement('div'),
",0,
161,b855a9838a276cfccdc573806f1d37f6b2d0445b,8c568fcfd9e590815ed7844b6356ffb9519de2c3,tests/client/components/__snapshots__/navigation.spec.js.snap,tests/client/components/navigation.spec.js,"Set scrollPerPage default to true. 
When false, all system move by slides and not by pages. From navigation to pagination including navigateTo.
","Fix scrollPerPage
",,0,
161,b855a9838a276cfccdc573806f1d37f6b2d0445b,8c568fcfd9e590815ed7844b6356ffb9519de2c3,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,"Set scrollPerPage default to true. 
When false, all system move by slides and not by pages. From navigation to pagination including navigateTo.
","Fix scrollPerPage
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index dd14021..7d85035 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -140,7 +140,7 @@ describe('Carousel', () => {
     return utils.expectToMatchSnapshot(vm);
   });
 
-  it('should decrease current slide number by 1 when advance page backward is called', () => {
+  it('should decrease current page number by 1 when advance page backward is called', () => {
     const vm = new Vue({
       el: document.createElement('div'),
       render: (h) => h(Carousel, { props: { perPage: 1 } }, [h(Slide), h(Slide)]),
@@ -157,7 +157,7 @@ describe('Carousel', () => {
     });
   });
 
-  it('should increase current slide number by 1 when advance page is called', () => {
+  it('should increase current page number by 1 when advance page is called', () => {
     const vm = new Vue({
       el: document.createElement('div'),
       render: (h) => h(Carousel, { props: { perPage: 1 } }, [h(Slide), h(Slide)]),
@@ -173,7 +173,7 @@ describe('Carousel', () => {
     });
   });
 
-  it('should increase current slide number by 1 when advance page is called with a non ""backward"" argument', () => {
+  it('should increase current page number by 1 when advance page is called with a non ""backward"" argument', () => {
     const vm = new Vue({
       el: document.createElement('div'),
       render: (h) => h(Carousel, { props: { perPage: 1 } }, [h(Slide), h(Slide)]),
@@ -188,7 +188,22 @@ describe('Carousel', () => {
       return utils.expectToMatchSnapshot(vm);
     });
   });
+  it('should decrease current slide number by 1 when advance slide backward is called', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, scrollPerPage: false } }, [h(Slide), h(Slide)]),
+    });
 
+    const carouselInstance = vm.$children[0];
+
+    return carouselInstance.$nextTick().then(() => {
+      carouselInstance.goToPage(2);
+      carouselInstance.advancePage('backward');
+      expect(carouselInstance.currentPage).toBe(1);
+
+      return utils.expectToMatchSnapshot(vm);
+    });
+  });
   it('should loop back to the start when loop is true and advance page non ""backward"" is called from the last page', () => {
     const vm = new Vue({
       el: document.createElement('div'),
",0,
161,b855a9838a276cfccdc573806f1d37f6b2d0445b,8c568fcfd9e590815ed7844b6356ffb9519de2c3,tests/client/components/__snapshots__/navigation.spec.js.snap,tests/client/components/navigation.spec.js,"Set scrollPerPage default to true. 
When false, all system move by slides and not by pages. From navigation to pagination including navigateTo.
","Fix scrollPerPage
",,0,
19,5ea47b1dd282e13816a881d25d5065f8e3f0fa18,7884a269533d661bc03559a194452fb018c3aae6,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): complete example for dynamic slides
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index 5c0a303..a27a628 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -105,12 +105,15 @@ describe('Carousel', () => {
     });
     const carouselInstance = vm.$children[0];
 
-    carouselInstance.$el.clientWidth = 200;
-    carouselInstance.computeCarouselWidth();
+    carouselInstance.$el.style.width = ""200px"";
 
-    expect(carouselInstance.carouselWidth).toBe(200);
+    setTimeout(() => {
+      carouselInstance.computeCarouselWidth();
 
-    return utils.expectToMatchSnapshot(vm);
+      expect(carouselInstance.carouselWidth).toBe(200);
+
+      return utils.expectToMatchSnapshot(vm);
+    }, 2000)
   });
 
   it('should register 0 slides when 0 slides are added to the slots', () => {
",0,
19,5ea47b1dd282e13816a881d25d5065f8e3f0fa18,7884a269533d661bc03559a194452fb018c3aae6,tests/client/components/__snapshots__/navigation.spec.js.snap,tests/client/components/navigation.spec.js,,"feat(carousel): complete example for dynamic slides
",,0,
19,5ea47b1dd282e13816a881d25d5065f8e3f0fa18,7884a269533d661bc03559a194452fb018c3aae6,tests/client/components/__snapshots__/slide.spec.js.snap,tests/client/components/slide.spec.js,,"feat(carousel): complete example for dynamic slides
",,0,
19,5ea47b1dd282e13816a881d25d5065f8e3f0fa18,7884a269533d661bc03559a194452fb018c3aae6,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): complete example for dynamic slides
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index 5c0a303..a27a628 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -105,12 +105,15 @@ describe('Carousel', () => {
     });
     const carouselInstance = vm.$children[0];
 
-    carouselInstance.$el.clientWidth = 200;
-    carouselInstance.computeCarouselWidth();
+    carouselInstance.$el.style.width = ""200px"";
 
-    expect(carouselInstance.carouselWidth).toBe(200);
+    setTimeout(() => {
+      carouselInstance.computeCarouselWidth();
 
-    return utils.expectToMatchSnapshot(vm);
+      expect(carouselInstance.carouselWidth).toBe(200);
+
+      return utils.expectToMatchSnapshot(vm);
+    }, 2000)
   });
 
   it('should register 0 slides when 0 slides are added to the slots', () => {
",0,
19,5ea47b1dd282e13816a881d25d5065f8e3f0fa18,7884a269533d661bc03559a194452fb018c3aae6,tests/client/components/__snapshots__/navigation.spec.js.snap,tests/client/components/navigation.spec.js,,"feat(carousel): complete example for dynamic slides
",,0,
19,5ea47b1dd282e13816a881d25d5065f8e3f0fa18,7884a269533d661bc03559a194452fb018c3aae6,tests/client/components/__snapshots__/slide.spec.js.snap,tests/client/components/slide.spec.js,,"feat(carousel): complete example for dynamic slides
",,0,
216,b8c14a77d3a84c0f95e402a623529be9d33871d3,b8c14a77d3a84c0f95e402a623529be9d33871d3,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,"References #184.

By resetting the autoplay interval when `goToPage`  is being called, we can accomplish this functionality. Because hovering over the element will reset the autoplay interval, it should only be run when `autoplayHoverPause` is false.

I also added changes to the properties passed to the *Autoplay* example in the vue-play demos. Because `autoplayHoverPause` has a default value of `true`, it rendered the component with the same properties as in *Autoplay, pause on hover*.","feat(carousel): added tests confirming that the autoplay interval is reset according to options
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index 319be1f..e4ee7e5 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -249,4 +249,31 @@ describe('Carousel', () => {
     expect(carouselInstance.autoplayInterval).toBe(undefined);
     return utils.expectToMatchSnapshot(vm);
   });
+
+  it('should reset autoplay when switching slide without autoplayHoverPause', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, autoplay: true, autoplayHoverPause: false } }, [h(Slide), h(Slide)]),
+    });
+
+    const carouselInstance = vm.$children[0];
+    const spy = spyOn(carouselInstance, 'restartAutoplay');
+    carouselInstance.goToPage(2);
+    expect(carouselInstance.restartAutoplay).toHaveBeenCalled();
+    return utils.expectToMatchSnapshot(vm);
+  });
+
+  it('should not reset autoplay when switching slide with autoplayHoverPause', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, autoplay: true, autoplayHoverPause: true } }, [h(Slide), h(Slide)]),
+    });
+
+    const carouselInstance = vm.$children[0];
+    const spy = spyOn(carouselInstance, 'restartAutoplay');
+    carouselInstance.goToPage(2);
+    expect(carouselInstance.restartAutoplay).not.toHaveBeenCalled();
+    return utils.expectToMatchSnapshot(vm);
+  });
+
 });
",0,
216,b8c14a77d3a84c0f95e402a623529be9d33871d3,b8c14a77d3a84c0f95e402a623529be9d33871d3,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,"References #184.

By resetting the autoplay interval when `goToPage`  is being called, we can accomplish this functionality. Because hovering over the element will reset the autoplay interval, it should only be run when `autoplayHoverPause` is false.

I also added changes to the properties passed to the *Autoplay* example in the vue-play demos. Because `autoplayHoverPause` has a default value of `true`, it rendered the component with the same properties as in *Autoplay, pause on hover*.","feat(carousel): added tests confirming that the autoplay interval is reset according to options
","diff --git a/tests/client/components/carousel.spec.js b/tests/client/components/carousel.spec.js
index 319be1f..e4ee7e5 100644
--- a/tests/client/components/carousel.spec.js
+++ b/tests/client/components/carousel.spec.js
@@ -249,4 +249,31 @@ describe('Carousel', () => {
     expect(carouselInstance.autoplayInterval).toBe(undefined);
     return utils.expectToMatchSnapshot(vm);
   });
+
+  it('should reset autoplay when switching slide without autoplayHoverPause', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, autoplay: true, autoplayHoverPause: false } }, [h(Slide), h(Slide)]),
+    });
+
+    const carouselInstance = vm.$children[0];
+    const spy = spyOn(carouselInstance, 'restartAutoplay');
+    carouselInstance.goToPage(2);
+    expect(carouselInstance.restartAutoplay).toHaveBeenCalled();
+    return utils.expectToMatchSnapshot(vm);
+  });
+
+  it('should not reset autoplay when switching slide with autoplayHoverPause', () => {
+    const vm = new Vue({
+      el: document.createElement('div'),
+      render: (h) => h(Carousel, { props: { perPage: 1, autoplay: true, autoplayHoverPause: true } }, [h(Slide), h(Slide)]),
+    });
+
+    const carouselInstance = vm.$children[0];
+    const spy = spyOn(carouselInstance, 'restartAutoplay');
+    carouselInstance.goToPage(2);
+    expect(carouselInstance.restartAutoplay).not.toHaveBeenCalled();
+    return utils.expectToMatchSnapshot(vm);
+  });
+
 });
",0,
22,046c9549bf77c081d0def6fe383ce335e72276a3,ab1fa1bd4dd3dffa696171e7887e815dc1918164,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): update navigation
",,0,
22,046c9549bf77c081d0def6fe383ce335e72276a3,ab1fa1bd4dd3dffa696171e7887e815dc1918164,tests/client/components/__snapshots__/navigation.spec.js.snap,tests/client/components/navigation.spec.js,,"feat(carousel): update navigation
","diff --git a/tests/client/components/navigation.spec.js b/tests/client/components/navigation.spec.js
index 302431e..fccda0e 100644
--- a/tests/client/components/navigation.spec.js
+++ b/tests/client/components/navigation.spec.js
@@ -25,19 +25,19 @@ describe('Navigation', () => {
   });
 
   it('should render a next button', () => {
-    expect(vm.$el.querySelector('.next')).toBeDefined();
+    expect(vm.$el.querySelector('.VueCarousel-navigation-next')).toBeDefined();
 
     return utils.expectToMatchSnapshot(vm);
   });
 
   it('should render a prev button', () => {
-    expect(vm.$el.querySelector('.prev')).toBeDefined();
+    expect(vm.$el.querySelector('.VueCarousel-navigation-prev')).toBeDefined();
 
     return utils.expectToMatchSnapshot(vm);
   });
 
   it('should trigger page advance when next is clicked', () => {
-    vm.$el.querySelector('.next').click();
+    vm.$el.querySelector('.VueCarousel-navigation-next').click();
 
     return carouselInstance.$nextTick().then(() => {
       expect(carouselInstance.currentPage).toBe(1);
@@ -48,7 +48,7 @@ describe('Navigation', () => {
 
   it('should trigger page advance backward when prev is clicked', () => {
     carouselInstance.goToPage(2);
-    vm.$el.querySelector('.prev').click();
+    vm.$el.querySelector('.VueCarousel-navigation-prev').click();
 
     return carouselInstance.$nextTick().then(() => {
       expect(carouselInstance.currentPage).toBe(1);
",0,
22,046c9549bf77c081d0def6fe383ce335e72276a3,ab1fa1bd4dd3dffa696171e7887e815dc1918164,tests/client/components/__snapshots__/slide.spec.js.snap,tests/client/components/slide.spec.js,,"feat(carousel): update navigation
",,0,
22,046c9549bf77c081d0def6fe383ce335e72276a3,ab1fa1bd4dd3dffa696171e7887e815dc1918164,tests/client/components/__snapshots__/carousel.spec.js.snap,tests/client/components/carousel.spec.js,,"feat(carousel): update navigation
",,0,
22,046c9549bf77c081d0def6fe383ce335e72276a3,ab1fa1bd4dd3dffa696171e7887e815dc1918164,tests/client/components/__snapshots__/navigation.spec.js.snap,tests/client/components/navigation.spec.js,,"feat(carousel): update navigation
","diff --git a/tests/client/components/navigation.spec.js b/tests/client/components/navigation.spec.js
index 302431e..fccda0e 100644
--- a/tests/client/components/navigation.spec.js
+++ b/tests/client/components/navigation.spec.js
@@ -25,19 +25,19 @@ describe('Navigation', () => {
   });
 
   it('should render a next button', () => {
-    expect(vm.$el.querySelector('.next')).toBeDefined();
+    expect(vm.$el.querySelector('.VueCarousel-navigation-next')).toBeDefined();
 
     return utils.expectToMatchSnapshot(vm);
   });
 
   it('should render a prev button', () => {
-    expect(vm.$el.querySelector('.prev')).toBeDefined();
+    expect(vm.$el.querySelector('.VueCarousel-navigation-prev')).toBeDefined();
 
     return utils.expectToMatchSnapshot(vm);
   });
 
   it('should trigger page advance when next is clicked', () => {
-    vm.$el.querySelector('.next').click();
+    vm.$el.querySelector('.VueCarousel-navigation-next').click();
 
     return carouselInstance.$nextTick().then(() => {
       expect(carouselInstance.currentPage).toBe(1);
@@ -48,7 +48,7 @@ describe('Navigation', () => {
 
   it('should trigger page advance backward when prev is clicked', () => {
     carouselInstance.goToPage(2);
-    vm.$el.querySelector('.prev').click();
+    vm.$el.querySelector('.VueCarousel-navigation-prev').click();
 
     return carouselInstance.$nextTick().then(() => {
       expect(carouselInstance.currentPage).toBe(1);
",0,
22,046c9549bf77c081d0def6fe383ce335e72276a3,ab1fa1bd4dd3dffa696171e7887e815dc1918164,tests/client/components/__snapshots__/slide.spec.js.snap,tests/client/components/slide.spec.js,,"feat(carousel): update navigation
",,0,
