pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/adeleInfo/tests/__snapshots__/adele-info.test.jsx.snap,src/components/adeleInfo/tests/adele-info.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/adeleInfo/tests/adele-info.test.jsx b/src/components/adeleInfo/tests/adele-info.test.jsx
index 9a4d98e..38d4f2a 100644
--- a/src/components/adeleInfo/tests/adele-info.test.jsx
+++ b/src/components/adeleInfo/tests/adele-info.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/arrowButton/tests/__snapshots__/arrow-button.test.jsx.snap,src/components/arrowButton/tests/arrow-button.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/arrowButton/tests/arrow-button.test.jsx b/src/components/arrowButton/tests/arrow-button.test.jsx
index 4e30e48..6952148 100644
--- a/src/components/arrowButton/tests/arrow-button.test.jsx
+++ b/src/components/arrowButton/tests/arrow-button.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/arrowButtonGroup/tests/__snapshots__/arrow-button-group.test.jsx.snap,src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx b/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx
index 9f2408f..0c05a6a 100644
--- a/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx
+++ b/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/button/tests/__snapshots__/button.test.jsx.snap,src/components/button/tests/button.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/button/tests/button.test.jsx b/src/components/button/tests/button.test.jsx
index aef5077..39a9a27 100644
--- a/src/components/button/tests/button.test.jsx
+++ b/src/components/button/tests/button.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/filterTag/Tests/__snapshots__/filter-tag.test.jsx.snap,src/components/filterTag/Tests/filter-tag.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/filterTag/Tests/filter-tag.test.jsx b/src/components/filterTag/Tests/filter-tag.test.jsx
index b7e2d13..51f2b48 100644
--- a/src/components/filterTag/Tests/filter-tag.test.jsx
+++ b/src/components/filterTag/Tests/filter-tag.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/filterTagSection/tests/__snapshots__/filter-tag-section.test.jsx.snap,src/components/filterTagSection/tests/filter-tag-section.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/filterTagSection/tests/filter-tag-section.test.jsx b/src/components/filterTagSection/tests/filter-tag-section.test.jsx
index acf37e1..1bdd48a 100644
--- a/src/components/filterTagSection/tests/filter-tag-section.test.jsx
+++ b/src/components/filterTagSection/tests/filter-tag-section.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/heading/tests/__snapshots__/heading.test.jsx.snap,src/components/heading/tests/heading.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/heading/tests/heading.test.jsx b/src/components/heading/tests/heading.test.jsx
index 65000df..f0693e6 100644
--- a/src/components/heading/tests/heading.test.jsx
+++ b/src/components/heading/tests/heading.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/icon/tests/__snapshots__/icon.test.jsx.snap,src/components/icon/tests/icon.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/icon/tests/icon.test.jsx b/src/components/icon/tests/icon.test.jsx
index 58a53ce..2b0a474 100644
--- a/src/components/icon/tests/icon.test.jsx
+++ b/src/components/icon/tests/icon.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/social/tests/__snapshots__/social.test.jsx.snap,src/components/social/tests/social.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/social/tests/social.test.jsx b/src/components/social/tests/social.test.jsx
index 44bd88d..0f7b48c 100644
--- a/src/components/social/tests/social.test.jsx
+++ b/src/components/social/tests/social.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,src/components/sorting/tests/__snapshots__/sorting.test.jsx.snap,src/components/sorting/tests/sorting.test.jsx,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/sorting/tests/sorting.test.jsx b/src/components/sorting/tests/sorting.test.jsx
index 122cca7..0d183cd 100644
--- a/src/components/sorting/tests/sorting.test.jsx
+++ b/src/components/sorting/tests/sorting.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,
